#EntrezID	Name	Score	Degree
10178	TENM1	0.929825	2
10251	SPRY3	0.867294	2
285513	GPRIN3	0.864643	2
256130	TMEM196	0.862123	2
122970	ACOT4	0.860825	2
140767	NRSN1	0.860771	2
255239	ANKK1	0.860566	2
94122	SYTL5	0.859454	2
159371	SLC35G1	0.855440	2
27146	FAM184B	0.805207	3
631	BFSP1	0.796023	3
5067	CNTN3	0.795579	2
8972	MGAM	0.795089	3
152002	XXYLT1	0.795028	3
79785	RERGL	0.789737	3
255275	MYADML2	0.788689	3
574036	SERTAD4-AS1	0.784914	3
129804	FBLN7	0.780081	3
25870	SUMF2	0.779912	3
66035	SLC2A11	0.778205	4
65065	NBEAL1	0.762514	4
94160	ABCC12	0.762377	5
284076	TTLL6	0.760936	3
56953	NT5M	0.751932	5
654429	LRTM2	0.743056	4
161198	CLEC14A	0.733642	4
151835	CPNE9	0.731905	4
284358	MAMSTR	0.725861	5
92241	RCSD1	0.721417	4
116443	GRIN3A	0.715005	5
260434	PYDC1	0.713303	5
56961	SHD	0.713058	5
55714	TENM3	0.708524	5
129450	TYW5	0.705589	6
92126	DSEL	0.705189	5
150383	CDPF1	0.704238	5
387640	SKIDA1	0.700182	5
7762	ZNF215	0.696027	5
51281	ANKMY1	0.690609	8
115827	RAB3C	0.681148	6
92745	SLC38A5	0.672419	7
89932	PAPLN	0.672056	10
388341	LRRC75A	0.670354	8
116349	EXOC3-AS1	0.669807	5
253512	SLC25A30	0.667821	9
27152	INTU	0.666611	9
284111	SLC13A5	0.664506	7
284370	ZNF615	0.663165	9
10361	NPM2	0.662862	8
8916	HERC3	0.658193	7
128439	SNHG11	0.658193	10
57687	VAT1L	0.656507	9
285636	C5orf51	0.651026	16
84152	PPP1R1B	0.648054	7
84276	NICN1	0.646957	17
192286	HIGD2A	0.644454	15
100128822	LINC01003	0.644400	13
285220	EPHA6	0.644383	8
55086	CXorf57	0.643934	13
79041	TMEM38A	0.642449	8
79669	C3orf52	0.634844	13
80199	FUZ	0.634151	13
129807	NEU4	0.633933	10
84269	CHCHD5	0.631577	26
114984	FLYWCH2	0.629247	28
80124	VCPIP1	0.629104	55
25989	ULK3	0.625184	24
100131067	CKMT2-AS1	0.623291	16
57484	RNF150	0.622638	20
152185	SPICE1	0.621310	34
148641	SLC35F3	0.621160	15
56143	PCDHA5	0.620871	18
83448	PUS7L	0.619919	31
474168	WG	0.619704	2
7976	FZD3	0.619704	19
65988	ZNF747	0.618684	17
3598	IL13RA2	0.618582	12
55103	RALGPS2	0.618041	65
64282	PAPD5	0.617523	109
116835	HSPA12B	0.617257	13
347862	GATD1	0.616667	31
285193	DUSP28	0.615714	19
149345	SHISA4	0.615401	43
492311	IGIP	0.612947	42
7123	CLEC3B	0.612270	37
129049	SGSM1	0.612020	2
161357	MDGA2	0.612020	27
9734	HDAC9	0.611833	36
254295	PHYHD1	0.610582	16
129787	TMEM18	0.609712	35
55532	SLC30A10	0.609301	14
375704	ENHO	0.608322	21
474344	GIMAP6	0.608189	16
154007	SNRNP48	0.608128	25
64320	RNF25	0.607660	27
286336	FAM78A	0.607484	38
93058	COQ10A	0.606957	26
166929	SGMS2	0.606438	73
3658	IREB2	0.603995	193
399474	TMEM200B	0.603926	21
11320	MGAT4A	0.603690	72
92597	MOB1B	0.603437	386
10087	COL4A3BP	0.603431	293
84552	PARD6G	0.602810	16
216	ALDH1A1	0.602738	17
55787	TXLNG	0.601956	216
653441	PHC1P1	0.601603	2
124961	ZFP3	0.601603	2
29068	ZBTB44	0.601603	198
56140	PCDHA8	0.601490	73
7693	ZNF134	0.601415	33
51257	MARCH2	0.601384	167
7223	TRPC4	0.601146	18
79754	ASB13	0.600295	58
56886	UGGT1	0.600234	116
1346	COX7A1	0.599697	30
22824	HSPA4L	0.599661	201
121536	AEBP2	0.599649	365
128218	TMEM125	0.599599	30
25946	ZNF385A	0.599215	80
149041	RC3H1	0.599179	187
84458	LCOR	0.599177	188
80351	TNKS2	0.599115	286
57708	MIER1	0.599041	646
160760	PPTC7	0.598467	214
64792	IFT22	0.598191	58
8705	B3GALT4	0.598114	45
375775	PNPLA7	0.598021	56
79873	NUDT18	0.597956	47
144402	CPNE8	0.597873	229
65078	RTN4R	0.597673	62
54542	RC3H2	0.597109	1020
55033	FKBP14	0.597080	77
114294	LACTB	0.597054	187
55279	ZNF654	0.596710	275
115992	RNF166	0.596694	74
65267	WNK3	0.595887	47
10116	FEM1B	0.595783	228
57223	PPP4R3B	0.595542	244
283742	FAM98B	0.595493	283
64770	CCDC14	0.595289	120
56147	PCDHA1	0.594751	56
80319	CXXC4	0.594701	27
139065	SLITRK4	0.594358	64
23002	DAAM1	0.594259	663
56987	BBX	0.594098	408
8036	SHOC2	0.593902	1642
22862	FNDC3A	0.593887	1402
9069	CLDN12	0.593754	222
79642	ARSJ	0.593617	51
343477	HSP90B3P	0.593491	2
7124	TNF	0.593491	19
66004	LYNX1	0.593491	43
10903	MTMR11	0.593388	25
9931	HELZ	0.593300	959
23369	PUM2	0.592969	2436
85465	SELENOI	0.592925	573
283464	GXYLT1	0.592900	248
11231	SEC63	0.592691	1732
25824	PRDX5	0.592610	712
85464	SSH2	0.592409	169
51141	INSIG2	0.592355	1030
9317	PTER	0.592292	543
5201	PFDN1	0.592210	170
330	BIRC3	0.592192	168
133746	JMY	0.592140	231
10228	STX6	0.592117	814
64762	GAREM1	0.592102	48
11260	XPOT	0.592034	1753
85460	ZNF518B	0.591975	105
8835	SOCS2	0.591890	227
54461	FBXW5	0.591664	513
80155	NAA15	0.591608	1006
30815	ST6GALNAC6	0.591560	188
23760	PITPNB	0.591281	969
57182	ANKRD50	0.591146	478
64854	USP46	0.591120	1540
347734	SLC35B2	0.591101	321
10815	CPLX1	0.590983	47
7514	XPO1	0.590961	1899
10522	DEAF1	0.590924	560
64393	ZMAT3	0.590792	96
80223	RAB11FIP1	0.590654	185
55668	GPATCH2L	0.590575	88
124936	CYB5D2	0.590513	79
23240	TMEM131L	0.590262	83
