#EntrezID	Name	Score	Degree
1289	COL5A1	0.100426	600
4313	MMP2	0.100276	710
10398	MYL9	0.100095	280
3371	TNC	0.100018	352
2335	FN1	0.099964	484
3678	ITGA5	0.099587	608
4478	MSN	0.099433	608
3912	LAMB1	0.099389	612
87	ACTN1	0.099197	793
1282	COL4A1	0.099192	642
3123	HLA-DRB1	0.099116	93
1284	COL4A2	0.099096	914
3673	ITGA2	0.099015	457
7057	THBS1	0.098998	778
5159	PDGFRB	0.098987	185
7424	VEGFC	0.098923	340
3675	ITGA3	0.098838	403
1793	DOCK1	0.098815	474
55742	PARVA	0.098739	429
3693	ITGB5	0.098734	723
858	CAV2	0.098673	621
3107	HLA-C	0.098568	531
7791	ZYX	0.098464	1043
3106	HLA-B	0.098442	673
2247	FGF2	0.098316	437
3909	LAMA3	0.098272	190
4638	MYLK	0.098264	446
4233	MET	0.098262	804
5829	PXN	0.098231	804
2260	FGFR1	0.098217	1660
5154	PDGFA	0.098153	579
5329	PLAUR	0.098147	732
7431	VIM	0.098008	628
3915	LAMC1	0.097964	1622
1000	CDH2	0.097865	1003
7058	THBS2	0.097830	159
5880	RAC2	0.097820	535
390	RND3	0.097740	659
2321	FLT1	0.097648	456
3108	HLA-DMA	0.097529	172
7408	VASP	0.097415	265
2885	GRB2	0.097401	524
4267	CD99	0.097353	612
7094	TLN1	0.097288	374
3105	HLA-A	0.097287	495
7082	TJP1	0.097224	847
5819	NECTIN2	0.097198	710
3383	ICAM1	0.097155	555
23705	CADM1	0.097146	626
3914	LAMB3	0.097146	303
5578	PRKCA	0.097085	717
6464	SHC1	0.097074	363
2191	FAP	0.097008	111
3134	HLA-F	0.096988	449
3135	HLA-G	0.096981	383
3691	ITGB4	0.096956	1320
5792	PTPRF	0.096929	553
4897	NRCAM	0.096907	865
10000	AKT3	0.096886	1404
3913	LAMB2	0.096782	1051
3897	L1CAM	0.096674	777
3480	IGF1R	0.096629	1272
1435	CSF1	0.096562	790
7077	TIMP2	0.096504	787
3688	ITGB1	0.096455	564
1839	HBEGF	0.096451	406
1288	COL4A6	0.096432	619
3127	HLA-DRB5	0.096430	94
5817	PVR	0.096407	487
3690	ITGB3	0.096372	604
867	CBL	0.096370	300
7039	TGFA	0.096366	820
4323	MMP14	0.096302	1125
947	CD34	0.096299	335
1301	COL11A1	0.096275	129
6237	RRAS	0.096203	396
3115	HLA-DPB1	0.096170	72
8777	MPDZ	0.096133	559
1001	CDH3	0.096132	169
3122	HLA-DRA	0.096071	179
56034	PDGFC	0.096064	1096
6714	SRC	0.096014	614
23114	NFASC	0.095964	983
2318	FLNC	0.095899	354
5879	RAC1	0.095878	798
3696	ITGB8	0.095845	647
10298	PAK4	0.095834	603
9076	CLDN1	0.095820	127
8976	WASL	0.095793	322
8826	IQGAP1	0.095784	1234
4628	MYH10	0.095784	1373
3918	LAMC2	0.095765	155
27	ABL2	0.095715	278
3133	HLA-E	0.095708	723
3910	LAMA4	0.095692	1404
3084	NRG1	0.095673	997
7410	VAV2	0.095657	417
3791	KDR	0.095649	84
1026	CDKN1A	0.095630	501
6840	SVIL	0.095630	631
7074	TIAM1	0.095558	707
9019	MPZL1	0.095555	758
2002	ELK1	0.095526	549
2017	CTTN	0.095517	330
5228	PGF	0.095494	907
10093	ARPC4	0.095490	406
5335	PLCG1	0.095455	239
50649	ARHGEF4	0.095454	1230
7040	TGFB1	0.095443	1042
83700	JAM3	0.095422	120
3725	JUN	0.095422	672
5175	PECAM1	0.095402	174
2036	EPB41L1	0.095401	464
25945	NECTIN3	0.095398	333
3655	ITGA6	0.095380	673
1495	CTNNA1	0.095377	1148
9369	NRXN3	0.095375	816
2534	FYN	0.095361	705
5296	PIK3R2	0.095347	878
25	ABL1	0.095337	516
3611	ILK	0.095297	774
3113	HLA-DPA1	0.095293	204
55970	GNG12	0.095255	481
2149	F2R	0.095235	343
54434	SSH1	0.095209	830
389	RHOC	0.095203	181
1002	CDH4	0.095199	1004
3109	HLA-DMB	0.095178	87
56288	PARD3	0.095159	399
2037	EPB41L2	0.095145	377
10152	ABI2	0.095091	723
2065	ERBB3	0.095069	1510
50848	F11R	0.095019	513
83660	TLN2	0.095009	239
7422	VEGFA	0.094942	825
6777	STAT5B	0.094913	400
2734	GLG1	0.094901	879
3984	LIMK1	0.094863	541
5609	MAP2K7	0.094856	723
5155	PDGFB	0.094771	1747
388	RHOB	0.094758	512
387	RHOA	0.094715	728
10458	BAIAP2	0.094714	1511
26047	CNTNAP2	0.094698	727
824	CAPN2	0.094672	295
2889	RAPGEF1	0.094638	197
4684	NCAM1	0.094634	1083
7423	VEGFB	0.094603	473
1399	CRKL	0.094599	773
7430	EZR	0.094589	289
5797	PTPRM	0.094569	457
3911	LAMA5	0.094554	792
55740	ENAH	0.094533	880
9644	SH3PXD2A	0.094531	266
1272	CNTN1	0.094525	429
10097	ACTR2	0.094523	1044
8503	PIK3R3	0.094447	207
8573	CASK	0.094445	928
2264	FGFR4	0.094434	389
2185	PTK2B	0.094375	316
3479	IGF1	0.094368	377
10095	ARPC1B	0.094364	871
57863	CADM3	0.094350	1010
1398	CRK	0.094342	331
53358	SHC3	0.094330	259
816	CAMK2B	0.094308	2851
7456	WIPF1	0.094238	262
2909	ARHGAP35	0.094225	826
50509	COL5A3	0.094185	171
6093	ROCK1	0.094170	1345
815	CAMK2A	0.094166	1082
60	ACTB	0.094157	350
369	ARAF	0.094147	250
9080	CLDN9	0.094133	664
10297	APC2	0.094128	1490
5217	PFN2	0.094051	810
9379	NRXN2	0.094024	792
3082	HGF	0.094016	472
5590	PRKCZ	0.093993	413
4301	AFDN	0.093991	313
5293	PIK3CD	0.093990	231
3996	LLGL1	0.093966	546
5295	PIK3R1	0.093959	747
214	ALCAM	0.093955	976
5747	PTK2	0.093953	1321
9138	ARHGEF1	0.093949	612
9223	MAGI1	0.093925	693
394	ARHGAP5	0.093921	1656
5216	PFN1	0.093916	1170
5599	MAPK8	0.093905	410
596	BCL2	0.093896	724
8515	ITGA10	0.093875	333
998	CDC42	0.093874	535
4690	NCK1	0.093870	1922
3125	HLA-DRB3	0.093819	111
6655	SOS2	0.093806	909
5649	RELN	0.093772	171
9564	BCAR1	0.093767	107
3680	ITGA9	0.093762	207
5923	RASGRF1	0.093747	1026
933	CD22	0.093735	426
8394	PIP5K1A	0.093712	186
8396	PIP4K2B	0.093649	896
3993	LLGL2	0.093633	273
5906	RAP1A	0.093609	828
1460	CSNK2B	0.093570	927
1364	CLDN4	0.093517	180
1457	CSNK2A1	0.093503	1031
23533	PIK3R5	0.093497	872
10092	ARPC5	0.093493	1173
2549	GAB1	0.093478	323
7060	THBS4	0.093477	127
4099	MAG	0.093469	1104
28964	GIT1	0.093465	439
10787	NCKAP1	0.093461	911
23308	ICOSLG	0.093453	1130
8174	MADCAM1	0.093443	770
5580	PRKCD	0.093430	141
324	APC	0.093427	1124
9475	ROCK2	0.093424	1063
1101	CHAD	0.093415	382
396	ARHGDIA	0.093413	1387
5515	PPP2CA	0.093407	1637
2066	ERBB4	0.093394	1450
5581	PRKCE	0.093390	1154
3059	HCLS1	0.093361	99
7143	TNR	0.093337	1083
50855	PARD6A	0.093324	212
5594	MAPK1	0.093318	1327
9378	NRXN1	0.093306	1156
6693	SPN	0.093297	338
23191	CYFIP1	0.093288	647
5062	PAK2	0.093258	1377
1072	CFL1	0.093247	400
6900	CNTN2	0.093217	693
9863	MAGI2	0.093153	482
3685	ITGAV	0.093146	1039
8395	PIP5K1B	0.093129	481
2932	GSK3B	0.093119	482
9074	CLDN6	0.093096	325
1013	CDH15	0.093092	636
25759	SHC2	0.093067	223
84612	PARD6B	0.093062	99
7059	THBS3	0.093052	252
57144	PAK5	0.093044	218
5584	PRKCI	0.093042	795
4318	MMP9	0.093007	124
8506	CNTNAP1	0.092995	217
10109	ARPC2	0.092970	751
207	AKT1	0.092966	800
818	CAMK2G	0.092908	1088
4660	PPP1R12B	0.092902	369
868	CBLB	0.092874	708
54961	SSH3	0.092842	775
965	CD58	0.092838	1093
23396	PIP5K1C	0.092833	641
9414	TJP2	0.092822	416
929	CD14	0.092806	127
5728	PTEN	0.092803	946
382	ARF6	0.092733	783
3985	LIMK2	0.092706	209
5337	PLD1	0.092688	262
22800	RRAS2	0.092653	1022
5908	RAP1B	0.092625	1114
5604	MAP2K1	0.092612	1091
941	CD80	0.092611	764
8874	ARHGEF7	0.092607	851
5818	NECTIN1	0.092600	2611
10552	ARPC1A	0.092595	1059
6416	MAP2K4	0.092592	1358
6548	SLC9A1	0.092590	157
10672	GNA13	0.092550	767
51208	CLDN18	0.092547	793
5921	RASA1	0.092529	1627
3126	HLA-DRB4	0.092481	86
93408	MYL10	0.092404	303
80310	PDGFD	0.092394	117
6404	SELPLG	0.092381	251
3694	ITGB6	0.092321	108
22854	NTNG1	0.092317	1092
923	CD6	0.092286	546
817	CAMK2D	0.092277	344
10096	ACTR3	0.092269	1720
5520	PPP2R2A	0.092231	849
8516	ITGA8	0.092217	332
5516	PPP2CB	0.092207	983
1027	CDKN1B	0.092203	1172
9071	CLDN10	0.092185	513
4659	PPP1R12A	0.092154	2012
7114	TMSB4X	0.092122	220
5522	PPP2R2C	0.092121	429
3111	HLA-DOA	0.092118	1744
58494	JAM2	0.092113	120
5170	PDPK1	0.092111	559
5290	PIK3CA	0.092092	1436
5518	PPP2R1A	0.092091	792
64398	MPP5	0.092078	560
823	CAPN1	0.092069	791
