#Iter	Time	Change
0	0.07	1.617906e+04
1	0.04	2.741005e+03
2	0.04	1.519527e+03
3	0.04	1.115868e+03
4	0.04	9.490993e+02
5	0.03	8.241391e+02
6	0.03	7.259867e+02
7	0.03	6.428033e+02
8	0.03	5.717016e+02
9	0.03	5.101076e+02
10	0.03	4.564321e+02
11	0.04	4.093887e+02
12	0.03	3.679772e+02
13	0.03	3.313809e+02
14	0.04	2.989298e+02
15	0.03	2.700662e+02
16	0.03	2.443227e+02
17	0.03	2.213046e+02
18	0.03	2.006765e+02
19	0.03	1.821519e+02
20	0.03	1.654849e+02
21	0.03	1.504636e+02
22	0.04	1.369043e+02
23	0.03	1.246475e+02
24	0.03	1.135536e+02
25	0.03	1.035008e+02
26	0.03	9.438177e+01
27	0.03	8.610190e+01
28	0.03	7.857755e+01
29	0.03	7.173451e+01
30	0.03	6.550680e+01
31	0.04	5.983555e+01
32	0.03	5.466817e+01
33	0.03	4.995753e+01
34	0.03	4.566135e+01
35	0.04	4.174159e+01
36	0.03	3.816398e+01
37	0.03	3.489762e+01
38	0.03	3.191459e+01
39	0.03	2.918960e+01
40	0.03	2.669977e+01
41	0.03	2.442435e+01
42	0.03	2.234449e+01
43	0.03	2.044309e+01
44	0.03	1.870458e+01
45	0.03	1.711481e+01
46	0.03	1.566088e+01
47	0.03	1.433106e+01
48	0.04	1.311463e+01
49	0.03	1.200185e+01
50	0.03	1.098380e+01
51	0.03	1.005237e+01
52	0.03	9.200132e+00
53	0.03	8.420319e+00
54	0.03	7.706743e+00
55	0.03	7.053752e+00
56	0.03	6.456182e+00
57	0.03	5.909311e+00
58	0.03	5.408824e+00
59	0.03	4.950775e+00
60	0.03	4.531558e+00
61	0.03	4.147871e+00
62	0.03	3.796698e+00
63	0.03	3.475279e+00
64	0.03	3.181088e+00
65	0.04	2.911816e+00
66	0.03	2.665349e+00
67	0.03	2.439754e+00
68	0.03	2.233261e+00
69	0.03	2.044251e+00
70	0.03	1.871244e+00
71	0.03	1.712882e+00
72	0.03	1.567927e+00
73	0.03	1.435241e+00
74	0.03	1.313786e+00
75	0.03	1.202611e+00
76	0.04	1.100845e+00
77	0.03	1.007693e+00
78	0.04	9.224235e-01
79	0.03	8.443706e-01
80	0.03	7.729230e-01
81	0.03	7.075217e-01
82	0.04	6.476549e-01
83	0.03	5.928541e-01
84	0.03	5.426906e-01
85	0.03	4.967719e-01
86	0.03	4.547388e-01
87	0.03	4.162624e-01
88	0.03	3.810418e-01
89	0.03	3.488013e-01
90	0.03	3.192889e-01
91	0.03	2.922737e-01
92	0.03	2.675444e-01
93	0.03	2.449074e-01
94	0.03	2.241859e-01
95	0.03	2.052176e-01
96	0.03	1.878543e-01
97	0.03	1.719602e-01
98	0.03	1.574108e-01
99	0.03	1.440925e-01
100	0.03	1.319011e-01
101	0.03	1.207411e-01
102	0.03	1.105255e-01
103	0.03	1.011741e-01
104	0.03	9.261403e-02
105	0.03	8.477818e-02
106	0.03	7.760532e-02
107	0.03	7.103934e-02
108	0.04	6.502891e-02
109	0.03	5.952701e-02
110	0.03	5.449062e-02
111	0.03	4.988035e-02
112	0.03	4.566014e-02
113	0.03	4.179700e-02
114	0.03	3.826071e-02
115	0.03	3.502362e-02
116	0.03	3.206041e-02
117	0.03	2.934791e-02
118	0.03	2.686491e-02
119	0.03	2.459198e-02
120	0.03	2.251137e-02
121	0.03	2.060678e-02
122	0.03	1.886334e-02
123	0.04	1.726740e-02
124	0.03	1.580649e-02
125	0.03	1.446919e-02
126	0.04	1.324502e-02
127	0.04	1.212443e-02
128	0.04	1.109865e-02
129	0.03	1.015965e-02
130	0.03	9.300103e-03
131	0.03	8.513275e-03
132	0.03	7.793017e-03
133	0.03	7.133696e-03
134	0.03	6.530158e-03
135	0.03	5.977682e-03
136	0.03	5.471948e-03
137	0.03	5.009002e-03
138	0.03	4.585223e-03
139	0.03	4.197298e-03
140	0.03	3.842193e-03
141	0.03	3.517131e-03
142	0.03	3.219572e-03
143	0.03	2.947187e-03
144	0.03	2.697847e-03
145	0.03	2.469602e-03
146	0.03	2.260667e-03
147	0.03	2.069409e-03
148	0.03	1.894332e-03
149	0.03	1.734068e-03
150	0.04	1.587362e-03
151	0.03	1.453068e-03
152	0.03	1.330136e-03
153	0.03	1.217604e-03
154	0.03	1.114592e-03
155	0.03	1.020296e-03
156	0.03	9.339777e-04
