#EntrezID	Name	Score	Degree
1284	COL4A2	0.021804	914
7057	THBS1	0.021762	778
1282	COL4A1	0.021690	642
3912	LAMB1	0.021686	612
1292	COL6A2	0.021683	1093
5829	PXN	0.021666	804
4313	MMP2	0.021661	710
3371	TNC	0.021616	352
4627	MYH9	0.021601	391
2335	FN1	0.021596	484
7431	VIM	0.021554	628
1289	COL5A1	0.021544	600
87	ACTN1	0.021532	793
4323	MMP14	0.021516	1125
3915	LAMC1	0.021509	1622
3678	ITGA5	0.021509	608
1277	COL1A1	0.021496	783
2064	ERBB2	0.021493	883
4478	MSN	0.021492	608
2316	FLNA	0.021474	934
857	CAV1	0.021431	604
10398	MYL9	0.021403	280
2260	FGFR1	0.021399	1660
858	CAV2	0.021395	621
5578	PRKCA	0.021370	717
3611	ILK	0.021351	774
3135	HLA-G	0.021348	383
1290	COL5A2	0.021341	314
1291	COL6A1	0.021331	1329
3693	ITGB5	0.021315	723
4233	MET	0.021250	804
5329	PLAUR	0.021236	732
7082	TJP1	0.021234	847
1956	EGFR	0.021234	2255
2317	FLNB	0.021233	487
3383	ICAM1	0.021233	555
5792	PTPRF	0.021230	553
7414	VCL	0.021229	607
1000	CDH2	0.021224	1003
1287	COL4A5	0.021220	517
3675	ITGA3	0.021219	403
1281	COL3A1	0.021206	395
3673	ITGA2	0.021199	457
7791	ZYX	0.021195	1043
10000	AKT3	0.021185	1404
5154	PDGFA	0.021182	579
3910	LAMA4	0.021175	1404
3691	ITGB4	0.021169	1320
390	RND3	0.021168	659
5156	PDGFRA	0.021147	1336
2534	FYN	0.021143	705
3690	ITGB3	0.021138	604
3897	L1CAM	0.021129	777
2885	GRB2	0.021127	524
6464	SHC1	0.021118	363
3106	HLA-B	0.021115	673
7424	VEGFC	0.021112	340
50649	ARHGEF4	0.021106	1230
7077	TIMP2	0.021104	787
1495	CTNNA1	0.021099	1148
23114	NFASC	0.021084	983
3688	ITGB1	0.021078	564
7039	TGFA	0.021077	820
5159	PDGFRB	0.021077	185
4638	MYLK	0.021077	446
1278	COL1A2	0.021076	410
3480	IGF1R	0.021061	1272
55742	PARVA	0.021058	429
3479	IGF1	0.021043	377
1793	DOCK1	0.021036	474
3913	LAMB2	0.021032	1051
4267	CD99	0.021022	612
7094	TLN1	0.021020	374
2263	FGFR2	0.021017	1385
7040	TGFB1	0.021013	1042
60	ACTB	0.021011	350
3107	HLA-C	0.021008	531
2065	ERBB3	0.021006	1510
2247	FGF2	0.021001	437
3134	HLA-F	0.020998	449
6840	SVIL	0.020998	631
3133	HLA-E	0.020993	723
5819	NECTIN2	0.020989	710
3696	ITGB8	0.020985	647
4628	MYH10	0.020979	1373
81	ACTN4	0.020977	547
56034	PDGFC	0.020970	1096
3655	ITGA6	0.020968	673
23705	CADM1	0.020963	626
1288	COL4A6	0.020963	619
387	RHOA	0.020960	728
7410	VAV2	0.020955	417
6709	SPTAN1	0.020951	1115
1026	CDKN1A	0.020941	501
208	AKT2	0.020941	1017
1435	CSF1	0.020924	790
9369	NRXN3	0.020920	816
10095	ARPC1B	0.020919	871
3679	ITGA7	0.020915	468
999	CDH1	0.020912	414
3105	HLA-A	0.020906	495
2934	GSN	0.020901	585
867	CBL	0.020895	300
5817	PVR	0.020888	487
5880	RAC2	0.020886	535
5228	PGF	0.020884	907
6774	STAT3	0.020883	626
8777	MPDZ	0.020877	559
2017	CTTN	0.020873	330
7074	TIAM1	0.020869	707
2066	ERBB4	0.020865	1450
3909	LAMA3	0.020855	190
4897	NRCAM	0.020845	865
9223	MAGI1	0.020843	693
396	ARHGDIA	0.020839	1387
4684	NCAM1	0.020833	1083
10458	BAIAP2	0.020832	1511
5216	PFN1	0.020831	1170
54434	SSH1	0.020829	830
3984	LIMK1	0.020826	541
5747	PTK2	0.020823	1321
1293	COL6A3	0.020823	131
3113	HLA-DPA1	0.020815	204
10152	ABI2	0.020806	723
2318	FLNC	0.020805	354
5155	PDGFB	0.020798	1747
4629	MYH11	0.020791	511
3914	LAMB3	0.020789	303
10092	ARPC5	0.020787	1173
1398	CRK	0.020785	331
3911	LAMA5	0.020778	792
8826	IQGAP1	0.020772	1234
7422	VEGFA	0.020772	825
3084	NRG1	0.020767	997
7148	TNXB	0.020760	1372
9019	MPZL1	0.020747	758
5770	PTPN1	0.020744	546
5335	PLCG1	0.020737	239
3996	LLGL1	0.020733	546
596	BCL2	0.020731	724
3908	LAMA2	0.020731	343
