#EntrezID	Name	Score	Degree
140890	SREK1	0.021341	1079
23369	PUM2	0.021337	2436
8036	SHOC2	0.021330	1642
10285	SMNDC1	0.021316	1591
200576	PIKFYVE	0.021287	950
9646	CTR9	0.021279	1522
23411	SIRT1	0.021265	1588
23429	RYBP	0.021249	1501
113251	LARP4	0.021241	1566
64795	RMND5A	0.021237	1029
22862	FNDC3A	0.021230	1402
7803	PTP4A1	0.021230	1268
7110	TMF1	0.021215	1473
3192	HNRNPU	0.021206	1683
7514	XPO1	0.021199	1899
6049	RNF6	0.021182	1097
3181	HNRNPA2B1	0.021176	1749
54542	RC3H2	0.021169	1020
152006	RNF38	0.021158	1360
56929	FEM1C	0.021155	663
26973	CHORDC1	0.021145	979
26019	UPF2	0.021122	1048
23200	ATP11B	0.021118	1060
54778	RNF111	0.021090	820
8650	NUMB	0.021075	1040
9559	VPS26A	0.021075	1462
57472	CNOT6	0.021065	828
51024	FIS1	0.021055	920
546	ATRX	0.021038	2161
10808	HSPH1	0.021030	1339
167227	DCP2	0.021022	1379
54665	RSBN1	0.021021	1520
7073	TIAL1	0.021013	850
11052	CPSF6	0.021010	1463
8539	API5	0.021007	1849
3837	KPNB1	0.021002	1924
4673	NAP1L1	0.021000	1683
4154	MBNL1	0.020987	1587
6654	SOS1	0.020952	798
11260	XPOT	0.020952	1753
22908	SACM1L	0.020950	1276
10914	PAPOLA	0.020949	2962
8087	FXR1	0.020943	1804
8898	MTMR2	0.020939	1029
9377	COX5A	0.020936	1455
5927	KDM5A	0.020934	696
10424	PGRMC2	0.020927	1272
23394	ADNP	0.020915	1871
11231	SEC63	0.020914	1732
56647	BCCIP	0.020903	1858
9877	ZC3H11A	0.020901	1283
3189	HNRNPH3	0.020897	1668
57532	NUFIP2	0.020888	1231
572	BAD	0.020881	1145
147339	C18orf25	0.020878	810
9320	TRIP12	0.020867	1383
328	APEX1	0.020863	1534
10228	STX6	0.020854	814
27125	AFF4	0.020851	655
5033	P4HA1	0.020834	727
23603	CORO1C	0.020833	996
28974	C19orf53	0.020832	785
79095	C9orf16	0.020832	1152
25906	ANAPC15	0.020829	619
23049	SMG1	0.020827	890
1739	DLG1	0.020819	1346
80142	PTGES2	0.020818	525
9874	TLK1	0.020818	1249
2033	EP300	0.020814	520
3320	HSP90AA1	0.020811	1462
6400	SEL1L	0.020790	804
10097	ACTR2	0.020779	1044
51141	INSIG2	0.020779	1030
9991	PTBP3	0.020773	1107
2673	GFPT1	0.020769	1373
293	SLC25A6	0.020760	872
10146	G3BP1	0.020757	1663
23760	PITPNB	0.020756	969
57403	RAB22A	0.020756	1438
54726	OTUD4	0.020726	874
57142	RTN4	0.020723	887
25864	ABHD14A	0.020712	949
2058	EPRS	0.020706	1348
7264	TSTA3	0.020706	1261
79006	METRN	0.020697	483
6881	TAF10	0.020696	612
9931	HELZ	0.020696	959
80351	TNKS2	0.020678	286
10884	MRPS30	0.020674	1086
738	VPS51	0.020663	715
11285	B4GALT7	0.020659	703
5494	PPM1A	0.020659	784
23002	DAAM1	0.020645	663
2987	GUK1	0.020632	746
80155	NAA15	0.020631	1006
1351	COX8A	0.020628	1040
57708	MIER1	0.020622	646
3418	IDH2	0.020617	821
25940	FAM98A	0.020614	979
26268	FBXO9	0.020611	766
6120	RPE	0.020603	1518
51762	RAB8B	0.020598	450
56904	SH3GLB2	0.020592	612
64743	WDR13	0.020591	660
7965	AIMP2	0.020587	1778
64116	SLC39A8	0.020586	481
10087	COL4A3BP	0.020586	293
23770	FKBP8	0.020585	1047
27089	UQCRQ	0.020584	1149
2067	ERCC1	0.020583	882
92597	MOB1B	0.020579	386
11331	PHB2	0.020569	1525
2879	GPX4	0.020567	630
5605	MAP2K2	0.020564	1052
11316	COPE	0.020554	766
8545	CGGBP1	0.020549	813
29086	BABAM1	0.020548	803
51693	TRAPPC2L	0.020542	849
1540	CYLD	0.020541	823
79071	ELOVL6	0.020524	723
79139	DERL1	0.020519	1344
23039	XPO7	0.020518	677
10120	ACTR1B	0.020518	695
1808	DPYSL2	0.020514	743
57570	TRMT5	0.020514	925
25824	PRDX5	0.020506	712
128240	NAXE	0.020499	555
79590	MRPL24	0.020491	1091
84304	NUDT22	0.020479	606
5127	CDK16	0.020472	910
56954	NIT2	0.020454	938
4289	MKLN1	0.020435	455
10746	MAP3K2	0.020434	326
10522	DEAF1	0.020426	560
6415	SELENOW	0.020425	523
8525	DGKZ	0.020416	894
63941	NECAB3	0.020406	584
6640	SNTA1	0.020403	728
6934	TCF7L2	0.020399	680
5264	PHYH	0.020398	625
1468	SLC25A10	0.020395	623
11152	WDR45	0.020392	951
10445	MCRS1	0.020390	591
170463	SSBP4	0.020390	538
85465	SELENOI	0.020385	573
80306	MED28	0.020383	673
57128	LYRM4	0.020383	774
50650	ARHGEF3	0.020382	490
25896	INTS7	0.020379	618
84817	TXNDC17	0.020366	1004
1869	E2F1	0.020359	904
50649	ARHGEF4	0.020359	1230
6687	SPG7	0.020353	1186
56987	BBX	0.020352	408
64398	MPP5	0.020352	560
6944	VPS72	0.020342	545
604	BCL6	0.020327	465
9317	PTER	0.020326	543
818	CAMK2G	0.020325	1088
84919	PPP1R15B	0.020325	403
27077	B9D1	0.020320	448
10460	TACC3	0.020318	1100
80055	PGAP1	0.020317	440
5144	PDE4D	0.020316	503
1397	CRIP2	0.020314	573
10400	PEMT	0.020310	392
55004	LAMTOR1	0.020309	432
10116	FEM1B	0.020302	228
3338	DNAJC4	0.020301	2671
2066	ERBB4	0.020293	1450
55152	DALRD3	0.020292	453
23089	PEG10	0.020281	515
1465	CSRP1	0.020280	486
8976	WASL	0.020278	322
23543	RBFOX2	0.020278	979
5192	PEX10	0.020272	431
55279	ZNF654	0.020268	275
7436	VLDLR	0.020264	490
149041	RC3H1	0.020264	187
92305	TMEM129	0.020263	514
9878	TOX4	0.020258	478
121536	AEBP2	0.020254	365
10485	C1orf61	0.020248	1918
283464	GXYLT1	0.020247	248
160760	PPTC7	0.020246	214
57182	ANKRD50	0.020244	478
54461	FBXW5	0.020238	513
6526	SLC5A3	0.020238	353
8704	B4GALT2	0.020233	415
138162	C9orf116	0.020232	407
159090	FAM122B	0.020231	628
7923	HSD17B8	0.020223	378
115708	TRMT61A	0.020221	479
9905	SGSM2	0.020221	807
22847	ZNF507	0.020217	584
3481	IGF2	0.020207	901
51706	CYB5R1	0.020199	420
2261	FGFR3	0.020195	1006
1813	DRD2	0.020189	2169
64236	PDLIM2	0.020186	461
2334	AFF2	0.020184	1728
54587	MXRA8	0.020179	739
3356	HTR2A	0.020179	1168
57799	RAB40C	0.020177	1162
22824	HSPA4L	0.020171	201
54681	P4HTM	0.020170	397
8912	CACNA1H	0.020164	843
389677	RBM12B	0.020157	1128
8646	CHRD	0.020152	1015
83444	INO80B	0.020147	240
6540	SLC6A13	0.020146	904
51257	MARCH2	0.020145	167
55806	HR	0.020143	891
221895	JAZF1	0.020142	486
114926	SMIM19	0.020138	430
6988	TCTA	0.020138	264
8482	SEMA7A	0.020127	932
10622	POLR3G	0.020126	343
84681	HINT2	0.020124	388
3084	NRG1	0.020120	997
4524	MTHFR	0.020120	1162
1826	DSCAM	0.020117	793
116150	NUS1	0.020117	426
8986	RPS6KA4	0.020115	555
5878	RAB5C	0.020114	312
56146	PCDHA2	0.020110	816
127253	TYW3	0.020107	446
2356	FPGS	0.020102	196
755	C21orf2	0.020102	1482
636	BICD1	0.020102	610
57223	PPP4R3B	0.020101	244
56986	DTWD1	0.020097	412
2558	GABRA5	0.020089	569
3489	IGFBP6	0.020089	420
7077	TIMP2	0.020070	787
6624	FSCN1	0.020070	515
126792	B3GALT6	0.020061	424
2954	GSTZ1	0.020059	207
64376	IKZF5	0.020057	172
4185	ADAM11	0.020056	950
116	ADCYAP1	0.020056	705
56829	ZC3HAV1	0.020054	308
55466	DNAJA4	0.020049	645
51308	REEP2	0.020048	322
92	ACVR2A	0.020047	312
84572	GNPTG	0.020044	289
80347	COASY	0.020042	457
84458	LCOR	0.020041	188
22845	DOLK	0.020040	462
84993	UBL7	0.020037	189
51162	EGFL7	0.020035	350
8303	SNN	0.020033	549
3658	IREB2	0.020033	193
11178	LZTS1	0.020032	1101
1289	COL5A1	0.020025	600
28988	DBNL	0.020014	285
153222	CREBRF	0.020010	327
