#DiseaseAUCs	BiologicalProcessAUCs
0.551347	0.734587
0.572360	0.791522
0.576152	0.790731
0.576265	0.776493
0.683651	0.784024
0.571305	0.737418
0.602760	0.799706
0.520757	0.795742
0.624470	0.756519
0.599665	0.781758
0.573964	0.776416
0.571194	0.792062
0.648309	0.743682
0.632364	0.773237
0.648435	0.735163
0.573752	0.841665
0.601936	0.739218
0.569944	0.755731
0.585485	0.729788
0.562319	0.778644
0.575637	0.743735
0.610467	0.773005
0.589688	0.801094
0.672527	0.785296
0.560399	0.774718
0.596839	0.769984
0.444688	0.798030
0.656986	0.730081
0.552367	0.766240
0.483376	0.756941
0.611553	0.730641
0.510849	0.770897
0.686963	0.810834
0.507928	0.762214
0.466190	0.780371
0.521613	0.779486
0.580503	0.808788
0.601958	0.791897
0.616343	0.755093
0.622055	0.778754
0.410255	0.768344
0.579969	0.803659
0.593568	0.767863
0.570992	0.782313
0.530769	0.778120
0.536557	0.778402
0.510552	0.790230
0.549626	0.709897
0.532298	0.783276
0.643298	0.805993
