#Iter	Time	Change
0	0.01	5.486606e+02
1	0.01	4.950973e+02
2	0.01	4.537861e+02
3	0.01	4.133324e+02
4	0.01	3.742317e+02
5	0.01	3.385762e+02
6	0.01	3.062676e+02
7	0.01	2.773010e+02
8	0.01	2.513061e+02
9	0.01	2.280168e+02
10	0.01	2.071001e+02
11	0.01	1.883030e+02
12	0.01	1.713696e+02
13	0.01	1.560972e+02
14	0.01	1.422946e+02
15	0.01	1.298048e+02
16	0.01	1.184843e+02
17	0.01	1.082121e+02
18	0.01	9.887892e+01
19	0.01	9.039081e+01
20	0.01	8.266328e+01
21	0.01	7.562266e+01
22	0.01	6.920272e+01
23	0.01	6.334500e+01
24	0.01	5.799693e+01
25	0.01	5.311168e+01
26	0.01	4.864701e+01
27	0.01	4.456509e+01
28	0.01	4.083168e+01
29	0.01	3.741596e+01
30	0.01	3.428996e+01
31	0.01	3.142842e+01
32	0.01	2.880836e+01
33	0.01	2.640894e+01
34	0.01	2.421119e+01
35	0.01	2.219787e+01
36	0.01	2.035324e+01
37	0.01	1.866298e+01
38	0.01	1.711400e+01
39	0.01	1.569436e+01
40	0.01	1.439316e+01
41	0.01	1.320044e+01
42	0.01	1.210707e+01
43	0.01	1.110473e+01
44	0.01	1.018580e+01
45	0.01	9.343299e+00
46	0.01	8.570837e+00
47	0.01	7.862569e+00
48	0.01	7.213142e+00
49	0.01	6.617651e+00
50	0.01	6.071602e+00
51	0.01	5.570881e+00
52	0.01	5.111715e+00
53	0.01	4.690649e+00
54	0.01	4.304513e+00
55	0.01	3.950407e+00
56	0.01	3.625667e+00
57	0.01	3.327856e+00
58	0.01	3.054735e+00
59	0.01	2.804256e+00
60	0.01	2.574539e+00
61	0.01	2.363861e+00
62	0.01	2.170641e+00
63	0.01	1.993431e+00
64	0.01	1.830902e+00
65	0.01	1.681837e+00
66	0.01	1.545118e+00
67	0.01	1.419722e+00
68	0.01	1.304709e+00
69	0.01	1.199218e+00
70	0.01	1.102460e+00
71	0.01	1.013710e+00
72	0.01	9.323037e-01
73	0.01	8.576329e-01
74	0.01	7.891388e-01
75	0.01	7.263092e-01
76	0.01	6.686744e-01
77	0.01	6.158039e-01
78	0.01	5.673025e-01
79	0.01	5.228081e-01
80	0.01	4.819885e-01
81	0.01	4.445391e-01
82	0.01	4.101804e-01
83	0.01	3.786563e-01
84	0.01	3.497318e-01
85	0.01	3.231914e-01
86	0.01	2.988375e-01
87	0.01	2.764890e-01
88	0.01	2.559796e-01
89	0.01	2.371568e-01
90	0.01	2.198810e-01
91	0.01	2.040240e-01
92	0.01	1.894681e-01
93	0.01	1.761055e-01
94	0.01	1.638375e-01
95	0.01	1.525733e-01
96	0.01	1.422297e-01
97	0.01	1.327305e-01
98	0.01	1.240059e-01
99	0.01	1.159915e-01
100	0.01	1.086286e-01
101	0.01	1.018633e-01
102	0.01	9.564610e-02
103	0.01	8.993159e-02
104	0.01	8.467819e-02
105	0.01	7.984773e-02
106	0.01	7.540522e-02
107	0.01	7.131857e-02
108	0.01	6.755834e-02
109	0.01	6.409753e-02
110	0.01	6.091139e-02
111	0.01	5.797722e-02
112	0.01	5.527420e-02
113	0.01	5.278322e-02
114	0.01	5.048678e-02
115	0.01	4.836882e-02
116	0.01	4.641460e-02
117	0.01	4.461062e-02
118	0.01	4.294448e-02
119	0.01	4.140483e-02
120	0.01	3.998124e-02
121	0.01	3.866416e-02
122	0.01	3.744483e-02
123	0.01	3.631519e-02
124	0.01	3.526789e-02
125	0.01	3.429616e-02
126	0.01	3.339380e-02
127	0.01	3.255511e-02
128	0.01	3.177490e-02
129	0.01	3.104836e-02
130	0.01	3.037112e-02
131	0.01	2.973915e-02
132	0.01	2.914875e-02
133	0.01	2.859655e-02
134	0.01	2.807943e-02
135	0.01	2.759456e-02
136	0.01	2.713931e-02
137	0.01	2.671129e-02
138	0.01	2.630831e-02
139	0.01	2.592835e-02
140	0.01	2.556955e-02
141	0.01	2.523023e-02
142	0.01	2.490883e-02
143	0.01	2.460391e-02
144	0.01	2.431418e-02
145	0.01	2.403843e-02
146	0.01	2.377556e-02
147	0.01	2.352456e-02
148	0.01	2.328450e-02
149	0.01	2.305453e-02
150	0.01	2.283387e-02
151	0.01	2.262180e-02
152	0.01	2.241767e-02
153	0.01	2.222088e-02
