#DiseaseAUCs	BiologicalProcessAUCs
0.615128	0.811159
0.659208	0.789691
0.639910	0.786641
0.675158	0.773675
0.656749	0.750008
0.669657	0.759447
0.672571	0.797658
0.653415	0.787409
0.659796	0.795983
0.679160	0.759815
0.613040	0.775065
0.681482	0.741319
0.606270	0.761483
0.642718	0.768544
0.637519	0.727779
0.636544	0.816077
0.613227	0.810600
0.591916	0.768700
0.634569	0.767846
0.575091	0.817882
0.558723	0.766511
0.613807	0.796299
0.659753	0.808610
0.583480	0.754030
0.659993	0.810100
0.614612	0.768658
0.676822	0.787572
0.606309	0.789030
0.637119	0.778848
0.680944	0.754426
0.668203	0.783238
0.640930	0.794782
0.653970	0.744435
0.612714	0.781363
0.607936	0.817927
0.604183	0.814947
0.667250	0.771125
0.611178	0.744627
0.633209	0.816812
0.604829	0.772237
0.662424	0.806008
0.630032	0.793008
0.616617	0.781082
0.651895	0.772014
0.688037	0.782336
0.600600	0.797449
0.653863	0.777068
0.647977	0.776270
0.660560	0.795261
0.623171	0.801706
