#Iter	Time	Change
0	0.00	3.055301e+02
1	0.00	1.165951e+02
2	0.00	8.435190e+01
3	0.00	7.142232e+01
4	0.00	6.139599e+01
5	0.00	5.395965e+01
6	0.00	4.760796e+01
7	0.00	4.213897e+01
8	0.00	3.740029e+01
9	0.00	3.323226e+01
10	0.00	2.957219e+01
11	0.00	2.633887e+01
12	0.00	2.347557e+01
13	0.00	2.093896e+01
14	0.00	1.868903e+01
15	0.00	1.668957e+01
16	0.00	1.491623e+01
17	0.00	1.333583e+01
18	0.00	1.193264e+01
19	0.00	1.068029e+01
20	0.00	9.566663e+00
21	0.00	8.571848e+00
22	0.00	7.685928e+00
23	0.00	6.893911e+00
24	0.00	6.187554e+00
25	0.00	5.555654e+00
26	0.00	4.991267e+00
27	0.00	4.486094e+00
28	0.00	4.034240e+00
29	0.00	3.629595e+00
30	0.00	3.267151e+00
31	0.00	2.942430e+00
32	0.00	2.651182e+00
33	0.00	2.390136e+00
34	0.00	2.155700e+00
35	0.00	1.945484e+00
36	0.00	1.756471e+00
37	0.00	1.586908e+00
38	0.00	1.434278e+00
39	0.00	1.297288e+00
40	0.00	1.173852e+00
41	0.00	1.063004e+00
42	0.00	9.630288e-01
43	0.00	8.731964e-01
44	0.00	7.921048e-01
45	0.00	7.191916e-01
46	0.00	6.533204e-01
47	0.00	5.940484e-01
48	0.00	5.404615e-01
49	0.00	4.922027e-01
50	0.00	4.485431e-01
51	0.00	4.091876e-01
52	0.00	3.735603e-01
53	0.00	3.414114e-01
54	0.00	3.122907e-01
55	0.00	2.859822e-01
56	0.00	2.621383e-01
57	0.00	2.405687e-01
58	0.00	2.210091e-01
59	0.00	2.032893e-01
60	0.00	1.872118e-01
61	0.00	1.726232e-01
62	0.00	1.593794e-01
63	0.00	1.473406e-01
64	0.00	1.364052e-01
65	0.00	1.264454e-01
66	0.00	1.173928e-01
67	0.00	1.091302e-01
68	0.00	1.016152e-01
69	0.00	9.474005e-02
70	0.00	8.848238e-02
71	0.00	8.274307e-02
72	0.00	7.751493e-02
73	0.00	7.270692e-02
74	0.00	6.832307e-02
75	0.00	6.427987e-02
76	0.00	6.058952e-02
77	0.00	5.717552e-02
78	0.00	5.405581e-02
79	0.00	5.116044e-02
80	0.00	4.851118e-02
81	0.00	4.604419e-02
82	0.00	4.378360e-02
83	0.00	4.167124e-02
84	0.00	3.973249e-02
85	0.00	3.791444e-02
86	0.00	3.624287e-02
87	0.00	3.466974e-02
88	0.00	3.322058e-02
89	0.00	3.185187e-02
90	0.00	3.058841e-02
91	0.00	2.939084e-02
92	0.00	2.828295e-02
93	0.00	2.722919e-02
94	0.00	2.625208e-02
95	0.00	2.531959e-02
96	0.00	2.445286e-02
97	0.00	2.362304e-02
98	0.00	2.284986e-02
99	0.00	2.210735e-02
100	0.00	2.141379e-02
101	0.00	2.074586e-02
102	0.00	2.012039e-02
103	0.00	1.951646e-02
104	0.00	1.894951e-02
105	0.00	1.840078e-02
106	0.00	1.788437e-02
107	0.00	1.738350e-02
108	0.00	1.691099e-02
109	0.00	1.645182e-02
110	0.00	1.601762e-02
111	0.00	1.559499e-02
112	0.00	1.519443e-02
113	0.00	1.480397e-02
114	0.00	1.443310e-02
115	0.00	1.407114e-02
116	0.00	1.372662e-02
117	0.00	1.339002e-02
118	0.00	1.306900e-02
119	0.00	1.275509e-02
120	0.00	1.245516e-02
121	0.00	1.216166e-02
122	0.00	1.188073e-02
123	0.00	1.160566e-02
124	0.00	1.134194e-02
125	0.00	1.108360e-02
126	0.00	1.083554e-02
127	0.00	1.059245e-02
128	0.00	1.035870e-02
129	0.00	1.012956e-02
130	0.00	9.908933e-03
131	0.00	9.692618e-03
132	0.00	9.484074e-03
133	0.00	9.279576e-03
134	0.00	9.082196e-03
135	0.00	8.888627e-03
136	0.00	8.701593e-03
137	0.00	8.518161e-03
138	0.00	8.340742e-03
139	0.00	8.166736e-03
140	0.00	7.998278e-03
141	0.00	7.833060e-03
142	0.00	7.672971e-03
143	0.00	7.515964e-03
144	0.00	7.363707e-03
145	0.00	7.214387e-03
146	0.00	7.069476e-03
147	0.00	6.927366e-03
148	0.00	6.789355e-03
149	0.00	6.654018e-03
150	0.00	6.522499e-03
151	0.00	6.393535e-03
152	0.00	6.268132e-03
153	0.00	6.145171e-03
154	0.00	6.025538e-03
155	0.00	5.908239e-03
156	0.00	5.794055e-03
157	0.00	5.682104e-03
158	0.00	5.573071e-03
159	0.00	5.466174e-03
160	0.00	5.362014e-03
161	0.00	5.259899e-03
162	0.00	5.160355e-03
163	0.00	5.062767e-03
164	0.00	4.967597e-03
165	0.00	4.874300e-03
166	0.00	4.783278e-03
167	0.00	4.694049e-03
168	0.00	4.606964e-03
169	0.00	4.521595e-03
170	0.00	4.438248e-03
171	0.00	4.356543e-03
172	0.00	4.276747e-03
173	0.00	4.198523e-03
174	0.00	4.122103e-03
175	0.00	4.047186e-03
176	0.00	3.973976e-03
177	0.00	3.902205e-03
178	0.00	3.832049e-03
179	0.00	3.763270e-03
180	0.00	3.696021e-03
181	0.00	3.630089e-03
182	0.00	3.565607e-03
183	0.00	3.502386e-03
184	0.00	3.440541e-03
185	0.00	3.379902e-03
186	0.00	3.320567e-03
187	0.00	3.262388e-03
188	0.00	3.205448e-03
189	0.00	3.149613e-03
190	0.00	3.094956e-03
191	0.00	3.041356e-03
192	0.00	2.988875e-03
193	0.00	2.937407e-03
194	0.00	2.887004e-03
195	0.00	2.837569e-03
196	0.00	2.789148e-03
197	0.00	2.741655e-03
198	0.00	2.695126e-03
199	0.00	2.649485e-03
200	0.00	2.604763e-03
201	0.00	2.560891e-03
202	0.00	2.517896e-03
203	0.00	2.475714e-03
204	0.00	2.434367e-03
205	0.00	2.393800e-03
206	0.00	2.354030e-03
207	0.00	2.315005e-03
208	0.00	2.276742e-03
209	0.00	2.239193e-03
210	0.00	2.202370e-03
211	0.00	2.166231e-03
212	0.00	2.130786e-03
213	0.00	2.095997e-03
214	0.00	2.061871e-03
215	0.00	2.028373e-03
216	0.00	1.995508e-03
217	0.00	1.963246e-03
218	0.00	1.931589e-03
219	0.00	1.900510e-03
220	0.00	1.870009e-03
221	0.00	1.840062e-03
222	0.00	1.810669e-03
223	0.00	1.781807e-03
224	0.00	1.753476e-03
225	0.00	1.725653e-03
226	0.00	1.698338e-03
227	0.00	1.671511e-03
228	0.00	1.645171e-03
229	0.00	1.619299e-03
230	0.00	1.593893e-03
231	0.00	1.568936e-03
232	0.00	1.544426e-03
233	0.00	1.520347e-03
234	0.00	1.496697e-03
235	0.00	1.473460e-03
236	0.00	1.450634e-03
237	0.00	1.428206e-03
238	0.00	1.406171e-03
239	0.00	1.384519e-03
240	0.00	1.363244e-03
241	0.00	1.342336e-03
242	0.00	1.321790e-03
243	0.00	1.301597e-03
244	0.00	1.281752e-03
245	0.00	1.262246e-03
246	0.00	1.243074e-03
247	0.00	1.224228e-03
248	0.00	1.205703e-03
249	0.00	1.187491e-03
250	0.00	1.169587e-03
251	0.00	1.151984e-03
252	0.00	1.134678e-03
253	0.00	1.117662e-03
254	0.00	1.100930e-03
255	0.00	1.084477e-03
256	0.00	1.068298e-03
257	0.00	1.052387e-03
258	0.00	1.036740e-03
259	0.00	1.021351e-03
260	0.00	1.006215e-03
261	0.00	9.913279e-04
