#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
57125	PLXDC1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
23761	PISD	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
55966	AJAP1	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
1135	CHRNA2	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
3356	HTR2A	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
79042	TSEN34	Unlabeled	1.000000	Unlabeled	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
1264	CNN1	Positive	1.000000	Unlabeled	1.000000	1.000000	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.801016	0.801016	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.686767	0.686767	NO
8646	CHRD	Positive	1.000000	Unlabeled	0.623858	0.623858	NO
1396	CRIP1	Unlabeled	1.000000	Unlabeled	0.623716	0.623716	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.623703	0.623703	NO
604	BCL6	Positive	1.000000	Unlabeled	0.604047	0.604047	NO
6624	FSCN1	Positive	1.000000	Unlabeled	0.597203	0.597203	NO
5878	RAB5C	Positive	1.000000	Unlabeled	0.585237	0.585237	NO
27185	DISC1	Positive	1.000000	Unlabeled	0.578614	0.578614	NO
162427	RETREG3	Positive	1.000000	Unlabeled	0.563558	0.563558	NO
8835	SOCS2	Positive	1.000000	Unlabeled	0.546496	0.546496	NO
64236	PDLIM2	Positive	1.000000	Unlabeled	0.507219	0.507219	NO
4987	OPRL1	Unlabeled	0.500000	Unlabeled	1.000000	0.500000	NO
5170	PDPK1	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
3690	ITGB3	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
3674	ITGA2B	Unlabeled	0.500000	Unlabeled	1.000000	0.500000	YES
55816	DOK5	Unlabeled	1.000000	Unlabeled	0.500000	0.500000	NO
921	CD5	Unlabeled	0.500000	Unlabeled	1.000000	0.500000	NO
5580	PRKCD	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
10023	FRAT1	Positive	1.000000	Unlabeled	0.500000	0.500000	NO
23401	FRAT2	Unlabeled	1.000000	Unlabeled	0.500000	0.500000	NO
753	LDLRAD4	Unlabeled	1.000000	Unlabeled	0.500000	0.500000	NO
3730	ANOS1	Positive	1.000000	Unlabeled	0.500000	0.500000	NO
923	CD6	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
6285	S100B	Unlabeled	1.000000	Unlabeled	0.500000	0.500000	NO
6271	S100A1	Positive	1.000000	Unlabeled	0.500000	0.500000	NO
933	CD22	Unlabeled	0.500000	Positive	1.000000	0.500000	NO
23345	SYNE1	Unlabeled	0.633275	Unlabeled	0.784797	0.496992	NO
51162	EGFL7	Positive	1.000000	Unlabeled	0.475366	0.475366	NO
8986	RPS6KA4	Positive	1.000000	Unlabeled	0.470576	0.470576	NO
63941	NECAB3	Positive	1.000000	Unlabeled	0.469634	0.469634	NO
599	BCL2L2	Unlabeled	0.575242	Unlabeled	0.766269	0.440790	NO
8991	SELENBP1	Positive	1.000000	Unlabeled	0.435360	0.435360	NO
5610	EIF2AK2	Positive	1.000000	Unlabeled	0.424822	0.424822	NO
8482	SEMA7A	Positive	1.000000	Unlabeled	0.421912	0.421912	NO
8874	ARHGEF7	Unlabeled	0.419374	Positive	1.000000	0.419374	NO
8525	DGKZ	Positive	1.000000	Unlabeled	0.412393	0.412393	NO
51762	RAB8B	Positive	1.000000	Unlabeled	0.409361	0.409361	NO
1465	CSRP1	Positive	1.000000	Unlabeled	0.409029	0.409029	NO
89795	NAV3	Unlabeled	0.468542	Unlabeled	0.867461	0.406442	NO
23089	PEG10	Positive	1.000000	Unlabeled	0.405929	0.405929	NO
2558	GABRA5	Positive	1.000000	Unlabeled	0.402696	0.402696	NO
330	BIRC3	Positive	1.000000	Unlabeled	0.395607	0.395607	NO
4974	OMG	Positive	1.000000	Unlabeled	0.392077	0.392077	NO
399665	FAM102A	Unlabeled	1.000000	Unlabeled	0.390658	0.390658	NO
79095	C9orf16	Positive	1.000000	Unlabeled	0.390521	0.390521	NO
22848	AAK1	Unlabeled	0.479965	Unlabeled	0.813018	0.390220	NO
54587	MXRA8	Positive	1.000000	Unlabeled	0.385902	0.385902	NO
5127	CDK16	Positive	1.000000	Unlabeled	0.384261	0.384261	NO
51257	MARCH2	Positive	1.000000	Unlabeled	0.384060	0.384060	NO
199731	CADM4	Unlabeled	0.580213	Unlabeled	0.658039	0.381803	NO
170463	SSBP4	Positive	1.000000	Unlabeled	0.371448	0.371448	NO
23603	CORO1C	Positive	1.000000	Unlabeled	0.367498	0.367498	NO
23130	ATG2A	Unlabeled	1.000000	Unlabeled	0.361441	0.361441	NO
11152	WDR45	Positive	1.000000	Unlabeled	0.361301	0.361301	NO
79754	ASB13	Positive	1.000000	Unlabeled	0.355755	0.355755	NO
4213	MEIS3P1	Positive	1.000000	Unlabeled	0.354893	0.354893	NO
6198	RPS6KB1	Unlabeled	0.353212	Positive	1.000000	0.353212	NO
5908	RAP1B	Unlabeled	0.352468	Positive	1.000000	0.352468	NO
8545	CGGBP1	Unlabeled	1.000000	Unlabeled	0.348948	0.348948	NO
9991	PTBP3	Positive	1.000000	Unlabeled	0.348765	0.348765	NO
11316	COPE	Positive	1.000000	Unlabeled	0.343164	0.343164	NO
54726	OTUD4	Positive	1.000000	Unlabeled	0.341208	0.341208	NO
10445	MCRS1	Positive	1.000000	Unlabeled	0.333467	0.333467	NO
5579	PRKCB	Unlabeled	0.324733	Positive	1.000000	0.324733	NO
868	CBLB	Unlabeled	0.322479	Positive	1.000000	0.322479	NO
10298	PAK4	Unlabeled	0.322138	Positive	1.000000	0.322138	NO
138162	C9orf116	Positive	1.000000	Unlabeled	0.318859	0.318859	NO
5520	PPP2R2A	Unlabeled	0.315998	Positive	1.000000	0.315998	NO
2869	GRK5	Unlabeled	0.576567	Unlabeled	0.547459	0.315647	NO
57521	RPTOR	Unlabeled	0.313685	Unlabeled	1.000000	0.313685	NO
2475	MTOR	Unlabeled	0.312809	Positive	1.000000	0.312809	NO
84966	IGSF21	Unlabeled	1.000000	Unlabeled	0.312021	0.312021	NO
56144	PCDHA4	Positive	1.000000	Unlabeled	0.311829	0.311829	NO
23157	SEPT6	Unlabeled	0.311669	Unlabeled	1.000000	0.311669	NO
26999	CYFIP2	Unlabeled	0.311468	Positive	1.000000	0.311468	NO
79716	NPEPL1	Unlabeled	1.000000	Unlabeled	0.311254	0.311254	NO
10500	SEMA6C	Unlabeled	1.000000	Unlabeled	0.311254	0.311254	NO
64598	MOSPD3	Unlabeled	1.000000	Unlabeled	0.311254	0.311254	NO
57664	PLEKHA4	Unlabeled	1.000000	Unlabeled	0.311254	0.311254	NO
3338	DNAJC4	Positive	1.000000	Unlabeled	0.311225	0.311225	NO
10522	DEAF1	Positive	1.000000	Unlabeled	0.310808	0.310808	NO
22874	PLEKHA6	Unlabeled	0.310735	Unlabeled	1.000000	0.310735	NO
5753	PTK6	Unlabeled	0.310735	Unlabeled	1.000000	0.310735	NO
54805	CNNM2	Unlabeled	0.310735	Unlabeled	1.000000	0.310735	NO
2065	ERBB3	Unlabeled	0.310615	Positive	1.000000	0.310615	NO
27291	R3HCC1L	Unlabeled	0.310428	Unlabeled	1.000000	0.310428	NO
10672	GNA13	Unlabeled	0.310288	Positive	1.000000	0.310288	NO
64743	WDR13	Positive	1.000000	Unlabeled	0.308632	0.308632	NO
57157	PHTF2	Unlabeled	1.000000	Unlabeled	0.306619	0.306619	NO
4154	MBNL1	Positive	1.000000	Unlabeled	0.306416	0.306416	NO
5500	PPP1CB	Unlabeled	0.303088	Positive	1.000000	0.303088	NO
5290	PIK3CA	Unlabeled	0.302425	Positive	1.000000	0.302425	NO
9320	TRIP12	Positive	1.000000	Unlabeled	0.301876	0.301876	NO
1027	CDKN1B	Unlabeled	0.301674	Positive	1.000000	0.301674	NO
4659	PPP1R12A	Unlabeled	0.299085	Positive	1.000000	0.299085	NO
10097	ACTR2	Unlabeled	0.298458	Positive	1.000000	0.298458	NO
55466	DNAJA4	Positive	1.000000	Unlabeled	0.297230	0.297230	NO
23411	SIRT1	Positive	1.000000	Unlabeled	0.297043	0.297043	NO
5906	RAP1A	Unlabeled	0.295371	Positive	1.000000	0.295371	NO
135	ADORA2A	Unlabeled	1.000000	Unlabeled	0.293544	0.293544	NO
