#EntrezID	Name	Score
79042	TSEN34	1.000000
57664	PLEKHA4	1.000000
26469	PTPN18	1.000000
4673	NAP1L1	1.000000
57125	PLXDC1	1.000000
162427	RETREG3	1.000000
293	SLC25A6	1.000000
138162	C9orf116	1.000000
8658	TNKS	1.000000
5127	CDK16	1.000000
8525	DGKZ	1.000000
9862	MED24	1.000000
116	ADCYAP1	1.000000
64598	MOSPD3	1.000000
6944	VPS72	1.000000
363	AQP6	1.000000
57799	RAB40C	1.000000
3189	HNRNPH3	1.000000
84966	IGSF21	1.000000
2	A2M	1.000000
9877	ZC3H11A	1.000000
4154	MBNL1	1.000000
56647	BCCIP	1.000000
6988	TCTA	1.000000
4974	OMG	1.000000
1397	CRIP2	1.000000
9991	PTBP3	1.000000
8482	SEMA7A	1.000000
56144	PCDHA4	1.000000
50649	ARHGEF4	1.000000
10445	MCRS1	1.000000
11052	CPSF6	1.000000
8986	RPS6KA4	1.000000
8835	SOCS2	1.000000
27185	DISC1	1.000000
6285	S100B	1.000000
1465	CSRP1	1.000000
55966	AJAP1	1.000000
10116	FEM1B	1.000000
79716	NPEPL1	1.000000
348	APOE	1.000000
10023	FRAT1	1.000000
604	BCL6	1.000000
10146	G3BP1	1.000000
23603	CORO1C	1.000000
572	BAD	1.000000
4213	MEIS3P1	1.000000
1264	CNN1	1.000000
80055	PGAP1	1.000000
64236	PDLIM2	1.000000
8545	CGGBP1	1.000000
79095	C9orf16	1.000000
79754	ASB13	1.000000
10914	PAPOLA	1.000000
170463	SSBP4	1.000000
5360	PLTP	1.000000
7803	PTP4A1	1.000000
54915	YTHDF1	1.000000
818	CAMK2G	1.000000
3084	NRG1	1.000000
3730	ANOS1	1.000000
50509	COL5A3	1.000000
328	APEX1	1.000000
3320	HSP90AA1	1.000000
1135	CHRNA2	1.000000
399665	FAM102A	1.000000
4015	LOX	1.000000
23089	PEG10	1.000000
6271	S100A1	1.000000
1808	DPYSL2	1.000000
113251	LARP4	1.000000
1396	CRIP1	1.000000
5201	PFDN1	1.000000
8991	SELENBP1	1.000000
6624	FSCN1	1.000000
8087	FXR1	1.000000
4582	MUC1	1.000000
23200	ATP11B	1.000000
167227	DCP2	1.000000
11152	WDR45	1.000000
2058	EPRS	1.000000
10460	TACC3	1.000000
140890	SREK1	1.000000
55466	DNAJA4	1.000000
29086	BABAM1	1.000000
200576	PIKFYVE	1.000000
1869	E2F1	1.000000
23760	PITPNB	1.000000
54726	OTUD4	1.000000
64795	RMND5A	1.000000
23401	FRAT2	1.000000
5927	KDM5A	1.000000
5820	PVT1	1.000000
6540	SLC6A13	1.000000
51257	MARCH2	1.000000
5033	P4HA1	1.000000
7514	XPO1	1.000000
10500	SEMA6C	1.000000
57188	ADAMTSL3	1.000000
51162	EGFL7	1.000000
54587	MXRA8	1.000000
10285	SMNDC1	1.000000
