#DiseaseAUCs	BiologicalProcessAUCs
0.578486	0.728548
0.602669	0.750320
0.572328	0.748436
0.558559	0.759276
0.551023	0.748970
0.609763	0.730271
0.581569	0.770002
0.625586	0.806653
0.563440	0.727726
0.643905	0.755103
0.555716	0.763798
0.599456	0.747462
0.534804	0.743841
0.572153	0.799137
0.591996	0.711099
0.610926	0.740159
0.581568	0.755100
0.541447	0.780643
0.634664	0.755389
0.655987	0.771851
0.582790	0.753973
0.622965	0.732255
0.612872	0.763706
0.577385	0.780790
0.653027	0.770122
0.648763	0.725789
0.547021	0.727098
0.618788	0.723828
0.630599	0.748501
0.597450	0.743170
0.653584	0.711824
0.604911	0.771142
0.628965	0.739108
0.584617	0.755090
0.602418	0.750527
0.605535	0.788734
0.624094	0.756051
0.662318	0.769194
0.569569	0.733257
0.592025	0.740928
0.611751	0.786544
0.601676	0.776512
0.595936	0.772694
0.599083	0.760031
0.589955	0.768218
0.555010	0.749047
0.579212	0.739440
0.608331	0.767109
0.583074	0.755411
0.635992	0.739634
