#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?
54776	PPP1R12C	Positive	1.000000	Positive	1.000000	1.000000	NO
50649	ARHGEF4	Positive	1.000000	Positive	1.000000	1.000000	NO
3084	NRG1	Positive	1.000000	Positive	1.000000	1.000000	NO
50509	COL5A3	Positive	1.000000	Positive	1.000000	1.000000	NO
818	CAMK2G	Positive	1.000000	Positive	1.000000	1.000000	NO
2149	F2R	Positive	1.000000	Positive	1.000000	1.000000	NO
572	BAD	Positive	1.000000	Positive	1.000000	1.000000	NO
200576	PIKFYVE	Positive	1.000000	Positive	1.000000	1.000000	NO
9957	HS3ST1	Positive	1.000000	Unlabeled	0.446279	0.446279	NO
7124	TNF	Positive	1.000000	Unlabeled	0.430641	0.430641	NO
343477	HSP90B3P	Unlabeled	1.000000	Unlabeled	0.430641	0.430641	NO
3598	IL13RA2	Positive	1.000000	Unlabeled	0.416563	0.416563	NO
4015	LOX	Positive	1.000000	Unlabeled	0.399749	0.399749	NO
1264	CNN1	Positive	1.000000	Unlabeled	0.399435	0.399435	NO
285368	PRRT3	Positive	1.000000	Unlabeled	0.398991	0.398991	NO
92126	DSEL	Positive	1.000000	Unlabeled	0.395622	0.395622	NO
53342	IL17D	Positive	1.000000	Unlabeled	0.393643	0.393643	NO
9750	RIPOR2	Positive	1.000000	Unlabeled	0.391271	0.391271	NO
79669	C3orf52	Positive	1.000000	Unlabeled	0.388446	0.388446	NO
1809	DPYSL3	Positive	1.000000	Unlabeled	0.386011	0.386011	NO
92241	RCSD1	Positive	1.000000	Unlabeled	0.382635	0.382635	NO
255239	ANKK1	Positive	1.000000	Unlabeled	0.381421	0.381421	NO
56961	SHD	Positive	1.000000	Unlabeled	0.379554	0.379554	NO
4213	MEIS3P1	Positive	1.000000	Unlabeled	0.378117	0.378117	NO
10266	RAMP2	Positive	1.000000	Unlabeled	0.376334	0.376334	NO
348	APOE	Positive	1.000000	Unlabeled	0.375660	0.375660	NO
5878	RAB5C	Positive	1.000000	Unlabeled	0.372700	0.372700	NO
56603	CYP26B1	Positive	1.000000	Unlabeled	0.371849	0.371849	NO
56147	PCDHA1	Positive	1.000000	Unlabeled	0.371691	0.371691	NO
6578	SLCO2A1	Positive	1.000000	Unlabeled	0.371077	0.371077	NO
8476	CDC42BPA	Positive	1.000000	Unlabeled	0.370888	0.370888	NO
3730	ANOS1	Positive	1.000000	Unlabeled	0.370123	0.370123	NO
10100	TSPAN2	Positive	1.000000	Unlabeled	0.370095	0.370095	NO
330	BIRC3	Positive	1.000000	Unlabeled	0.369558	0.369558	NO
91851	CHRDL1	Positive	1.000000	Unlabeled	0.369095	0.369095	NO
4582	MUC1	Positive	1.000000	Unlabeled	0.368767	0.368767	NO
9715	FAM131B	Positive	1.000000	Unlabeled	0.368579	0.368579	NO
6948	TCN2	Positive	1.000000	Unlabeled	0.367934	0.367934	NO
6624	FSCN1	Positive	1.000000	Unlabeled	0.366031	0.366031	NO
7123	CLEC3B	Positive	1.000000	Unlabeled	0.365612	0.365612	NO
9452	ITM2A	Positive	1.000000	Unlabeled	0.364982	0.364982	NO
159371	SLC35G1	Positive	1.000000	Unlabeled	0.364621	0.364621	NO
3552	IL1A	Positive	1.000000	Unlabeled	0.364109	0.364109	NO
1397	CRIP2	Positive	1.000000	Unlabeled	0.363277	0.363277	NO
9244	CRLF1	Positive	1.000000	Unlabeled	0.361060	0.361060	NO
54587	MXRA8	Positive	1.000000	Unlabeled	0.360700	0.360700	NO
51621	KLF13	Positive	1.000000	Unlabeled	0.360196	0.360196	NO
64283	ARHGEF28	Positive	1.000000	Unlabeled	0.356356	0.356356	NO
27324	TOX3	Positive	1.000000	Unlabeled	0.355528	0.355528	NO
51361	HOOK1	Positive	1.000000	Unlabeled	0.355045	0.355045	NO
1465	CSRP1	Positive	1.000000	Unlabeled	0.354995	0.354995	NO
92	ACVR2A	Positive	1.000000	Unlabeled	0.354894	0.354894	NO
5625	PRODH	Positive	1.000000	Unlabeled	0.352310	0.352310	NO
138311	FAM69B	Positive	1.000000	Unlabeled	0.352150	0.352150	NO
401303	ZNF815P	Positive	1.000000	Unlabeled	0.351177	0.351177	NO
8986	RPS6KA4	Positive	1.000000	Unlabeled	0.350987	0.350987	NO
56140	PCDHA8	Positive	1.000000	Unlabeled	0.350589	0.350589	NO
390616	ANKRD34C	Positive	1.000000	Unlabeled	0.350334	0.350334	NO
23541	SEC14L2	Positive	1.000000	Unlabeled	0.350159	0.350159	NO
642273	FAM110C	Positive	1.000000	Unlabeled	0.350124	0.350124	NO
51162	EGFL7	Positive	1.000000	Unlabeled	0.350107	0.350107	NO
162394	SLFN5	Positive	1.000000	Unlabeled	0.349111	0.349111	NO
23089	PEG10	Positive	1.000000	Unlabeled	0.348087	0.348087	NO
57188	ADAMTSL3	Positive	1.000000	Unlabeled	0.347961	0.347961	NO
6271	S100A1	Positive	1.000000	Unlabeled	0.347817	0.347817	NO
56144	PCDHA4	Positive	1.000000	Unlabeled	0.347614	0.347614	NO
221895	JAZF1	Positive	1.000000	Unlabeled	0.346551	0.346551	NO
91252	SLC39A13	Positive	1.000000	Unlabeled	0.345595	0.345595	NO
389206	BEND4	Positive	1.000000	Unlabeled	0.345072	0.345072	NO
