#EntrezID	Name	Score
7124	TNF	1.000000
7791	ZYX	1.000000
22798	LAMB4	1.000000
84919	PPP1R15B	1.000000
84458	LCOR	1.000000
153222	CREBRF	1.000000
4114	MAGEB3	1.000000
79837	PIP4K2C	1.000000
8539	API5	1.000000
137075	CLDN23	1.000000
151657	151657	1.000000
1301	COL11A1	1.000000
79071	ELOVL6	1.000000
8396	PIP4K2B	1.000000
9073	CLDN8	1.000000
29780	PARVB	1.000000
6093	ROCK1	1.000000
8936	WASF1	1.000000
25896	INTS7	1.000000
1013	CDH15	1.000000
3685	ITGAV	1.000000
53342	IL17D	1.000000
5879	RAC1	1.000000
10686	CLDN16	1.000000
64795	RMND5A	1.000000
2335	FN1	1.000000
6402	SELL	1.000000
56288	PARD3	1.000000
347862	GATD1	1.000000
6777	STAT5B	1.000000
57555	NLGN2	1.000000
503639	DUXAP10	1.000000
64792	IFT22	1.000000
3725	JUN	1.000000
7074	TIAM1	1.000000
6540	SLC6A13	1.000000
51776	MAP3K20	1.000000
9644	SH3PXD2A	1.000000
925	CD8A	1.000000
3192	HNRNPU	1.000000
387640	SKIDA1	1.000000
6199	RPS6KB2	1.000000
10522	DEAF1	1.000000
3680	ITGA9	1.000000
140890	SREK1	1.000000
131873	COL6A6	1.000000
55742	PARVA	1.000000
63826	SRR	1.000000
93408	MYL10	1.000000
10672	GNA13	1.000000
959	CD40LG	1.000000
10092	ARPC5	1.000000
7514	XPO1	1.000000
57502	NLGN4X	1.000000
246175	CNOT6L	1.000000
3385	ICAM3	1.000000
63923	TNN	1.000000
2036	EPB41L1	1.000000
5294	PIK3CG	1.000000
80306	MED28	1.000000
4213	MEIS3P1	1.000000
10451	VAV3	1.000000
8874	ARHGEF7	1.000000
6614	SIGLEC1	1.000000
56140	PCDHA8	1.000000
1809	DPYSL3	1.000000
92305	TMEM129	1.000000
2321	FLT1	1.000000
57530	CGN	1.000000
7122	CLDN5	1.000000
2066	ERBB4	1.000000
58498	MYL7	1.000000
5228	PGF	1.000000
255275	MYADML2	1.000000
2017	CTTN	1.000000
7409	VAV1	1.000000
2318	FLNC	1.000000
22847	ZNF507	1.000000
2932	GSK3B	1.000000
9369	NRXN3	1.000000
3122	HLA-DRA	1.000000
1460	CSNK2B	1.000000
10787	NCKAP1	1.000000
4582	MUC1	1.000000
1839	HBEGF	1.000000
55728	N4BP2	1.000000
7039	TGFA	1.000000
1397	CRIP2	1.000000
10146	G3BP1	1.000000
5296	PIK3R2	1.000000
1493	CTLA4	1.000000
5501	PPP1CC	1.000000
5578	PRKCA	1.000000
8394	PIP5K1A	1.000000
23624	CBLC	1.000000
162427	RETREG3	1.000000
128239	IQGAP3	1.000000
10000	AKT3	1.000000
85477	SCIN	1.000000
2037	EPB41L2	1.000000
6624	FSCN1	1.000000
4620	MYH2	1.000000
56924	PAK6	1.000000
1001	CDH3	1.000000
26047	CNTNAP2	1.000000
8515	ITGA10	1.000000
23541	SEC14L2	1.000000
24146	CLDN15	1.000000
3134	HLA-F	1.000000
56603	CYP26B1	1.000000
5878	RAB5C	1.000000
5216	PFN1	1.000000
