#Iter	Time	Change
0	0.01	4.051098e+02
1	0.01	1.509100e+02
2	0.01	1.129471e+02
3	0.01	9.973202e+01
4	0.01	8.864649e+01
5	0.01	7.916576e+01
6	0.01	7.027296e+01
7	0.01	6.231113e+01
8	0.01	5.510536e+01
9	0.01	4.873540e+01
10	0.01	4.307145e+01
11	0.01	3.808861e+01
12	0.01	3.368544e+01
13	0.01	2.981407e+01
14	0.01	2.639854e+01
15	0.01	2.339136e+01
16	0.01	2.073729e+01
17	0.01	1.839586e+01
18	0.01	1.632707e+01
19	0.01	1.449829e+01
20	0.01	1.288042e+01
21	0.01	1.144764e+01
22	0.01	1.017851e+01
23	0.01	9.052922e+00
24	0.01	8.054692e+00
25	0.01	7.168171e+00
26	0.01	6.381225e+00
27	0.01	5.681634e+00
28	0.01	5.060144e+00
29	0.01	4.507189e+00
30	0.01	4.015654e+00
31	0.01	3.578036e+00
32	0.01	3.188828e+00
33	0.01	2.842127e+00
34	0.01	2.533651e+00
35	0.01	2.258746e+00
36	0.01	2.014068e+00
37	0.01	1.795940e+00
38	0.01	1.601743e+00
39	0.01	1.428567e+00
40	0.01	1.274355e+00
41	0.01	1.136801e+00
42	0.01	1.014287e+00
43	0.01	9.049829e-01
44	0.01	8.076143e-01
45	0.01	7.207265e-01
46	0.01	6.433159e-01
47	0.01	5.742247e-01
48	0.01	5.126618e-01
49	0.01	4.577052e-01
50	0.01	4.087310e-01
51	0.01	3.650044e-01
52	0.01	3.260334e-01
53	0.01	2.912317e-01
54	0.01	2.602114e-01
55	0.01	2.325045e-01
56	0.01	2.078052e-01
57	0.01	1.857396e-01
58	0.01	1.660669e-01
59	0.01	1.484880e-01
60	0.01	1.328133e-01
61	0.01	1.188034e-01
62	0.01	1.063094e-01
63	0.01	9.513937e-02
64	0.01	8.517631e-02
65	0.01	7.626639e-02
66	0.01	6.831778e-02
67	0.01	6.120701e-02
68	0.01	5.486215e-02
69	0.01	4.918397e-02
70	0.01	4.411625e-02
71	0.01	3.957911e-02
72	0.01	3.552872e-02
73	0.01	3.190070e-02
74	0.01	2.866096e-02
75	0.01	2.575754e-02
76	0.01	2.316399e-02
77	0.01	2.083832e-02
78	0.01	1.876008e-02
79	0.01	1.689529e-02
80	0.01	1.522818e-02
81	0.01	1.373121e-02
82	0.01	1.239229e-02
83	0.01	1.118903e-02
84	0.01	1.011224e-02
85	0.01	9.143679e-03
86	0.01	8.276389e-03
87	0.01	7.495493e-03
88	0.01	6.795770e-03
89	0.01	6.165054e-03
90	0.01	5.599469e-03
91	0.01	5.089042e-03
92	0.01	4.630936e-03
93	0.01	4.216955e-03
94	0.01	3.845058e-03
95	0.01	3.508492e-03
96	0.01	3.205825e-03
97	0.01	2.931477e-03
98	0.01	2.684479e-03
99	0.01	2.460206e-03
100	0.01	2.258038e-03
101	0.01	2.074131e-03
102	0.01	1.908123e-03
103	0.01	1.756812e-03
104	0.01	1.620026e-03
105	0.01	1.495086e-03
106	0.01	1.381961e-03
107	0.01	1.278404e-03
108	0.01	1.184480e-03
109	0.01	1.098301e-03
110	0.01	1.019998e-03
111	0.01	9.479785e-04
