#Iter	Time	Change
0	0.00	4.080605e+02
1	0.00	1.638150e+02
2	0.00	1.197799e+02
3	0.00	1.045001e+02
4	0.00	9.295236e+01
5	0.00	8.524995e+01
6	0.00	7.816344e+01
7	0.00	7.218507e+01
8	0.00	6.632605e+01
9	0.00	6.103088e+01
10	0.00	5.598243e+01
11	0.00	5.138501e+01
12	0.00	4.707502e+01
13	0.00	4.314826e+01
14	0.00	3.950498e+01
15	0.00	3.618943e+01
16	0.00	3.312818e+01
17	0.00	3.034347e+01
18	0.00	2.777857e+01
19	0.00	2.544724e+01
20	0.00	2.330157e+01
21	0.00	2.135032e+01
22	0.00	1.955608e+01
23	0.00	1.792352e+01
24	0.00	1.642246e+01
25	0.00	1.505584e+01
26	0.00	1.379924e+01
27	0.00	1.265425e+01
28	0.00	1.160149e+01
29	0.00	1.064148e+01
30	0.00	9.758778e+00
31	0.00	8.953256e+00
32	0.00	8.212569e+00
33	0.00	7.536195e+00
34	0.00	6.914237e+00
35	0.00	6.345938e+00
36	0.00	5.823347e+00
37	0.00	5.345581e+00
38	0.00	4.906236e+00
39	0.00	4.504379e+00
40	0.00	4.134840e+00
41	0.00	3.796683e+00
42	0.00	3.485726e+00
43	0.00	3.201064e+00
44	0.00	2.939304e+00
45	0.00	2.699593e+00
46	0.00	2.479175e+00
47	0.00	2.277258e+00
48	0.00	2.091598e+00
49	0.00	1.921473e+00
50	0.00	1.765049e+00
51	0.00	1.621675e+00
52	0.00	1.489852e+00
53	0.00	1.368997e+00
54	0.00	1.257881e+00
55	0.00	1.155987e+00
56	0.00	1.062307e+00
57	0.00	9.763828e-01
58	0.00	8.973858e-01
59	0.00	8.249152e-01
60	0.00	7.582872e-01
61	0.00	6.971521e-01
62	0.00	6.409455e-01
63	0.00	5.893631e-01
64	0.00	5.419385e-01
65	0.00	4.984079e-01
66	0.00	4.583850e-01
67	0.00	4.216419e-01
68	0.00	3.878586e-01
69	0.00	3.568383e-01
70	0.00	3.283153e-01
71	0.00	3.021207e-01
72	0.00	2.780335e-01
73	0.00	2.559086e-01
74	0.00	2.355624e-01
75	0.00	2.168703e-01
76	0.00	1.996794e-01
77	0.00	1.838833e-01
78	0.00	1.693543e-01
79	0.00	1.560016e-01
80	0.00	1.437186e-01
81	0.00	1.324278e-01
82	0.00	1.220402e-01
83	0.00	1.124897e-01
84	0.00	1.037019e-01
85	0.00	9.562054e-02
86	0.00	8.818335e-02
87	0.00	8.134242e-02
88	0.00	7.504565e-02
89	0.00	6.925228e-02
90	0.00	6.391868e-02
91	0.00	5.901022e-02
92	0.00	5.449029e-02
93	0.00	5.032949e-02
94	0.00	4.649712e-02
95	0.00	4.296820e-02
96	0.00	3.971697e-02
97	0.00	3.672224e-02
98	0.00	3.396237e-02
99	0.00	3.141938e-02
100	0.00	2.907508e-02
101	0.00	2.691423e-02
102	0.00	2.492153e-02
103	0.00	2.308407e-02
104	0.00	2.138897e-02
105	0.00	1.982529e-02
106	0.00	1.838218e-02
107	0.00	1.705037e-02
108	0.00	1.582073e-02
109	0.00	1.468539e-02
110	0.00	1.363668e-02
111	0.00	1.266791e-02
112	0.00	1.177262e-02
113	0.00	1.094514e-02
114	0.00	1.018002e-02
115	0.00	9.472465e-03
116	0.00	8.817858e-03
117	0.00	8.212143e-03
118	0.00	7.651424e-03
119	0.00	7.132260e-03
120	0.00	6.651360e-03
121	0.00	6.205806e-03
122	0.00	5.792815e-03
123	0.00	5.409914e-03
124	0.00	5.054748e-03
125	0.00	4.725217e-03
126	0.00	4.419332e-03
127	0.00	4.135308e-03
128	0.00	3.871460e-03
129	0.00	3.626275e-03
130	0.00	3.398323e-03
131	0.00	3.186318e-03
132	0.00	2.989050e-03
133	0.00	2.805424e-03
134	0.00	2.634413e-03
135	0.00	2.475088e-03
136	0.00	2.326575e-03
137	0.00	2.188083e-03
138	0.00	2.058870e-03
139	0.00	1.938262e-03
140	0.00	1.825629e-03
141	0.00	1.720395e-03
142	0.00	1.622024e-03
143	0.00	1.530025e-03
144	0.00	1.443941e-03
145	0.00	1.363354e-03
146	0.00	1.287872e-03
147	0.00	1.217138e-03
148	0.00	1.150819e-03
149	0.00	1.088608e-03
150	0.00	1.030221e-03
151	0.00	9.753958e-04
