#Iter	Time	Change
0	0.00	2.702848e+02
1	0.00	1.394541e+02
2	0.00	1.186393e+02
3	0.00	1.079128e+02
4	0.00	9.813403e+01
5	0.00	8.985250e+01
6	0.00	8.231215e+01
7	0.00	7.550684e+01
8	0.00	6.926208e+01
9	0.00	6.357817e+01
10	0.00	5.834328e+01
11	0.00	5.357124e+01
12	0.00	4.917531e+01
13	0.00	4.516221e+01
14	0.00	4.146998e+01
15	0.00	3.809378e+01
16	0.00	3.499197e+01
17	0.00	3.215125e+01
18	0.00	2.954437e+01
19	0.00	2.715375e+01
20	0.00	2.496153e+01
21	0.00	2.294901e+01
22	0.00	2.110418e+01
23	0.00	1.940911e+01
24	0.00	1.785543e+01
25	0.00	1.642689e+01
26	0.00	1.511736e+01
27	0.00	1.391263e+01
28	0.00	1.280802e+01
29	0.00	1.179131e+01
30	0.00	1.085881e+01
31	0.00	1.000017e+01
32	0.00	9.212384e+00
33	0.00	8.486718e+00
34	0.00	7.820705e+00
35	0.00	7.206999e+00
36	0.00	6.643550e+00
37	0.00	6.124186e+00
38	0.00	5.647196e+00
39	0.00	5.207392e+00
40	0.00	4.803348e+00
41	0.00	4.430690e+00
42	0.00	4.088236e+00
43	0.00	3.772292e+00
44	0.00	3.481879e+00
45	0.00	3.213869e+00
46	0.00	2.967458e+00
47	0.00	2.739991e+00
48	0.00	2.530810e+00
49	0.00	2.337654e+00
50	0.00	2.159991e+00
51	0.00	1.995890e+00
52	0.00	1.844924e+00
53	0.00	1.705441e+00
54	0.00	1.577101e+00
55	0.00	1.458486e+00
56	0.00	1.349330e+00
57	0.00	1.248414e+00
58	0.00	1.155531e+00
59	0.00	1.069633e+00
60	0.00	9.905610e-01
61	0.00	9.174104e-01
62	0.00	8.500633e-01
63	0.00	7.877382e-01
64	0.00	7.303490e-01
65	0.00	6.772205e-01
66	0.00	6.282920e-01
67	0.00	5.829792e-01
68	0.00	5.412416e-01
69	0.00	5.025733e-01
70	0.00	4.669496e-01
71	0.00	4.339322e-01
72	0.00	4.035085e-01
73	0.00	3.752985e-01
74	0.00	3.492990e-01
75	0.00	3.251804e-01
76	0.00	3.029463e-01
77	0.00	2.823107e-01
78	0.00	2.632825e-01
79	0.00	2.456134e-01
80	0.00	2.293156e-01
81	0.00	2.141736e-01
82	0.00	2.002022e-01
83	0.00	1.872141e-01
84	0.00	1.752256e-01
85	0.00	1.640740e-01
86	0.00	1.537762e-01
87	0.00	1.441909e-01
88	0.00	1.353354e-01
89	0.00	1.270869e-01
90	0.00	1.194623e-01
91	0.00	1.123550e-01
92	0.00	1.057814e-01
93	0.00	9.964885e-02
94	0.00	9.397318e-02
95	0.00	8.867373e-02
96	0.00	8.376557e-02
97	0.00	7.917855e-02
98	0.00	7.492685e-02
99	0.00	7.094945e-02
100	0.00	6.725960e-02
101	0.00	6.380422e-02
102	0.00	6.059560e-02
103	0.00	5.758756e-02
104	0.00	5.479145e-02
105	0.00	5.216707e-02
106	0.00	4.972485e-02
107	0.00	4.742981e-02
108	0.00	4.529149e-02
109	0.00	4.327945e-02
110	0.00	4.140237e-02
111	0.00	3.963375e-02
112	0.00	3.798148e-02
113	0.00	3.642249e-02
114	0.00	3.496393e-02
115	0.00	3.358570e-02
116	0.00	3.229426e-02
117	0.00	3.107211e-02
118	0.00	2.992507e-02
119	0.00	2.883789e-02
120	0.00	2.781580e-02
121	0.00	2.684552e-02
122	0.00	2.593174e-02
123	0.00	2.506289e-02
124	0.00	2.424317e-02
125	0.00	2.346249e-02
126	0.00	2.272460e-02
127	0.00	2.202072e-02
128	0.00	2.135419e-02
129	0.00	2.071734e-02
130	0.00	2.011317e-02
131	0.00	1.953497e-02
132	0.00	1.898541e-02
133	0.00	1.845865e-02
134	0.00	1.795705e-02
135	0.00	1.747551e-02
136	0.00	1.701614e-02
137	0.00	1.657448e-02
138	0.00	1.615239e-02
139	0.00	1.574599e-02
140	0.00	1.535691e-02
141	0.00	1.498177e-02
142	0.00	1.462201e-02
143	0.00	1.427467e-02
144	0.00	1.394103e-02
145	0.00	1.361850e-02
146	0.00	1.330820e-02
147	0.00	1.300787e-02
148	0.00	1.271851e-02
149	0.00	1.243812e-02
150	0.00	1.216759e-02
151	0.00	1.190516e-02
152	0.00	1.165162e-02
153	0.00	1.140543e-02
154	0.00	1.116728e-02
155	0.00	1.093582e-02
156	0.00	1.071164e-02
157	0.00	1.049358e-02
158	0.00	1.028215e-02
159	0.00	1.007633e-02
160	0.00	9.876551e-03
161	0.00	9.681923e-03
162	0.00	9.492839e-03
163	0.00	9.308500e-03
164	0.00	9.129253e-03
165	0.00	8.954393e-03
166	0.00	8.784223e-03
167	0.00	8.618123e-03
168	0.00	8.456354e-03
169	0.00	8.298370e-03
170	0.00	8.144396e-03
171	0.00	7.993952e-03
172	0.00	7.847231e-03
173	0.00	7.703809e-03
174	0.00	7.563854e-03
175	0.00	7.426988e-03
176	0.00	7.293356e-03
177	0.00	7.162625e-03
178	0.00	7.034917e-03
179	0.00	6.909938e-03
180	0.00	6.787792e-03
181	0.00	6.668217e-03
182	0.00	6.551302e-03
183	0.00	6.436815e-03
184	0.00	6.324829e-03
185	0.00	6.215137e-03
186	0.00	6.107803e-03
187	0.00	6.002642e-03
188	0.00	5.899705e-03
189	0.00	5.798828e-03
190	0.00	5.700053e-03
191	0.00	5.603234e-03
192	0.00	5.508405e-03
193	0.00	5.415434e-03
194	0.00	5.324348e-03
195	0.00	5.235031e-03
196	0.00	5.147503e-03
197	0.00	5.061658e-03
198	0.00	4.977512e-03
199	0.00	4.894971e-03
200	0.00	4.814047e-03
201	0.00	4.734652e-03
202	0.00	4.656796e-03
203	0.00	4.580400e-03
204	0.00	4.505470e-03
205	0.00	4.431935e-03
206	0.00	4.359797e-03
207	0.00	4.288993e-03
208	0.00	4.219523e-03
209	0.00	4.151327e-03
210	0.00	4.084405e-03
211	0.00	4.018703e-03
212	0.00	3.954217e-03
213	0.00	3.890900e-03
214	0.00	3.828746e-03
215	0.00	3.767711e-03
216	0.00	3.707789e-03
217	0.00	3.648939e-03
218	0.00	3.591154e-03
219	0.00	3.534397e-03
220	0.00	3.478660e-03
221	0.00	3.423909e-03
222	0.00	3.370136e-03
223	0.00	3.317308e-03
224	0.00	3.265416e-03
225	0.00	3.214433e-03
226	0.00	3.164348e-03
227	0.00	3.115134e-03
228	0.00	3.066782e-03
229	0.00	3.019267e-03
230	0.00	2.972579e-03
231	0.00	2.926695e-03
232	0.00	2.881605e-03
233	0.00	2.837287e-03
234	0.00	2.793732e-03
235	0.00	2.750920e-03
236	0.00	2.708840e-03
237	0.00	2.667474e-03
238	0.00	2.626812e-03
239	0.00	2.586836e-03
240	0.00	2.547538e-03
241	0.00	2.508899e-03
242	0.00	2.470911e-03
243	0.00	2.433559e-03
244	0.00	2.396832e-03
245	0.00	2.360717e-03
246	0.00	2.325204e-03
247	0.00	2.290280e-03
248	0.00	2.255935e-03
249	0.00	2.222157e-03
250	0.00	2.188936e-03
251	0.00	2.156261e-03
252	0.00	2.124124e-03
253	0.00	2.092512e-03
254	0.00	2.061417e-03
255	0.00	2.030828e-03
256	0.00	2.000738e-03
257	0.00	1.971135e-03
258	0.00	1.942013e-03
259	0.00	1.913361e-03
260	0.00	1.885171e-03
261	0.00	1.857435e-03
262	0.00	1.830144e-03
263	0.00	1.803291e-03
264	0.00	1.776867e-03
265	0.00	1.750865e-03
266	0.00	1.725278e-03
267	0.00	1.700097e-03
268	0.00	1.675316e-03
269	0.00	1.650927e-03
270	0.00	1.626923e-03
271	0.00	1.603298e-03
272	0.00	1.580045e-03
273	0.00	1.557158e-03
274	0.00	1.534629e-03
275	0.00	1.512453e-03
276	0.00	1.490624e-03
277	0.00	1.469135e-03
278	0.00	1.447980e-03
279	0.00	1.427154e-03
280	0.00	1.406651e-03
281	0.00	1.386466e-03
282	0.00	1.366592e-03
283	0.00	1.347025e-03
284	0.00	1.327760e-03
285	0.00	1.308790e-03
286	0.00	1.290112e-03
287	0.00	1.271719e-03
288	0.00	1.253608e-03
289	0.00	1.235774e-03
290	0.00	1.218211e-03
291	0.00	1.200915e-03
292	0.00	1.183883e-03
293	0.00	1.167108e-03
294	0.00	1.150587e-03
295	0.00	1.134317e-03
296	0.00	1.118291e-03
297	0.00	1.102508e-03
298	0.00	1.086961e-03
299	0.00	1.071649e-03
300	0.00	1.056565e-03
301	0.00	1.041708e-03
302	0.00	1.027073e-03
303	0.00	1.012656e-03
304	0.00	9.984548e-04
