#EntrezID	Name	Score
999	CDH1	1.000000
5516	PPP2CB	1.000000
10092	ARPC5	1.000000
815	CAMK2A	1.000000
9749	PHACTR2	1.000000
1282	COL4A1	1.000000
10000	AKT3	1.000000
4218	RAB8A	1.000000
3911	LAMA5	1.000000
9223	MAGI1	1.000000
1398	CRK	1.000000
3913	LAMB2	1.000000
3109	HLA-DMB	1.000000
3135	HLA-G	1.000000
8874	ARHGEF7	1.000000
4211	MEIS1	1.000000
214	ALCAM	1.000000
394	ARHGAP5	1.000000
4233	MET	1.000000
1459	CSNK2A2	1.000000
2260	FGFR1	1.000000
867	CBL	1.000000
1397	CRIP2	1.000000
5500	PPP1CB	1.000000
9138	ARHGEF1	1.000000
4313	MMP2	1.000000
7431	VIM	1.000000
572	BAD	1.000000
5216	PFN1	1.000000
816	CAMK2B	1.000000
1399	CRKL	1.000000
5797	PTPRM	1.000000
3383	ICAM1	1.000000
5520	PPP2R2A	1.000000
10398	MYL9	1.000000
389	RHOC	1.000000
965	CD58	1.000000
387	RHOA	1.000000
2066	ERBB4	1.000000
51517	NCKIPSD	1.000000
4628	MYH10	1.000000
2734	GLG1	1.000000
5792	PTPRF	1.000000
23136	EPB41L3	1.000000
4267	CD99	1.000000
10018	BCL2L11	1.000000
8976	WASL	1.000000
3371	TNC	1.000000
604	BCL6	1.000000
1000	CDH2	1.000000
5908	RAP1B	1.000000
10160	FARP1	1.000000
3486	IGFBP3	1.000000
7082	TJP1	1.000000
3693	ITGB5	1.000000
858	CAV2	1.000000
3690	ITGB3	1.000000
6645	SNTB2	1.000000
1294	COL7A1	1.000000
3105	HLA-A	1.000000
7035	TFPI	1.000000
7143	TNR	1.000000
4059	BCAM	1.000000
3133	HLA-E	1.000000
7408	VASP	1.000000
5332	PLCB4	1.000000
5606	MAP2K3	1.000000
2475	MTOR	1.000000
1741	DLG3	1.000000
3480	IGF1R	1.000000
941	CD80	1.000000
6585	SLIT1	1.000000
4690	NCK1	1.000000
6464	SHC1	1.000000
10096	ACTR3	1.000000
388	RHOB	1.000000
5058	PAK1	1.000000
1978	EIF4EBP1	1.000000
7424	VEGFC	1.000000
7454	WAS	1.000000
5270	SERPINE2	1.000000
2885	GRB2	1.000000
7030	TFE3	1.000000
1026	CDKN1A	1.000000
429	ASCL1	1.000000
3106	HLA-B	1.000000
9475	ROCK2	1.000000
5290	PIK3CA	1.000000
5747	PTK2	1.000000
2932	GSK3B	1.000000
200576	PIKFYVE	1.000000
397	ARHGDIB	1.000000
253260	RICTOR	1.000000
87	ACTN1	1.000000
