#EntrezID	Name	Score
5927	KDM5A	1.000000
57472	CNOT6	1.000000
11152	WDR45	1.000000
5610	EIF2AK2	1.000000
167227	DCP2	1.000000
9878	TOX4	1.000000
8087	FXR1	1.000000
29086	BABAM1	1.000000
1743	DLST	1.000000
3320	HSP90AA1	1.000000
10146	G3BP1	1.000000
8539	API5	1.000000
572	BAD	1.000000
7803	PTP4A1	1.000000
5201	PFDN1	1.000000
11052	CPSF6	1.000000
51762	RAB8B	1.000000
4213	MEIS3P1	1.000000
9877	ZC3H11A	1.000000
604	BCL6	1.000000
23411	SIRT1	1.000000
9577	BABAM2	1.000000
27185	DISC1	1.000000
54587	MXRA8	1.000000
9320	TRIP12	1.000000
3338	DNAJC4	1.000000
200576	PIKFYVE	1.000000
79139	DERL1	1.000000
7514	XPO1	1.000000
55588	MED29	1.000000
8483	CILP	1.000000
135	ADORA2A	1.000000
3189	HNRNPH3	1.000000
54726	OTUD4	1.000000
23345	SYNE1	1.000000
80700	UBXN6	1.000000
56647	BCCIP	1.000000
3730	ANOS1	1.000000
6271	S100A1	1.000000
1397	CRIP2	1.000000
79095	C9orf16	1.000000
64795	RMND5A	1.000000
3698	ITIH2	1.000000
51379	CRLF3	1.000000
2058	EPRS	1.000000
5878	RAB5C	1.000000
8525	DGKZ	1.000000
2	A2M	1.000000
10445	MCRS1	1.000000
23760	PITPNB	1.000000
23603	CORO1C	1.000000
23200	ATP11B	1.000000
10884	MRPS30	1.000000
57175	CORO1B	1.000000
328	APEX1	1.000000
51750	RTEL1	1.000000
293	SLC25A6	1.000000
1314	COPA	1.000000
1112	FOXN3	1.000000
10460	TACC3	1.000000
11316	COPE	1.000000
5127	CDK16	1.000000
64743	WDR13	1.000000
818	CAMK2G	1.000000
9931	HELZ	1.000000
7073	TIAL1	1.000000
8646	CHRD	1.000000
5033	P4HA1	1.000000
6944	VPS72	1.000000
1869	E2F1	1.000000
348	APOE	1.000000
4673	NAP1L1	1.000000
9991	PTBP3	1.000000
9477	MED20	1.000000
6624	FSCN1	1.000000
116	ADCYAP1	1.000000
10285	SMNDC1	1.000000
113251	LARP4	1.000000
55816	DOK5	1.000000
11231	SEC63	1.000000
3192	HNRNPU	1.000000
140890	SREK1	1.000000
4154	MBNL1	1.000000
10914	PAPOLA	1.000000
