#Iter	Time	Change
0	0.00	4.871202e+02
1	0.00	2.614005e+02
2	0.00	2.179744e+02
3	0.01	1.857346e+02
4	0.00	1.587165e+02
5	0.00	1.362079e+02
6	0.00	1.170827e+02
7	0.00	1.010233e+02
8	0.00	8.731108e+01
9	0.00	7.570194e+01
10	0.00	6.573880e+01
11	0.00	5.724177e+01
12	0.00	4.991489e+01
13	0.00	4.362573e+01
14	0.00	3.817896e+01
15	0.00	3.347740e+01
16	0.00	2.938925e+01
17	0.00	2.584324e+01
18	0.00	2.274861e+01
19	0.00	2.005299e+01
20	0.00	1.769274e+01
21	0.00	1.562923e+01
22	0.00	1.381712e+01
23	0.00	1.222776e+01
24	0.00	1.082840e+01
25	0.01	9.597642e+00
26	0.00	8.511539e+00
27	0.00	7.554017e+00
28	0.00	6.707361e+00
29	0.00	5.959406e+00
30	0.00	5.296924e+00
31	0.00	4.710646e+00
32	0.00	4.190610e+00
33	0.00	3.729704e+00
34	0.00	3.320369e+00
35	0.00	2.957117e+00
36	0.00	2.634172e+00
37	0.00	2.347277e+00
38	0.00	2.091992e+00
39	0.00	1.864999e+00
40	0.00	1.662869e+00
41	0.00	1.483002e+00
42	0.00	1.322738e+00
43	0.00	1.180034e+00
44	0.00	1.052819e+00
45	0.00	9.394814e-01
46	0.00	8.384028e-01
47	0.00	7.483102e-01
48	0.00	6.679343e-01
49	0.00	5.962670e-01
50	0.00	5.323110e-01
51	0.00	4.752665e-01
52	0.00	4.243479e-01
53	0.00	3.789197e-01
54	0.00	3.383622e-01
55	0.00	3.021699e-01
56	0.00	2.698530e-01
57	0.00	2.410089e-01
58	0.00	2.152500e-01
59	0.00	1.922557e-01
60	0.00	1.717188e-01
61	0.00	1.533834e-01
62	0.00	1.370063e-01
63	0.00	1.223832e-01
64	0.00	1.093209e-01
65	0.00	9.765654e-02
66	0.00	8.723663e-02
67	0.00	7.793112e-02
68	0.00	6.961804e-02
69	0.00	6.219355e-02
70	0.00	5.556064e-02
71	0.00	4.963639e-02
72	0.00	4.434363e-02
73	0.00	3.961613e-02
74	0.00	3.539245e-02
75	0.00	3.161970e-02
76	0.00	2.824897e-02
77	0.00	2.523801e-02
78	0.00	2.254785e-02
79	0.00	2.014475e-02
80	0.00	1.799768e-02
81	0.00	1.607965e-02
82	0.00	1.436596e-02
83	0.00	1.283506e-02
84	0.00	1.146724e-02
85	0.00	1.024530e-02
86	0.00	9.153518e-03
87	0.00	8.178161e-03
88	0.00	7.306698e-03
89	0.00	6.528154e-03
90	0.00	5.832538e-03
91	0.00	5.211085e-03
92	0.00	4.655826e-03
93	0.00	4.159761e-03
94	0.00	3.716535e-03
95	0.00	3.320555e-03
96	0.00	2.966754e-03
97	0.00	2.650664e-03
98	0.00	2.368244e-03
99	0.00	2.115925e-03
100	0.00	1.890482e-03
101	0.00	1.689067e-03
102	0.00	1.509106e-03
103	0.00	1.348325e-03
104	0.00	1.204669e-03
105	0.00	1.076324e-03
106	0.00	9.616491e-04
