#EntrezID	Name	Score
3109	HLA-DMB	1.000000
10451	VAV3	1.000000
5170	PDPK1	1.000000
10914	PAPOLA	1.000000
1288	COL4A6	1.000000
5515	PPP2CA	1.000000
9467	SH3BP5	1.000000
5599	MAPK8	1.000000
10695	CNPY3	1.000000
55740	ENAH	1.000000
3984	LIMK1	1.000000
1499	CTNNB1	1.000000
3696	ITGB8	1.000000
7143	TNR	1.000000
2549	GAB1	1.000000
28964	GIT1	1.000000
54726	OTUD4	1.000000
2558	GABRA5	1.000000
324	APC	1.000000
3673	ITGA2	1.000000
7057	THBS1	1.000000
10287	RGS19	1.000000
10552	ARPC1A	1.000000
8516	ITGA8	1.000000
8087	FXR1	1.000000
596	BCL2	1.000000
4213	MEIS3P1	1.000000
57664	PLEKHA4	1.000000
3236	HOXD10	1.000000
53358	SHC3	1.000000
57799	RAB40C	1.000000
11152	WDR45	1.000000
2247	FGF2	1.000000
923	CD6	1.000000
3698	ITIH2	1.000000
8938	BAIAP3	1.000000
136319	MTPN	1.000000
3674	ITGA2B	1.000000
10298	PAK4	1.000000
3082	HGF	1.000000
9644	SH3PXD2A	1.000000
23130	ATG2A	1.000000
5296	PIK3R2	1.000000
6988	TCTA	1.000000
5819	NECTIN2	1.000000
3338	DNAJC4	1.000000
2261	FGFR3	1.000000
56245	C21orf62	1.000000
5878	RAB5C	1.000000
2885	GRB2	1.000000
3682	ITGAE	1.000000
10884	MRPS30	1.000000
5879	RAC1	1.000000
3135	HLA-G	1.000000
3083	HGFAC	1.000000
10398	MYL9	1.000000
23344	ESYT1	1.000000
1459	CSNK2A2	1.000000
10787	NCKAP1	1.000000
572	BAD	1.000000
167227	DCP2	1.000000
2191	FAP	1.000000
5604	MAP2K1	1.000000
9877	ZC3H11A	1.000000
5753	PTK6	1.000000
84966	IGSF21	1.000000
1000	CDH2	1.000000
63923	TNN	1.000000
1284	COL4A2	1.000000
8174	MADCAM1	1.000000
6624	FSCN1	1.000000
363	AQP6	1.000000
23705	CADM1	1.000000
50515	CHST11	1.000000
23568	ARL2BP	1.000000
1493	CTLA4	1.000000
57521	RPTOR	1.000000
5155	PDGFB	1.000000
4654	MYOD1	1.000000
818	CAMK2G	1.000000
9223	MAGI1	1.000000
1026	CDKN1A	1.000000
1001	CDH3	1.000000
10000	AKT3	1.000000
1465	CSRP1	1.000000
5154	PDGFA	1.000000
10672	GNA13	1.000000
6777	STAT5B	1.000000
5159	PDGFRB	1.000000
23157	SEPT6	1.000000
116	ADCYAP1	1.000000
55588	MED29	1.000000
114897	C1QTNF1	1.000000
604	BCL6	1.000000
9138	ARHGEF1	1.000000
7408	VASP	1.000000
23200	ATP11B	1.000000
5747	PTK2	1.000000
5784	PTPN14	1.000000
1114	CHGB	1.000000
3914	LAMB3	1.000000
3691	ITGB4	1.000000
5074	PAWR	1.000000
9477	MED20	1.000000
3623	INHA	1.000000
64795	RMND5A	1.000000
823	CAPN1	1.000000
10435	CDC42EP2	1.000000
22874	PLEKHA6	1.000000
51257	MARCH2	1.000000
5033	P4HA1	1.000000
3936	LCP1	1.000000
7410	VAV2	1.000000
5518	PPP2R1A	1.000000
57472	CNOT6	1.000000
5329	PLAUR	1.000000
200576	PIKFYVE	1.000000
5728	PTEN	1.000000
6900	CNTN2	1.000000
5127	CDK16	1.000000
7514	XPO1	1.000000
5579	PRKCB	1.000000
135	ADORA2A	1.000000
10109	ARPC2	1.000000
23762	OSBP2	1.000000
7423	VEGFB	1.000000
3791	KDR	1.000000
