#EntrezID	Name	Score
6776	STAT5A	1.000000
10695	CNPY3	1.000000
10552	ARPC1A	1.000000
5829	PXN	1.000000
8440	NCK2	1.000000
5908	RAP1B	1.000000
5747	PTK2	1.000000
2932	GSK3B	1.000000
23541	SEC14L2	1.000000
10298	PAK4	1.000000
10095	ARPC1B	1.000000
9887	SMG7	1.000000
914	CD2	1.000000
5921	RASA1	1.000000
382	ARF6	1.000000
5155	PDGFB	1.000000
7791	ZYX	1.000000
3383	ICAM1	1.000000
23762	OSBP2	1.000000
3911	LAMA5	1.000000
2321	FLT1	1.000000
22933	SIRT2	1.000000
1026	CDKN1A	1.000000
23114	NFASC	1.000000
1459	CSNK2A2	1.000000
5604	MAP2K1	1.000000
60	ACTB	1.000000
2260	FGFR1	1.000000
5499	PPP1CA	1.000000
5594	MAPK1	1.000000
57863	CADM3	1.000000
4659	PPP1R12A	1.000000
10096	ACTR3	1.000000
3685	ITGAV	1.000000
1399	CRKL	1.000000
5599	MAPK8	1.000000
7424	VEGFC	1.000000
27	ABL2	1.000000
23533	PIK3R5	1.000000
923	CD6	1.000000
3675	ITGA3	1.000000
5579	PRKCB	1.000000
2191	FAP	1.000000
9901	SRGAP3	1.000000
7431	VIM	1.000000
63923	TNN	1.000000
2247	FGF2	1.000000
4301	AFDN	1.000000
9223	MAGI1	1.000000
4654	MYOD1	1.000000
5581	PRKCE	1.000000
7456	WIPF1	1.000000
25825	BACE2	1.000000
30011	SH3KBP1	1.000000
55384	MEG3	1.000000
10000	AKT3	1.000000
2043	EPHA4	1.000000
51177	PLEKHO1	1.000000
868	CBLB	1.000000
1793	DOCK1	1.000000
7057	THBS1	1.000000
9475	ROCK2	1.000000
1398	CRK	1.000000
5580	PRKCD	1.000000
3485	IGFBP2	1.000000
5817	PVR	1.000000
10092	ARPC5	1.000000
26136	TES	1.000000
3693	ITGB5	1.000000
5584	PRKCI	1.000000
5228	PGF	1.000000
1284	COL4A2	1.000000
407	ARR3	1.000000
823	CAPN1	1.000000
2571	GAD1	1.000000
50509	COL5A3	1.000000
5154	PDGFA	1.000000
5329	PLAUR	1.000000
9379	NRXN2	1.000000
998	CDC42	1.000000
1013	CDH15	1.000000
3915	LAMC1	1.000000
6237	RRAS	1.000000
9369	NRXN3	1.000000
29015	SLC43A3	1.000000
55742	PARVA	1.000000
1072	CFL1	1.000000
3135	HLA-G	1.000000
8174	MADCAM1	1.000000
3687	ITGAX	1.000000
2889	RAPGEF1	1.000000
3611	ILK	1.000000
54961	SSH3	1.000000
57521	RPTOR	1.000000
3914	LAMB3	1.000000
3105	HLA-A	1.000000
50649	ARHGEF4	1.000000
3691	ITGB4	1.000000
965	CD58	1.000000
4987	OPRL1	1.000000
5601	MAPK9	1.000000
55740	ENAH	1.000000
3623	INHA	1.000000
2037	EPB41L2	1.000000
396	ARHGDIA	1.000000
7039	TGFA	1.000000
1308	COL17A1	1.000000
3082	HGF	1.000000
23157	SEPT6	1.000000
1019	CDK4	1.000000
324	APC	1.000000
6403	SELP	1.000000
2534	FYN	1.000000
9414	TJP2	1.000000
23254	KAZN	1.000000
5819	NECTIN2	1.000000
7410	VAV2	1.000000
1288	COL4A6	1.000000
