#EntrezID	Name	Score
6776	STAT5A	1.000000
10695	CNPY3	1.000000
10552	ARPC1A	1.000000
5829	PXN	1.000000
1396	CRIP1	1.000000
8440	NCK2	1.000000
135	ADORA2A	1.000000
6271	S100A1	1.000000
5908	RAP1B	1.000000
5747	PTK2	1.000000
2932	GSK3B	1.000000
10445	MCRS1	1.000000
10285	SMNDC1	1.000000
23541	SEC14L2	1.000000
10298	PAK4	1.000000
80055	PGAP1	1.000000
10095	ARPC1B	1.000000
7514	XPO1	1.000000
54915	YTHDF1	1.000000
57799	RAB40C	1.000000
9887	SMG7	1.000000
914	CD2	1.000000
9477	MED20	1.000000
5927	KDM5A	1.000000
6988	TCTA	1.000000
5921	RASA1	1.000000
382	ARF6	1.000000
3320	HSP90AA1	1.000000
5155	PDGFB	1.000000
7791	ZYX	1.000000
3383	ICAM1	1.000000
753	LDLRAD4	1.000000
11231	SEC63	1.000000
1813	DRD2	1.000000
23762	OSBP2	1.000000
3911	LAMA5	1.000000
2321	FLT1	1.000000
22933	SIRT2	1.000000
1026	CDKN1A	1.000000
23114	NFASC	1.000000
1459	CSNK2A2	1.000000
5604	MAP2K1	1.000000
60	ACTB	1.000000
2260	FGFR1	1.000000
5499	PPP1CA	1.000000
5594	MAPK1	1.000000
57863	CADM3	1.000000
4659	PPP1R12A	1.000000
8835	SOCS2	1.000000
10096	ACTR3	1.000000
79754	ASB13	1.000000
3685	ITGAV	1.000000
1399	CRKL	1.000000
23200	ATP11B	1.000000
5599	MAPK8	1.000000
54726	OTUD4	1.000000
8482	SEMA7A	1.000000
10914	PAPOLA	1.000000
7424	VEGFC	1.000000
27	ABL2	1.000000
23533	PIK3R5	1.000000
923	CD6	1.000000
3675	ITGA3	1.000000
5579	PRKCB	1.000000
2191	FAP	1.000000
9901	SRGAP3	1.000000
7431	VIM	1.000000
23760	PITPNB	1.000000
4974	OMG	1.000000
7073	TIAL1	1.000000
26469	PTPN18	1.000000
116	ADCYAP1	1.000000
11052	CPSF6	1.000000
10023	FRAT1	1.000000
23401	FRAT2	1.000000
64795	RMND5A	1.000000
63923	TNN	1.000000
2247	FGF2	1.000000
4301	AFDN	1.000000
23603	CORO1C	1.000000
9223	MAGI1	1.000000
4654	MYOD1	1.000000
5581	PRKCE	1.000000
7456	WIPF1	1.000000
25825	BACE2	1.000000
30011	SH3KBP1	1.000000
55384	MEG3	1.000000
10000	AKT3	1.000000
2043	EPHA4	1.000000
51177	PLEKHO1	1.000000
868	CBLB	1.000000
1793	DOCK1	1.000000
7057	THBS1	1.000000
79139	DERL1	1.000000
9475	ROCK2	1.000000
1398	CRK	1.000000
23411	SIRT1	1.000000
5580	PRKCD	1.000000
10500	SEMA6C	1.000000
5201	PFDN1	1.000000
3485	IGFBP2	1.000000
5817	PVR	1.000000
10092	ARPC5	1.000000
328	APEX1	1.000000
26136	TES	1.000000
3693	ITGB5	1.000000
5584	PRKCI	1.000000
5228	PGF	1.000000
1284	COL4A2	1.000000
2058	EPRS	1.000000
7803	PTP4A1	1.000000
407	ARR3	1.000000
823	CAPN1	1.000000
2571	GAD1	1.000000
50509	COL5A3	1.000000
4213	MEIS3P1	1.000000
363	AQP6	1.000000
