#Iter	Time	Change
0	0.01	6.724406e+02
1	0.01	2.649034e+02
2	0.01	2.273500e+02
3	0.01	1.914153e+02
4	0.01	1.655003e+02
5	0.01	1.432179e+02
6	0.01	1.246877e+02
7	0.01	1.087758e+02
8	0.01	9.518283e+01
9	0.01	8.343855e+01
10	0.01	7.329778e+01
11	0.01	6.448852e+01
12	0.01	5.683169e+01
13	0.01	5.015013e+01
14	0.01	4.431384e+01
15	0.01	3.920118e+01
16	0.01	3.471729e+01
17	0.01	3.077612e+01
18	0.01	2.730791e+01
19	0.01	2.425053e+01
20	0.01	2.155232e+01
21	0.01	1.916766e+01
22	0.01	1.705800e+01
23	0.01	1.518942e+01
24	0.01	1.353289e+01
25	0.01	1.206291e+01
26	0.01	1.075747e+01
27	0.01	9.597215e+00
28	0.01	8.565305e+00
29	0.01	7.646933e+00
30	0.01	6.829143e+00
31	0.01	6.100518e+00
32	0.01	5.451025e+00
33	0.01	4.871806e+00
34	0.01	4.355051e+00
35	0.01	3.893851e+00
36	0.01	3.482095e+00
37	0.01	3.114368e+00
38	0.01	2.785872e+00
39	0.01	2.492346e+00
40	0.01	2.230008e+00
41	0.01	1.995493e+00
42	0.01	1.785813e+00
43	0.01	1.598303e+00
44	0.01	1.430595e+00
45	0.01	1.280575e+00
46	0.01	1.146361e+00
47	0.01	1.026274e+00
48	0.01	9.188144e-01
49	0.01	8.226464e-01
50	0.01	7.365756e-01
51	0.01	6.595359e-01
52	0.01	5.905749e-01
53	0.01	5.288413e-01
54	0.01	4.735745e-01
55	0.01	4.240946e-01
56	0.01	3.797933e-01
57	0.01	3.401271e-01
58	0.01	3.046096e-01
59	0.01	2.728058e-01
60	0.01	2.443264e-01
61	0.01	2.188233e-01
62	0.01	1.959847e-01
63	0.01	1.755319e-01
64	0.01	1.572152e-01
65	0.01	1.408111e-01
66	0.01	1.261198e-01
67	0.01	1.129622e-01
68	0.01	1.011779e-01
69	0.01	9.062361e-02
70	0.01	8.117073e-02
71	0.01	7.270425e-02
72	0.01	6.512118e-02
73	0.01	5.832927e-02
74	0.01	5.224593e-02
75	0.01	4.679721e-02
76	0.01	4.191687e-02
77	0.01	3.754559e-02
78	0.01	3.363025e-02
79	0.01	3.012329e-02
80	0.01	2.698209e-02
81	0.01	2.416849e-02
82	0.01	2.164832e-02
83	0.01	1.939097e-02
84	0.01	1.736903e-02
85	0.01	1.555795e-02
86	0.01	1.393572e-02
87	0.01	1.248265e-02
88	0.01	1.118111e-02
89	0.01	1.001528e-02
90	0.01	8.971019e-03
91	0.01	8.035645e-03
92	0.01	7.197803e-03
93	0.01	6.447323e-03
94	0.01	5.775095e-03
95	0.01	5.172959e-03
96	0.01	4.633606e-03
97	0.01	4.150490e-03
98	0.01	3.717746e-03
99	0.01	3.330123e-03
100	0.01	2.982915e-03
101	0.01	2.671909e-03
102	0.01	2.393330e-03
103	0.01	2.143796e-03
104	0.01	1.920280e-03
105	0.01	1.720068e-03
106	0.01	1.540731e-03
107	0.01	1.380092e-03
108	0.01	1.236202e-03
109	0.01	1.107314e-03
110	0.01	9.918639e-04
