#EntrezID	Name	Score	Degree
3122	HLA-DRA	0.101425	178
1282	COL4A1	0.100394	641
3673	ITGA2	0.100285	456
3909	LAMA3	0.100207	189
1289	COL5A1	0.100086	599
1284	COL4A2	0.099966	913
3678	ITGA5	0.099816	607
2335	FN1	0.099626	483
3113	HLA-DPA1	0.099616	203
7057	THBS1	0.099596	777
4313	MMP2	0.099545	709
7424	VEGFC	0.099125	339
3371	TNC	0.099117	351
5829	PXN	0.099080	803
6464	SHC1	0.098982	362
3675	ITGA3	0.098900	402
10398	MYL9	0.098815	279
27	ABL2	0.098774	277
5880	RAC2	0.098608	534
5578	PRKCA	0.098583	716
3383	ICAM1	0.098529	554
1000	CDH2	0.098448	1002
3693	ITGB5	0.098441	722
5329	PLAUR	0.098306	731
3912	LAMB1	0.098303	611
8777	MPDZ	0.098286	558
87	ACTN1	0.098241	792
4478	MSN	0.098109	607
7431	VIM	0.098070	627
858	CAV2	0.097858	620
4897	NRCAM	0.097840	864
7077	TIMP2	0.097813	786
1026	CDKN1A	0.097781	500
7039	TGFA	0.097777	819
7408	VASP	0.097707	264
7422	VEGFA	0.097704	824
5159	PDGFRB	0.097693	184
25945	NECTIN3	0.097522	332
9644	SH3PXD2A	0.097469	265
2885	GRB2	0.097455	523
10095	ARPC1B	0.097428	870
5154	PDGFA	0.097424	578
3897	L1CAM	0.097354	776
390	RND3	0.097328	658
1839	HBEGF	0.097258	405
1072	CFL1	0.097237	399
3914	LAMB3	0.097160	302
5817	PVR	0.097144	486
1001	CDH3	0.097089	168
55742	PARVA	0.097064	428
50509	COL5A3	0.097062	170
5295	PIK3R1	0.097061	746
3688	ITGB1	0.097026	563
8976	WASL	0.096997	321
7074	TIAM1	0.096993	706
83700	JAM3	0.096993	119
7040	TGFB1	0.096993	1041
3059	HCLS1	0.096990	98
3915	LAMC1	0.096976	1621
7791	ZYX	0.096963	1042
9076	CLDN1	0.096950	126
8394	PIP5K1A	0.096871	185
56034	PDGFC	0.096866	1095
7082	TJP1	0.096865	846
4323	MMP14	0.096846	1124
2247	FGF2	0.096798	436
55970	GNG12	0.096773	480
6237	RRAS	0.096759	395
3690	ITGB3	0.096744	603
3611	ILK	0.096685	773
1435	CSF1	0.096678	789
23114	NFASC	0.096595	982
25	ABL1	0.096591	515
1272	CNTN1	0.096560	428
3691	ITGB4	0.096556	1319
2321	FLT1	0.096553	455
2260	FGFR1	0.096521	1659
2065	ERBB3	0.096484	1509
1398	CRK	0.096473	330
207	AKT1	0.096463	799
4638	MYLK	0.096399	445
4233	MET	0.096397	803
5217	PFN2	0.096381	809
10093	ARPC4	0.096367	405
5792	PTPRF	0.096363	552
6714	SRC	0.096363	613
2149	F2R	0.096337	342
4267	CD99	0.096315	611
2017	CTTN	0.096295	329
5819	NECTIN2	0.096280	709
2534	FYN	0.096267	704
1793	DOCK1	0.096259	473
947	CD34	0.096259	334
5216	PFN1	0.096250	1169
4684	NCAM1	0.096244	1082
7410	VAV2	0.096238	416
3913	LAMB2	0.096194	1050
7094	TLN1	0.096190	373
2036	EPB41L1	0.096169	463
9019	MPZL1	0.096124	757
6655	SOS2	0.096122	908
1495	CTNNA1	0.096091	1147
50848	F11R	0.096074	512
2191	FAP	0.096062	110
824	CAPN2	0.096048	294
8826	IQGAP1	0.096040	1233
388	RHOB	0.095997	511
9475	ROCK2	0.095990	1062
3984	LIMK1	0.095969	540
214	ALCAM	0.095945	975
389	RHOC	0.095945	180
596	BCL2	0.095929	723
5296	PIK3R2	0.095918	877
5590	PRKCZ	0.095904	412
7430	EZR	0.095904	288
2037	EPB41L2	0.095900	376
50855	PARD6A	0.095880	211
5293	PIK3CD	0.095853	230
3480	IGF1R	0.095844	1271
3725	JUN	0.095841	671
3107	HLA-C	0.095839	530
6840	SVIL	0.095825	630
5580	PRKCD	0.095792	140
23705	CADM1	0.095788	625
3655	ITGA6	0.095738	672
369	ARAF	0.095707	249
9564	BCAR1	0.095689	106
7412	VCAM1	0.095657	103
10000	AKT3	0.095649	1403
58494	JAM2	0.095640	119
998	CDC42	0.095636	534
10092	ARPC5	0.095592	1172
3696	ITGB8	0.095573	646
3479	IGF1	0.095544	376
6777	STAT5B	0.095540	399
10109	ARPC2	0.095512	750
5228	PGF	0.095502	906
57863	CADM3	0.095484	1009
3910	LAMA4	0.095478	1403
5594	MAPK1	0.095456	1326
3106	HLA-B	0.095453	672
2002	ELK1	0.095444	548
5649	RELN	0.095439	170
1288	COL4A6	0.095429	618
7058	THBS2	0.095423	158
3993	LLGL2	0.095407	272
5604	MAP2K1	0.095392	1090
1301	COL11A1	0.095388	128
2889	RAPGEF1	0.095365	196
10298	PAK4	0.095358	602
3135	HLA-G	0.095357	382
54434	SSH1	0.095352	829
60	ACTB	0.095337	349
3082	HGF	0.095284	471
387	RHOA	0.095268	727
4628	MYH10	0.095256	1372
5609	MAP2K7	0.095237	722
23396	PIP5K1C	0.095232	640
10458	BAIAP2	0.095230	1510
3911	LAMA5	0.095228	791
29780	PARVB	0.095214	324
3133	HLA-E	0.095213	722
3134	HLA-F	0.095191	448
4301	AFDN	0.095174	312
2549	GAB1	0.095173	322
2264	FGFR4	0.095165	388
396	ARHGDIA	0.095158	1386
50649	ARHGEF4	0.095155	1229
56288	PARD3	0.095147	398
3105	HLA-A	0.095120	494
3694	ITGB6	0.095109	107
394	ARHGAP5	0.095050	1655
3996	LLGL1	0.095027	545
10097	ACTR2	0.095019	1043
9379	NRXN2	0.094995	791
7059	THBS3	0.094989	251
815	CAMK2A	0.094984	1081
5062	PAK2	0.094977	1376
2318	FLNC	0.094967	353
1399	CRKL	0.094950	772
5894	RAF1	0.094945	324
1101	CHAD	0.094943	381
965	CD58	0.094922	1092
8174	MADCAM1	0.094885	769
8503	PIK3R3	0.094867	206
3685	ITGAV	0.094865	1038
6093	ROCK1	0.094859	1344
3084	NRG1	0.094857	996
6416	MAP2K4	0.094847	1357
3985	LIMK2	0.094846	208
5747	PTK2	0.094843	1320
2909	ARHGAP35	0.094828	825
9138	ARHGEF1	0.094827	611
5921	RASA1	0.094780	1626
23191	CYFIP1	0.094771	646
9369	NRXN3	0.094771	815
10297	APC2	0.094767	1489
5879	RAC1	0.094708	797
867	CBL	0.094702	299
5797	PTPRM	0.094683	456
2185	PTK2B	0.094668	315
23308	ICOSLG	0.094653	1129
64398	MPP5	0.094569	559
5335	PLCG1	0.094569	238
7456	WIPF1	0.094554	261
8573	CASK	0.094533	927
1002	CDH4	0.094525	1003
55740	ENAH	0.094521	879
6693	SPN	0.094519	337
5599	MAPK8	0.094488	409
2261	FGFR3	0.094484	1005
4099	MAG	0.094480	1103
5155	PDGFB	0.094463	1746
83660	TLN2	0.094440	238
2734	GLG1	0.094431	878
1027	CDKN1B	0.094420	1171
5291	PIK3CB	0.094411	620
5728	PTEN	0.094406	945
7060	THBS4	0.094395	126
6900	CNTN2	0.094390	692
5518	PPP2R1A	0.094383	791
10096	ACTR3	0.094383	1719
823	CAPN1	0.094377	790
22800	RRAS2	0.094377	1021
5908	RAP1B	0.094356	1113
5337	PLD1	0.094324	261
10787	NCKAP1	0.094321	910
5516	PPP2CB	0.094313	982
941	CD80	0.094309	763
382	ARF6	0.094303	782
