#Iter	Time	Change
0	0.25	1.392134e+04
1	0.03	2.122387e+03
2	0.03	1.155418e+03
3	0.03	8.531017e+02
4	0.03	7.032135e+02
5	0.03	5.914767e+02
6	0.03	5.035597e+02
7	0.03	4.312856e+02
8	0.03	3.712457e+02
9	0.03	3.208374e+02
10	0.03	2.782293e+02
11	0.03	2.419955e+02
12	0.03	2.110253e+02
13	0.03	1.844340e+02
14	0.03	1.615115e+02
15	0.03	1.416816e+02
16	0.03	1.244730e+02
17	0.03	1.094977e+02
18	0.03	9.643380e+01
19	0.03	8.501260e+01
20	0.03	7.500849e+01
21	0.03	6.623097e+01
22	0.03	5.851834e+01
23	0.03	5.173275e+01
24	0.03	4.575608e+01
25	0.03	4.048679e+01
26	0.03	3.583723e+01
27	0.03	3.173150e+01
28	0.03	2.810368e+01
29	0.03	2.489639e+01
30	0.03	2.205952e+01
31	0.03	1.954926e+01
32	0.03	1.732721e+01
33	0.03	1.535969e+01
34	0.03	1.361708e+01
35	0.02	1.207331e+01
36	0.03	1.070543e+01
37	0.03	9.493185e+00
38	0.03	8.418720e+00
39	0.03	7.466251e+00
40	0.03	6.621836e+00
41	0.03	5.873147e+00
42	0.03	5.209279e+00
43	0.03	4.620582e+00
44	0.03	4.098512e+00
45	0.03	3.635507e+00
46	0.03	3.224864e+00
47	0.02	2.860649e+00
48	0.03	2.537603e+00
49	0.03	2.251063e+00
50	0.03	1.996898e+00
51	0.03	1.771445e+00
52	0.03	1.571458e+00
53	0.03	1.394057e+00
54	0.03	1.236690e+00
55	0.03	1.097092e+00
56	0.03	9.732552e-01
57	0.03	8.634001e-01
58	0.03	7.659470e-01
59	0.03	6.794953e-01
60	0.03	6.028027e-01
61	0.03	5.347671e-01
62	0.03	4.744112e-01
63	0.03	4.208679e-01
64	0.02	3.733680e-01
65	0.03	3.312294e-01
66	0.03	2.938469e-01
67	0.03	2.606836e-01
68	0.03	2.312632e-01
69	0.03	2.051633e-01
70	0.03	1.820090e-01
71	0.03	1.614680e-01
72	0.03	1.432452e-01
73	0.03	1.270790e-01
74	0.03	1.127373e-01
75	0.03	1.000142e-01
76	0.03	8.872702e-02
77	0.03	7.871366e-02
78	0.03	6.983038e-02
79	0.03	6.194963e-02
80	0.03	5.495828e-02
81	0.03	4.875595e-02
82	0.03	4.325358e-02
83	0.03	3.837219e-02
84	0.03	3.404170e-02
85	0.03	3.019992e-02
86	0.03	2.679171e-02
87	0.03	2.376814e-02
88	0.03	2.108579e-02
89	0.03	1.870616e-02
90	0.03	1.659508e-02
91	0.03	1.472224e-02
92	0.03	1.306077e-02
93	0.03	1.158680e-02
94	0.03	1.027918e-02
95	0.03	9.119127e-03
96	0.03	8.089992e-03
97	0.03	7.177000e-03
98	0.03	6.367044e-03
99	0.03	5.648494e-03
100	0.03	5.011037e-03
101	0.03	4.445520e-03
102	0.03	3.943823e-03
103	0.03	3.498746e-03
104	0.03	3.103897e-03
105	0.03	2.753609e-03
106	0.03	2.442853e-03
107	0.03	2.167166e-03
108	0.03	1.922593e-03
109	0.03	1.705620e-03
110	0.03	1.513134e-03
111	0.05	1.342370e-03
112	0.03	1.190878e-03
113	0.03	1.056483e-03
114	0.03	9.372545e-04
