#EntrezID	Name	Score	Degree
200576	PIKFYVE	0.099379	949
54665	RSBN1	0.099288	1519
54778	RNF111	0.099195	819
64795	RMND5A	0.099156	1028
167227	DCP2	0.099006	1378
23200	ATP11B	0.098976	1059
57708	MIER1	0.098816	645
11231	SEC63	0.098795	1731
152006	RNF38	0.098757	1359
23002	DAAM1	0.098745	662
23429	RYBP	0.098739	1500
26973	CHORDC1	0.098676	978
10285	SMNDC1	0.098604	1590
7073	TIAL1	0.098576	849
7514	XPO1	0.098575	1898
572	BAD	0.098531	1144
8087	FXR1	0.098513	1803
5927	KDM5A	0.098503	695
113251	LARP4	0.098472	1565
7803	PTP4A1	0.098447	1267
10914	PAPOLA	0.098437	2961
9559	VPS26A	0.098419	1461
54542	RC3H2	0.098418	1019
54726	OTUD4	0.098390	873
23411	SIRT1	0.098380	1587
140890	SREK1	0.098348	1078
51257	MARCH2	0.098307	166
11260	XPOT	0.098302	1752
4154	MBNL1	0.098298	1586
57532	NUFIP2	0.098283	1230
9931	HELZ	0.098276	958
2673	GFPT1	0.098257	1372
2058	EPRS	0.098189	1347
9991	PTBP3	0.098188	1106
56929	FEM1C	0.098185	662
7110	TMF1	0.098177	1472
10097	ACTR2	0.098162	1043
4673	NAP1L1	0.098141	1682
9646	CTR9	0.098111	1521
3189	HNRNPH3	0.098110	1667
9877	ZC3H11A	0.098109	1282
22908	SACM1L	0.098107	1275
10808	HSPH1	0.098107	1338
8036	SHOC2	0.098076	1641
3181	HNRNPA2B1	0.098050	1748
10228	STX6	0.098040	813
80351	TNKS2	0.098013	285
51024	FIS1	0.097971	919
57472	CNOT6	0.097968	827
10087	COL4A3BP	0.097963	292
2879	GPX4	0.097962	629
8539	API5	0.097952	1848
23394	ADNP	0.097897	1870
9874	TLK1	0.097871	1248
3320	HSP90AA1	0.097870	1461
25940	FAM98A	0.097854	978
23049	SMG1	0.097836	889
26019	UPF2	0.097807	1047
9320	TRIP12	0.097778	1382
1739	DLG1	0.097776	1345
23369	PUM2	0.097766	2435
55279	ZNF654	0.097749	274
25906	ANAPC15	0.097697	618
3192	HNRNPU	0.097666	1682
80155	NAA15	0.097642	1005
64398	MPP5	0.097642	559
51762	RAB8B	0.097631	449
11052	CPSF6	0.097620	1462
22862	FNDC3A	0.097600	1401
10146	G3BP1	0.097556	1662
84304	NUDT22	0.097552	605
23760	PITPNB	0.097550	968
57142	RTN4	0.097541	886
8650	NUMB	0.097531	1039
1351	COX8A	0.097528	1039
6415	SELENOW	0.097516	522
9878	TOX4	0.097495	477
6120	RPE	0.097488	1517
7264	TSTA3	0.097481	1260
29086	BABAM1	0.097468	802
11316	COPE	0.097450	765
56987	BBX	0.097442	407
51141	INSIG2	0.097419	1029
5494	PPM1A	0.097407	783
6988	TCTA	0.097404	263
