#DiseaseAUCs	BiologicalProcessAUCs
0.531669	0.862077
0.600132	0.866261
0.531116	0.835137
0.553974	0.862999
0.552096	0.860909
0.554685	0.854990
0.559236	0.830779
0.661365	0.853890
0.654029	0.854512
0.539125	0.847429
0.564355	0.875482
0.531024	0.847397
0.567732	0.843535
0.501480	0.852221
0.522684	0.828500
0.711219	0.839628
0.545473	0.859240
0.565073	0.858406
0.603914	0.841399
0.640392	0.857685
0.628813	0.868807
0.477497	0.815023
0.527355	0.852371
0.601929	0.853444
0.628069	0.825804
0.570491	0.853787
0.623043	0.862872
0.631145	0.846247
0.520779	0.874270
0.649065	0.852669
0.525563	0.858945
0.557278	0.869033
0.538314	0.848730
0.604566	0.858606
0.551298	0.848884
0.574311	0.872343
0.546650	0.846934
0.620074	0.860734
0.633932	0.844705
0.550196	0.857242
0.582775	0.846928
0.659189	0.861595
0.587745	0.849649
0.500180	0.860389
0.571738	0.842341
0.531361	0.868100
0.544294	0.849893
0.551915	0.831815
0.574595	0.873379
0.505710	0.851211
0.550359	0.861443
0.601418	0.848193
0.614423	0.863039
0.560703	0.852726
0.547903	0.852070
0.596109	0.840292
0.542381	0.849979
0.605103	0.835570
0.672495	0.833708
0.502991	0.870097
0.589718	0.842045
0.560535	0.859466
0.628650	0.851757
0.598305	0.837754
0.606178	0.849575
0.553808	0.862425
0.542804	0.850842
0.634599	0.863560
0.614000	0.849239
0.589759	0.858011
0.662783	0.854710
0.638346	0.873825
0.517928	0.865791
0.624671	0.846451
0.569120	0.870797
0.533009	0.855383
0.615188	0.867133
0.537650	0.832892
0.648944	0.849334
0.605918	0.862874
0.634358	0.845184
0.610450	0.863068
0.605374	0.854740
0.514328	0.849963
0.525506	0.845625
0.554299	0.851786
0.583718	0.856086
0.676127	0.867136
0.596904	0.861925
0.554428	0.847548
0.568928	0.854991
0.577721	0.862692
0.583893	0.847980
0.548356	0.862154
0.563957	0.850169
0.599201	0.848943
0.593687	0.844883
0.592886	0.871341
0.554524	0.857880
0.479122	0.844406
0.620723	0.867055
0.557598	0.859876
0.571854	0.856095
0.656042	0.837969
0.542837	0.854050
0.641052	0.863051
0.651713	0.861760
0.614899	0.847782
0.591516	0.864819
0.473685	0.851158
0.466289	0.862416
0.618767	0.842979
0.609147	0.837315
0.612939	0.856508
0.617971	0.869517
0.524414	0.856208
0.562697	0.848064
0.598697	0.853236
0.557836	0.873123
0.494147	0.865708
0.624882	0.843391
0.494026	0.859432
0.608673	0.854764
0.577015	0.863736
0.611359	0.864154
0.675981	0.843273
0.569051	0.872326
0.626069	0.846200
0.546793	0.832741
0.537917	0.857177
0.578056	0.846806
0.550555	0.847667
0.569506	0.869645
0.532728	0.849217
0.593559	0.866013
0.534576	0.849263
0.543405	0.852564
0.564185	0.851972
0.591594	0.860150
0.519769	0.865161
0.612874	0.855733
0.493183	0.845332
0.621483	0.846722
0.509332	0.847065
0.613513	0.859066
0.537315	0.840559
0.557193	0.853591
0.644962	0.857235
0.545171	0.874587
0.638291	0.846896
0.529924	0.858186
0.529878	0.866131
0.522944	0.846485
0.539997	0.852612
0.547555	0.862296
0.624145	0.842923
0.565991	0.855627
0.625825	0.848119
0.598958	0.850825
0.629245	0.843358
0.449240	0.858066
0.619261	0.861275
0.526689	0.834793
0.553711	0.850912
0.606611	0.858973
0.648306	0.842097
0.578770	0.837515
0.595178	0.866573
0.509675	0.847094
0.599724	0.841427
0.535082	0.833638
0.558021	0.849688
0.578462	0.859784
0.713240	0.837033
0.514746	0.839708
0.502137	0.839554
0.551272	0.848744
0.529151	0.819277
0.514802	0.855425
0.553025	0.869187
0.575696	0.841314
0.504311	0.859611
0.498063	0.846799
0.558253	0.854370
0.602746	0.858292
0.569705	0.859546
0.551849	0.863498
0.583204	0.851203
0.600709	0.873593
0.566447	0.847002
0.516776	0.862707
0.639141	0.859006
0.514554	0.843193
0.537324	0.859585
0.470418	0.840179
0.533820	0.859256
0.650537	0.853289
0.535484	0.840244
0.596655	0.865463
0.649862	0.842266
