#EntrezID	Name	Score
6548	SLC9A1	1.000000
7040	TGFB1	1.000000
54434	SSH1	1.000000
965	CD58	1.000000
2036	EPB41L1	1.000000
5329	PLAUR	1.000000
9080	CLDN9	1.000000
83700	JAM3	1.000000
3125	HLA-DRB3	1.000000
50649	ARHGEF4	1.000000
2037	EPB41L2	1.000000
5228	PGF	1.000000
2247	FGF2	1.000000
1002	CDH4	1.000000
103910	MYL12B	1.000000
85477	SCIN	1.000000
5797	PTPRM	1.000000
1399	CRKL	1.000000
998	CDC42	1.000000
7409	VAV1	1.000000
5063	PAK3	1.000000
7057	THBS1	1.000000
1129	CHRM2	1.000000
4478	MSN	1.000000
50848	F11R	1.000000
81873	ARPC5L	1.000000
55844	PPP2R2D	1.000000
1496	CTNNA2	1.000000
9073	CLDN8	1.000000
1282	COL4A1	1.000000
5594	MAPK1	1.000000
25945	NECTIN3	1.000000
7074	TIAM1	1.000000
10627	MYL12A	1.000000
5788	PTPRC	1.000000
818	CAMK2G	1.000000
1457	CSNK2A1	1.000000
9414	TJP2	1.000000
5747	PTK2	1.000000
5590	PRKCZ	1.000000
5921	RASA1	1.000000
3691	ITGB4	1.000000
940	CD28	1.000000
8440	NCK2	1.000000
7094	TLN1	1.000000
6693	SPN	1.000000
7039	TGFA	1.000000
1026	CDKN1A	1.000000
10163	WASF2	1.000000
10451	VAV3	1.000000
6655	SOS2	1.000000
7448	VTN	1.000000
3993	LLGL2	1.000000
54961	SSH3	1.000000
9223	MAGI1	1.000000
1950	EGF	1.000000
8506	CNTNAP1	1.000000
3479	IGF1	1.000000
1365	CLDN3	1.000000
9459	ARHGEF6	1.000000
1000	CDH2	1.000000
6900	CNTN2	1.000000
10094	ARPC3	1.000000
3696	ITGB8	1.000000
23191	CYFIP1	1.000000
9074	CLDN6	1.000000
3791	KDR	1.000000
3682	ITGAE	1.000000
396	ARHGDIA	1.000000
7423	VEGFB	1.000000
2475	MTOR	1.000000
84612	PARD6B	1.000000
3694	ITGB6	1.000000
1495	CTNNA1	1.000000
2885	GRB2	1.000000
3084	NRG1	1.000000
3725	JUN	1.000000
5337	PLD1	1.000000
56288	PARD3	1.000000
8735	MYH13	1.000000
3985	LIMK2	1.000000
6614	SIGLEC1	1.000000
1793	DOCK1	1.000000
5879	RAC1	1.000000
81624	DIAPH3	1.000000
5605	MAP2K2	1.000000
3678	ITGA5	1.000000
28964	GIT1	1.000000
3684	ITGAM	1.000000
5601	MAPK9	1.000000
5522	PPP2R2C	1.000000
923	CD6	1.000000
8503	PIK3R3	1.000000
1072	CFL1	1.000000
3123	HLA-DRB1	1.000000
84552	PARD6G	1.000000
10552	ARPC1A	1.000000
5588	PRKCQ	1.000000
2734	GLG1	1.000000
3683	ITGAL	1.000000
920	CD4	1.000000
64398	MPP5	1.000000
3108	HLA-DMA	1.000000
5894	RAF1	1.000000
5906	RAP1A	1.000000
369	ARAF	1.000000
80310	PDGFD	1.000000
5518	PPP2R1A	1.000000
5581	PRKCE	1.000000
390	RND3	1.000000
8396	PIP4K2B	1.000000
207	AKT1	1.000000
9071	CLDN10	1.000000
3082	HGF	1.000000
4233	MET	1.000000
3672	ITGA1	1.000000
5058	PAK1	1.000000
5170	PDPK1	1.000000
3059	HCLS1	1.000000
1803	DPP4	1.000000
55970	GNG12	1.000000
3687	ITGAX	1.000000
6237	RRAS	1.000000
3915	LAMC1	1.000000
3675	ITGA3	1.000000
1460	CSNK2B	1.000000
7430	EZR	1.000000
2932	GSK3B	1.000000
2321	FLT1	1.000000
8395	PIP5K1B	1.000000
25759	SHC2	1.000000
3109	HLA-DMB	1.000000
22808	MRAS	1.000000
23396	PIP5K1C	1.000000
6199	RPS6KB2	1.000000
56924	PAK6	1.000000
22798	LAMB4	1.000000
1133	CHRM5	1.000000
3912	LAMB1	1.000000
7408	VASP	1.000000
2534	FYN	1.000000
1019	CDK4	1.000000
3111	HLA-DOA	1.000000
5599	MAPK8	1.000000
5062	PAK2	1.000000
5217	PFN2	1.000000
55740	ENAH	1.000000
5579	PRKCB	1.000000
6404	SELPLG	1.000000
10458	BAIAP2	1.000000
623	BDKRB1	1.000000
51776	MAP3K20	1.000000
9379	NRXN2	1.000000
5335	PLCG1	1.000000
3107	HLA-C	1.000000
3984	LIMK1	1.000000
8573	CASK	1.000000
9076	CLDN1	1.000000
9564	BCAR1	1.000000
3135	HLA-G	1.000000
3996	LLGL1	1.000000
947	CD34	1.000000
596	BCL2	1.000000
2065	ERBB3	1.000000
22989	MYH15	1.000000
5880	RAC2	1.000000
7077	TIMP2	1.000000
9378	NRXN1	1.000000
3909	LAMA3	1.000000
929	CD14	1.000000
3693	ITGB5	1.000000
2017	CTTN	1.000000
4342	MOS	1.000000
