#Iter	Time	Change
0	0.00	4.461436e+02
1	0.00	2.050180e+02
2	0.00	1.688398e+02
3	0.00	1.529776e+02
4	0.00	1.389901e+02
5	0.00	1.265976e+02
6	0.00	1.149373e+02
7	0.00	1.042882e+02
8	0.00	9.443848e+01
9	0.00	8.551950e+01
10	0.00	7.738659e+01
11	0.00	7.005945e+01
12	0.01	6.341887e+01
13	0.00	5.744436e+01
14	0.00	5.204134e+01
15	0.00	4.717798e+01
16	0.01	4.278087e+01
17	0.00	3.881789e+01
18	0.00	3.523254e+01
19	0.00	3.199616e+01
20	0.00	2.906526e+01
21	0.00	2.641552e+01
22	0.00	2.401331e+01
23	0.01	2.183844e+01
24	0.00	1.986472e+01
25	0.00	1.807555e+01
26	0.00	1.645038e+01
27	0.00	1.497558e+01
28	0.00	1.363491e+01
29	0.00	1.241718e+01
30	0.00	1.130948e+01
31	0.00	1.030260e+01
32	0.00	9.386195e+00
33	0.00	8.552677e+00
34	0.00	7.793721e+00
35	0.00	7.103056e+00
36	0.00	6.473947e+00
37	0.00	5.901204e+00
38	0.00	5.379355e+00
39	0.00	4.904098e+00
40	0.00	4.470970e+00
41	0.00	4.076402e+00
42	0.00	3.716743e+00
43	0.00	3.389028e+00
44	0.01	3.090263e+00
45	0.00	2.817981e+00
46	0.00	2.569723e+00
47	0.00	2.343436e+00
48	0.00	2.137095e+00
49	0.00	1.948992e+00
50	0.00	1.777457e+00
51	0.00	1.621068e+00
52	0.00	1.478444e+00
53	0.00	1.348402e+00
54	0.00	1.229802e+00
55	0.00	1.121656e+00
56	0.00	1.023022e+00
57	0.00	9.330774e-01
58	0.00	8.510413e-01
59	0.00	7.762291e-01
60	0.00	7.079933e-01
61	0.00	6.457637e-01
62	0.00	5.890035e-01
63	0.00	5.372379e-01
64	0.00	4.900213e-01
65	0.00	4.469583e-01
66	0.00	4.076793e-01
67	0.00	3.718548e-01
68	0.00	3.391780e-01
69	0.00	3.093746e-01
70	0.00	2.821896e-01
71	0.00	2.573948e-01
72	0.00	2.347783e-01
73	0.00	2.141500e-01
74	0.00	1.953339e-01
75	0.00	1.781717e-01
76	0.00	1.625172e-01
77	0.00	1.482387e-01
78	0.00	1.352145e-01
79	0.00	1.233349e-01
80	0.00	1.124989e-01
81	0.00	1.026152e-01
82	0.00	9.359973e-02
83	0.00	8.537652e-02
84	0.01	7.787568e-02
85	0.00	7.103397e-02
86	0.00	6.479327e-02
87	0.00	5.910094e-02
88	0.00	5.390866e-02
89	0.00	4.917261e-02
90	0.00	4.485260e-02
91	0.00	4.091217e-02
92	0.00	3.731790e-02
93	0.00	3.403942e-02
94	0.00	3.104896e-02
95	0.00	2.832123e-02
96	0.00	2.583313e-02
97	0.00	2.356364e-02
98	0.00	2.149351e-02
99	0.00	1.960526e-02
100	0.00	1.788290e-02
101	0.00	1.631185e-02
102	0.00	1.487882e-02
103	0.00	1.357169e-02
104	0.00	1.237939e-02
105	0.00	1.129184e-02
106	0.00	1.029983e-02
107	0.00	9.394971e-03
108	0.00	8.569605e-03
109	0.00	7.816751e-03
110	0.00	7.130036e-03
111	0.00	6.503651e-03
112	0.00	5.932294e-03
113	0.01	5.411133e-03
114	0.00	4.935756e-03
115	0.00	4.502142e-03
116	0.00	4.106622e-03
117	0.00	3.745849e-03
118	0.00	3.416770e-03
119	0.00	3.116602e-03
120	0.00	2.842803e-03
121	0.00	2.593059e-03
122	0.00	2.365254e-03
123	0.01	2.157463e-03
124	0.00	1.967927e-03
125	0.00	1.795042e-03
126	0.00	1.637344e-03
127	0.00	1.493501e-03
128	0.00	1.362295e-03
129	0.00	1.242615e-03
130	0.00	1.133450e-03
131	0.00	1.033875e-03
132	0.00	9.430471e-04
