#Iter	Time	Change
0	0.00	1.642043e+03
1	0.00	8.201409e+02
2	0.00	5.533934e+02
3	0.00	4.569118e+02
4	0.00	3.474132e+02
5	0.00	3.009267e+02
6	0.00	2.458167e+02
7	0.00	2.174720e+02
8	0.00	1.858830e+02
9	0.00	1.668395e+02
10	0.00	1.470238e+02
11	0.00	1.335730e+02
12	0.00	1.202986e+02
13	0.00	1.103908e+02
14	0.00	1.009124e+02
15	0.00	9.337184e+01
16	0.00	8.632131e+01
17	0.00	8.046057e+01
18	0.00	7.505099e+01
19	0.00	7.041496e+01
20	0.00	6.616218e+01
21	0.00	6.243764e+01
22	0.00	5.902715e+01
23	0.00	5.599222e+01
24	0.00	5.321047e+01
25	0.01	5.070453e+01
26	0.01	4.840143e+01
27	0.00	4.630614e+01
28	0.00	4.437328e+01
29	0.00	4.260025e+01
30	0.00	4.095761e+01
31	0.00	3.943998e+01
32	0.01	3.802751e+01
33	0.01	3.671420e+01
34	0.00	3.548620e+01
35	0.00	3.433781e+01
36	0.00	3.325910e+01
37	0.01	3.224501e+01
38	0.00	3.128823e+01
39	0.00	3.038446e+01
40	0.00	2.952819e+01
41	0.01	2.871581e+01
42	0.01	2.794311e+01
43	0.00	2.720710e+01
44	0.00	2.650452e+01
45	0.00	2.583290e+01
46	0.00	2.518967e+01
47	0.00	2.457280e+01
48	0.00	2.398025e+01
49	0.00	2.341035e+01
50	0.00	2.286146e+01
51	0.00	2.233221e+01
52	0.00	2.182126e+01
53	0.00	2.132749e+01
54	0.00	2.084980e+01
55	0.00	2.038726e+01
56	0.00	1.993897e+01
57	0.00	1.950415e+01
58	0.00	1.908206e+01
59	0.00	1.867203e+01
60	0.00	1.827345e+01
61	0.00	1.788577e+01
62	0.00	1.750847e+01
63	0.00	1.714107e+01
64	0.00	1.678313e+01
65	0.00	1.643426e+01
66	0.00	1.609407e+01
67	0.00	1.576222e+01
68	0.00	1.543838e+01
69	0.00	1.512226e+01
70	0.00	1.481357e+01
71	0.00	1.451206e+01
72	0.01	1.421746e+01
73	0.00	1.392957e+01
74	0.00	1.364815e+01
75	0.01	1.337300e+01
76	0.00	1.310393e+01
77	0.00	1.284077e+01
78	0.00	1.258332e+01
79	0.00	1.233145e+01
80	0.00	1.208497e+01
81	0.01	1.184376e+01
82	0.00	1.160766e+01
83	0.00	1.137655e+01
84	0.00	1.115029e+01
85	0.00	1.092876e+01
86	0.00	1.071184e+01
87	0.00	1.049942e+01
88	0.00	1.029139e+01
89	0.00	1.008764e+01
90	0.00	9.888073e+00
91	0.00	9.692591e+00
92	0.00	9.501099e+00
93	0.00	9.313505e+00
94	0.00	9.129722e+00
95	0.00	8.949663e+00
96	0.00	8.773245e+00
97	0.00	8.600389e+00
98	0.00	8.431015e+00
99	0.00	8.265049e+00
100	0.00	8.102416e+00
101	0.00	7.943045e+00
102	0.00	7.786866e+00
103	0.00	7.633811e+00
104	0.00	7.483814e+00
105	0.00	7.336811e+00
106	0.00	7.192739e+00
107	0.00	7.051536e+00
108	0.00	6.913144e+00
109	0.00	6.777503e+00
110	0.00	6.644556e+00
111	0.00	6.514249e+00
112	0.00	6.386527e+00
113	0.00	6.261337e+00
114	0.00	6.138627e+00
115	0.00	6.018347e+00
116	0.00	5.900447e+00
117	0.00	5.784878e+00
118	0.00	5.671594e+00
119	0.00	5.560549e+00
120	0.00	5.451696e+00
121	0.00	5.344993e+00
122	0.00	5.240394e+00
123	0.00	5.137859e+00
