Supplementary data file 2(ii): Differentially expressed isoforms,,,,,,,,,,
Ensembl Gene ID,Ensembl Transcript ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000090581,ENST00000204679,GNPTG,-1.43E-01,-1.96E-01,-9.08E-02,5.492,-5.351,1.27E-07,0.00298,7.1886161
ENSG00000169432,ENST00000409672,SCN9A,2.73E-01,1.72E-01,3.74E-01,3.693,5.293,1.71E-07,0.00298,6.7598186
ENSG00000145022,ENST00000273590,TCTA,-1.38E-01,-1.90E-01,-8.65E-02,4.805,-5.26,2.04E-07,0.00298,6.7118313
ENSG00000198771,ENST00000367854,RCSD1,-2.10E-01,-2.90E-01,-1.29E-01,2.861,-5.113,4.32E-07,0.004728,5.8279973
ENSG00000172458,ENST00000498088,IL17D,-1.48E-01,-2.06E-01,-9.01E-02,4.616,-5.013,7.13E-07,0.005351,5.5634131
ENSG00000116191,ENST00000367635,RALGPS2,1.49E-01,9.07E-02,2.08E-01,4.799,5.008,7.33E-07,0.005351,5.5512824
ENSG00000135750,ENST00000472190,KCNK1,-3.29E-01,-4.59E-01,-1.99E-01,4.122,-4.963,9.15E-07,0.005726,5.3122527
ENSG00000148660,ENST00000322680,CAMK2G,-2.19E-01,-3.07E-01,-1.30E-01,5.717,-4.859,1.53E-06,0.008019,4.9080155
ENSG00000080298,ENST00000382004,RFX3,1.31E-01,7.77E-02,1.84E-01,7.348,4.828,1.77E-06,0.008019,4.7561697
ENSG00000135299,ENST00000369408,ANKRD6,1.29E-01,7.61E-02,1.82E-01,4.686,4.789,2.14E-06,0.008019,4.5766245
ENSG00000185324,ENST00000353379,CDK10,-3.08E-01,-4.34E-01,-1.82E-01,2.147,-4.786,2.16E-06,0.008019,4.3558002
ENSG00000136986,ENST00000524119,DERL1,1.84E-01,1.08E-01,2.60E-01,2.122,4.783,2.20E-06,0.008019,4.3262468
ENSG00000126217,ENST00000375604,MCF2L,-2.31E-01,-3.26E-01,-1.36E-01,4.783,-4.756,2.51E-06,0.008444,4.4348704
ENSG00000167434,ENST00000300900,CA4,-2.52E-01,-3.58E-01,-1.47E-01,2.88,-4.71,3.11E-06,0.009745,4.1140985
ENSG00000080573,ENST00000264828,COL5A3,-2.96E-01,-4.20E-01,-1.72E-01,5.2,-4.692,3.38E-06,0.00988,4.1736271
ENSG00000125967,ENST00000246190,NECAB3,-2.37E-01,-3.38E-01,-1.37E-01,2.747,-4.65,4.13E-06,0.011312,3.8425867
ENSG00000127328,ENST00000550536,RAB3IP,1.10E-01,6.30E-02,1.57E-01,5.632,4.602,5.15E-06,0.013279,3.7950164
ENSG00000068078,ENST00000481110,FGFR3,-3.05E-01,-4.36E-01,-1.74E-01,3.733,-4.562,6.20E-06,0.014823,3.5657222
ENSG00000245937,ENST00000499346,.,-2.15E-01,-3.08E-01,-1.22E-01,2.873,-4.548,6.62E-06,0.014823,3.4404382
ENSG00000247317,ENST00000517833,.,-1.71E-01,-2.45E-01,-9.68E-02,2.006,-4.534,7.05E-06,0.014823,3.3253796
ENSG00000125462,ENST00000465270,C1orf61,-4.59E-01,-6.58E-01,-2.60E-01,2.881,-4.532,7.10E-06,0.014823,3.3834724
ENSG00000120833,ENST00000549122,SOCS2,-2.21E-01,-3.17E-01,-1.24E-01,3.35E-01,-4.495,8.44E-06,0.016799,3.0949873
ENSG00000110172,ENST00000533724,CHORDC1,2.27E-01,1.27E-01,3.27E-01,4.786,4.445,1.06E-05,0.018577,3.1365485
ENSG00000141433,ENST00000579794,ADCYAP1,2.63E-01,1.47E-01,3.79E-01,4.098,4.444,1.06E-05,0.018577,3.1150707
ENSG00000111913,ENST00000259698,FAM65B,1.22E-01,6.83E-02,1.76E-01,5.906,4.444,1.06E-05,0.018577,3.1347798
ENSG00000023445,ENST00000263464,BIRC3,2.19E-01,1.21E-01,3.16E-01,3.446,4.418,1.19E-05,0.019122,2.9796739
ENSG00000127328,ENST00000481897,RAB3IP,2.61E-01,1.45E-01,3.77E-01,1.852,4.41,1.23E-05,0.019122,2.8327233
ENSG00000130653,ENST00000406427,PNPLA7,-2.43E-01,-3.51E-01,-1.34E-01,2.903,-4.393,1.33E-05,0.019122,2.8360725
ENSG00000140545,ENST00000560937,MFGE8,-3.35E-01,-4.84E-01,-1.85E-01,-4.50E-01,-4.388,1.36E-05,0.019122,2.6975059
ENSG00000072954,ENST00000187762,TMEM38A,-1.33E-01,-1.92E-01,-7.33E-02,5.212,-4.388,1.36E-05,0.019122,2.9109648
ENSG00000172638,ENST00000307998,EFEMP2,-2.70E-01,-3.91E-01,-1.49E-01,1.806,-4.382,1.40E-05,0.019122,2.7204706
ENSG00000237517,ENST00000440005,DGCR5,-1.89E-01,-2.73E-01,-1.04E-01,2.942,-4.374,1.45E-05,0.019122,2.7723948
ENSG00000115020,ENST00000264380,PIKFYVE,6.35E-02,3.50E-02,9.21E-02,7.486,4.372,1.46E-05,0.019122,2.7960106
ENSG00000166947,ENST00000300215,EPB42,-1.59E-01,-2.31E-01,-8.77E-02,1.969,-4.369,1.48E-05,0.019122,2.6801023
ENSG00000163618,ENST00000490424,CADPS,2.46E-01,1.35E-01,3.57E-01,4.47E-01,4.355,1.57E-05,0.019695,2.5691248
ENSG00000130511,ENST00000348495,SSBP4,-2.28E-01,-3.32E-01,-1.24E-01,4.666,-4.316,1.87E-05,0.022284,2.6204679
ENSG00000135447,ENST00000257905,PPP1R1A,-1.29E-01,-1.87E-01,-7.01E-02,4.038,-4.313,1.89E-05,0.022284,2.5948536
ENSG00000010379,ENST00000343164,SLC6A13,-3.76E-01,-5.47E-01,-2.05E-01,1.49E-01,-4.309,1.93E-05,0.022284,2.4040695
ENSG00000197360,ENST00000357774,ZNF98,-2.59E-01,-3.78E-01,-1.40E-01,1.227,-4.278,2.21E-05,0.02405,2.301131
ENSG00000155966,ENST00000286437,AFF2,3.11E-01,1.68E-01,4.54E-01,3.488,4.278,2.21E-05,0.02405,2.4396485
ENSG00000129538,ENST00000397967,RNASE1,-3.62E-01,-5.28E-01,-1.96E-01,3.562,-4.274,2.25E-05,0.02405,2.424079
ENSG00000172939,ENST00000483695,OXSR1,2.76E-01,1.49E-01,4.03E-01,-3.09E-01,4.26,2.39E-05,0.024837,2.2203148
ENSG00000178662,ENST00000314499,CSRNP3,2.24E-01,1.20E-01,3.27E-01,8.345,4.249,2.50E-05,0.024837,2.2547117
ENSG00000121989,ENST00000241416,ACVR2A,1.16E-01,6.24E-02,1.70E-01,5.809,4.249,2.50E-05,0.024837,2.3538953
