['84532', 0.5657318644468003, 1.0, 0.34690489576214434, 0.3149481367361849, 'Positive', 'Unlabeled', 'Unlabeled']
['94160', 0.5572614435801879, 1.0, 0.3357238158959652, 0.2992498098801059, 'Positive', 'Unlabeled', 'Unlabeled']
['64792', 0.5455841921170463, 1.0, 0.34346222719127445, 0.24287939566176617, 'Positive', 'Unlabeled', 'Unlabeled']
['84458', 0.540816865356799, 1.0, 0.3281721324637872, 0.24753978517204867, 'Positive', 'Unlabeled', 'Unlabeled']
['90134', 0.5284464756668878, 1.0, 0.30860303335757194, 0.229473606686712, 'Positive', 'Unlabeled', 'Unlabeled']
['55103', 0.5265927062037558, 1.0, 0.2721774632206677, 0.27700584561672886, 'Positive', 'Unlabeled', 'Unlabeled']
['84572', 0.5265240505565782, 1.0, 0.28090312952277374, 0.26365416618272225, 'Positive', 'Unlabeled', 'Unlabeled']
['84919', 0.5196943726413807, 1.0, 0.28579396173736354, 0.23013748585258073, 'Positive', 'Unlabeled', 'Unlabeled']
['7123', 0.5189676644993003, 1.0, 0.29293687656861084, 0.21663739906106835, 'Positive', 'Unlabeled', 'Unlabeled']
['57600', 0.5176379928805217, 1.0, 0.29000667227416094, 0.21593563096409155, 'Positive', 'Unlabeled', 'Unlabeled']
['57472', 0.5175686180514987, 1.0, 0.284995187120596, 0.22318692184985092, 'Positive', 'Unlabeled', 'Unlabeled']
['3189', 0.5108953913101796, 1.0, 0.2708170766013408, 0.21887338512034393, 'Positive', 'Unlabeled', 'Unlabeled']
['200576', 0.5102602286824497, 1.0, 0.26969537790285414, 0.218121143095109, 'Positive', 'Unlabeled', 'Unlabeled']
['51257', 0.510235889029288, 1.0, 0.24899379423262755, 0.24908021659666255, 'Positive', 'Unlabeled', 'Unlabeled']
['113251', 0.5099700754661461, 1.0, 0.2681044816861935, 0.21939523342427, 'Positive', 'Unlabeled', 'Unlabeled']
['9878', 0.5095415841082522, 1.0, 0.26465367136676726, 0.22292889869814925, 'Positive', 'Unlabeled', 'Unlabeled']
['23200', 0.5091474350199122, 1.0, 0.2666437686878301, 0.21843284787791828, 'Positive', 'Unlabeled', 'Unlabeled']
['9931', 0.5088130538171999, 1.0, 0.265432131659441, 0.21896850881010463, 'Positive', 'Unlabeled', 'Unlabeled']
['4154', 0.5087842984227744, 1.0, 0.2662083372759157, 0.21769397137342847, 'Positive', 'Unlabeled', 'Unlabeled']
['55588', 0.5087840839454612, 1.0, 0.2632517265097786, 0.22212806535959953, 'Positive', 'Unlabeled', 'Unlabeled']
