['491', '0.597', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 766]
['9378', '0.531', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 439]
['2775', '0.493', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 888]
['4916', '0.485', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1969]
['6857', '0.263', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 272]
['6616', '0.239', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 219]
['6854', '0.224', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 412]
['6310', '0.214', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1035]
['287', '0.199', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 430]
['1268', '0.179', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 454]
['816', '0.172', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1630]
['1804', '0.166', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 339]
['2334', '0.161', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 861]
['10439', '0.159', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 406]
['2782', '0.154', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 752]
['1501', '0.134', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 185]
['23369', '0.120', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1588]
['4857', '0.116', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 336]
['2891', '0.115', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 77]
['80031', '0.114', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 334]
['5515', '0.103', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1066]
['22941', '0.100', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1139]
['9369', '0.097', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 247]
['546', '0.095', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1227]
['862', '0.091', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 319]
['23544', '0.086', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 511]
['2562', '0.081', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 108]
['4915', '0.077', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 429]
['2596', '0.064', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 234]
['4325', '0.062', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 616]
['4137', '0.061', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 290]
['51412', '0.058', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 764]
['6585', '0.057', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 544]
['783', '0.052', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 224]
['57030', '0.044', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 353]
['9444', '0.042', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1484]
['26960', '0.040', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 283]
['6418', '0.038', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1495]
['89795', '0.036', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 217]
['9568', '0.026', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 438]
['9201', '0.026', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 374]
['5682', '0.024', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1346]
['8927', '0.023', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 192]
['53335', '0.022', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 217]
['7529', '0.018', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 781]
['3358', '0.016', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 204]
['1641', '0.016', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 160]
['9118', '0.012', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 218]
['4897', '0.009', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 287]
['3356', '0.003', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 371]
['2572', '0.003', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 342]
['2892', '0.002', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 143]
['2618', '-1.303', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 959]
['617', '-1.248', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 507]
['55706', '-1.205', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 785]
['8615', '-1.185', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1198]
['7866', '-1.185', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 549]
['30008', '-1.172', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 784]
['3155', '-1.164', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 236]
['1111', '-1.151', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 620]
['55759', '-1.151', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 828]
['4736', '-1.149', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 439]
['9319', '-1.145', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 751]
['10885', '-1.142', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 801]
['4641', '-1.139', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 519]
['79084', '-1.136', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1030]
['9528', '-1.136', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 359]
['5427', '-1.132', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 504]
['124565', '-1.130', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 191]
['6124', '-1.130', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 360]
['307', '-1.129', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 689]
['259173', '-1.129', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 538]
['9533', '-1.128', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 690]
['9276', '-1.126', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 897]
['9604', '-1.123', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1164]
['6790', '-1.123', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 774]
['54431', '-1.120', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 797]
['11004', '-1.120', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 686]
['51236', '-1.118', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 360]
['6164', '-1.114', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 188]
['6189', '-1.113', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 208]
['8602', '-1.113', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 280]
['701', '-1.112', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 476]
['28973', '-1.110', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1273]
['9236', '-1.108', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 651]
