Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
PGBD1,84547,no,no,yes,yes,yes,no,yes,4
DOC2A,8448,no,yes,yes,yes,no,no,yes,4
DRD2,1813,yes,no,no,yes,yes,no,yes,4
MAGI2,9863,no,yes,yes,yes,yes,no,no,4
SNAP91,9892,no,no,yes,yes,no,no,yes,3
HIST1H2BJ,8970,no,no,no,yes,yes,no,yes,3
TCF4,6925,yes,no,no,yes,yes,no,no,3
RTN4R,65078,no,yes,yes,no,yes,no,no,3
SLC1A2,6506,yes,no,yes,no,yes,no,no,3
ZSCAN31,64288,no,no,no,yes,no,yes,yes,3
SRR,63826,no,no,no,yes,yes,no,yes,3
BDNF,627,yes,no,yes,no,yes,no,no,3
ZSWIM6,57688,no,no,yes,yes,no,no,yes,3
GLT8D1,55830,no,no,no,yes,no,yes,yes,3
GNB1L,54584,yes,yes,no,no,yes,no,no,3
NR4A2,4929,yes,no,yes,no,yes,no,no,3
NRGN,4900,no,no,no,yes,yes,no,yes,3
GOLGA6L5,374650,no,no,yes,yes,no,no,yes,3
ITIH4,3700,no,no,yes,yes,no,no,yes,3
HSPD1,3329,no,no,yes,yes,no,no,yes,3
GRIA1,2890,yes,no,no,yes,yes,no,no,3
DISC1,27185,yes,yes,no,no,yes,no,no,3
EGR1,1958,no,no,yes,yes,no,no,yes,3
COMT,1312,yes,yes,no,no,yes,no,no,3
DNAJC19,131118,no,no,yes,yes,no,no,yes,3
CNR1,1268,yes,no,yes,no,yes,no,no,3
TRMT61A,115708,no,no,yes,yes,no,no,yes,3
TNFRSF13C,115650,no,no,yes,yes,no,no,yes,3
PRSS16,10279,no,no,no,yes,yes,no,yes,3
NPAS3,64067,no,no,yes,yes,yes,no,no,3
NOS1,4842,no,no,yes,yes,yes,no,no,3
DGCR2,9993,no,yes,no,no,yes,no,no,2
DOPEY2,9980,no,no,yes,no,no,no,yes,2
HS3ST3B1,9953,no,yes,yes,no,no,no,no,2
TRANK1,9881,no,no,no,yes,no,no,yes,2
ATG13,9776,no,no,no,yes,no,no,yes,2
ZSCAN12,9753,no,no,no,yes,no,no,yes,2
KDM4A,9682,no,no,no,yes,no,no,yes,2
PLCH2,9651,no,no,no,yes,no,no,yes,2
RGS6,9628,no,no,yes,yes,no,no,no,2
BAG5,9529,no,no,no,yes,no,no,yes,2
TAOK2,9344,no,no,no,yes,no,no,yes,2
SNAP29,9342,no,yes,no,no,yes,no,no,2
MARS2,92935,no,no,no,yes,no,no,yes,2
ZNF804A,91752,no,no,no,yes,yes,no,no,2
SMDT1,91689,no,no,no,yes,no,no,yes,2
ATPAF2,91647,no,no,no,yes,no,no,yes,2
DGKI,9162,no,no,no,yes,no,no,yes,2
C12orf65,91574,no,no,no,yes,no,no,yes,2
ANKRD44,91526,no,no,no,yes,no,no,yes,2
CREB3L1,90993,no,no,no,yes,no,no,yes,2
ESAM,90952,no,no,no,yes,no,no,yes,2
KALRN,8997,yes,no,yes,no,no,no,no,2
CACNA1I,8911,no,no,no,yes,no,no,yes,2
DGKZ,8525,no,no,no,yes,no,no,yes,2
USMG5,84833,no,no,yes,yes,no,no,no,2
PLCD4,84812,no,no,yes,no,no,yes,no,2
HIRIP3,8479,no,no,no,yes,no,no,yes,2
DTNBP1,84062,yes,no,no,no,yes,no,no,2
TSSK6,83983,no,no,no,yes,no,no,yes,2
IMMP2L,83943,no,no,no,yes,no,no,yes,2
MAD1L1,8379,no,no,no,yes,no,no,yes,2
FAM57B,83723,no,no,no,yes,no,no,yes,2
HIST1H3A,8350,no,no,yes,no,no,no,yes,2
HIST1H2BL,8340,no,no,no,yes,no,no,yes,2
CDC45,8318,no,yes,yes,no,no,no,no,2
