#DiseaseAUCs	BiologicalProcessAUCs
0.640352	0.698312
0.639884	0.729252
0.649108	0.639103
0.650419	0.705215
0.658285	0.673772
0.687503	0.663139
0.624526	0.702343
0.678419	0.660469
0.625509	0.715193
0.695041	0.659965
0.689469	0.684152
0.681182	0.759486
0.683944	0.704913
0.710306	0.681885
0.609683	0.650391
0.683219	0.665659
0.677015	0.618947
0.685326	0.696901
0.668774	0.693474
0.687550	0.625548
0.685162	0.715142
0.664864	0.688838
0.663436	0.635173
0.748045	0.673469
0.623074	0.667372
0.648593	0.673318
0.655523	0.702998
0.694433	0.699219
0.668821	0.715495
0.727349	0.646914
0.676312	0.644293
0.705951	0.636634
0.652526	0.651398
0.682867	0.659058
0.713068	0.680474
0.673924	0.658302
0.652011	0.682439
0.647516	0.630335
0.642927	0.633459
0.717657	0.674931
0.643723	0.714739
0.725851	0.664097
0.670670	0.695792
0.700473	0.662182
0.675095	0.672714
0.639837	0.648879
0.665754	0.738272
0.603034	0.608062
0.662780	0.718216
0.664185	0.649735
