#DiseaseAUCs	BiologicalProcessAUCs
0.713028	0.749975
0.682283	0.693324
0.701077	0.747815
0.721285	0.744624
0.703129	0.763427
0.677310	0.751939
0.747468	0.761610
0.731046	0.776878
0.694827	0.751546
0.721969	0.775749
0.681233	0.792980
0.737478	0.698184
0.723702	0.714580
0.696834	0.755817
0.686342	0.732646
0.727352	0.764752
0.727488	0.762150
0.710245	0.711586
0.681735	0.723024
0.663831	0.744035
0.697929	0.740795
0.696196	0.750074
0.674117	0.732842
0.726211	0.768238
0.699069	0.724890
0.691999	0.708051
0.674938	0.708493
0.728355	0.775749
0.648663	0.753363
0.725709	0.766568
0.703905	0.719882
0.726165	0.763279
0.690858	0.777811
0.704498	0.757830
0.746602	0.795729
0.691223	0.739912
0.688486	0.698135
0.705775	0.769661
0.696424	0.694944
0.713256	0.751645
0.719232	0.698871
0.689855	0.773932
0.709880	0.753314
0.735015	0.737653
0.707645	0.739617
0.665952	0.732941
0.720783	0.767305
0.653157	0.655179
0.767357	0.742121
0.746191	0.742415
