#Iter	Time	Change
0	0.01	6.469276e+02
1	0.01	3.366760e+02
2	0.01	2.473396e+02
3	0.01	1.786222e+02
4	0.01	1.316005e+02
5	0.01	9.769997e+01
6	0.01	7.346952e+01
7	0.01	5.600741e+01
8	0.01	4.335976e+01
9	0.01	3.409921e+01
10	0.01	2.720404e+01
11	0.01	2.198954e+01
12	0.01	1.800049e+01
13	0.01	1.491554e+01
14	0.01	1.249211e+01
15	0.01	1.056837e+01
16	0.01	9.023145e+00
17	0.01	7.771491e+00
18	0.01	6.738186e+00
19	0.01	5.891881e+00
20	0.01	5.192401e+00
21	0.01	4.602311e+00
22	0.01	4.065058e+00
23	0.01	3.585697e+00
24	0.01	3.151127e+00
25	0.01	2.768630e+00
26	0.01	2.424360e+00
27	0.01	2.124434e+00
28	0.01	1.855706e+00
29	0.01	1.623517e+00
30	0.01	1.415679e+00
31	0.01	1.237331e+00
32	0.01	1.077639e+00
33	0.01	9.414458e-01
34	0.01	8.192655e-01
35	0.01	7.156941e-01
36	0.01	6.224792e-01
37	0.01	5.439463e-01
38	0.01	4.729498e-01
39	0.01	4.135275e-01
40	0.01	3.594949e-01
41	0.01	3.145970e-01
42	0.01	2.734868e-01
43	0.01	2.396002e-01
44	0.01	2.083086e-01
45	0.01	1.827419e-01
46	0.01	1.589038e-01
47	0.01	1.396213e-01
48	0.01	1.214407e-01
49	0.01	1.069000e-01
50	0.01	9.301380e-02
51	0.01	8.204859e-02
52	0.01	7.142330e-02
53	0.01	6.315301e-02
54	0.01	5.500553e-02
55	0.01	4.876590e-02
56	0.01	4.250307e-02
57	0.01	3.779342e-02
58	0.01	3.296586e-02
59	0.01	2.940896e-02
60	0.01	2.567612e-02
61	0.01	2.298765e-02
62	0.01	2.009134e-02
63	0.01	1.805731e-02
64	0.01	1.580139e-02
65	0.01	1.426066e-02
66	0.01	1.249620e-02
67	0.01	1.132746e-02
68	0.01	9.941162e-03
69	0.01	9.053056e-03
70	0.01	7.958626e-03
71	0.01	7.282327e-03
72	0.01	6.413901e-03
73	0.01	5.897576e-03
74	0.01	5.204756e-03
75	0.01	4.809387e-03
76	0.01	4.253549e-03
77	0.01	3.949733e-03
78	0.01	3.501203e-03
79	0.01	3.266774e-03
80	0.01	2.902695e-03
81	0.01	2.720931e-03
82	0.01	2.423639e-03
83	0.01	2.281924e-03
84	0.01	2.037715e-03
85	0.01	1.926529e-03
86	0.01	1.724739e-03
87	0.01	1.636886e-03
88	0.01	1.469187e-03
89	0.01	1.399221e-03
90	0.01	1.259071e-03
91	0.01	1.202876e-03
92	0.01	1.085113e-03
93	0.01	1.039564e-03
94	0.01	9.401039e-04
