#DiseaseAUCs	BiologicalProcessAUCs
0.673159	0.711831
0.743865	0.712862
0.681690	0.712420
0.684062	0.755081
0.676398	0.732401
0.713849	0.717035
0.701350	0.684732
0.731138	0.717820
0.632880	0.693814
0.703357	0.664212
0.697792	0.784389
0.687757	0.707511
0.687893	0.739421
0.725116	0.752381
0.691588	0.692194
0.705593	0.729799
0.669738	0.731222
0.749019	0.734806
0.676079	0.731370
0.765304	0.740697
0.713074	0.681492
0.666408	0.740452
0.690722	0.762936
0.667822	0.735150
0.735654	0.721306
0.684974	0.676780
0.677128	0.680756
0.680686	0.694207
0.694508	0.690574
0.690995	0.709229
0.746602	0.704075
0.698476	0.738390
0.674802	0.703289
0.705593	0.676534
0.661618	0.684143
0.682739	0.723810
0.663945	0.750319
0.672612	0.705106
0.703814	0.753216
0.702719	0.659990
0.726667	0.723810
0.739531	0.663967
0.705228	0.721011
0.707052	0.669269
0.742998	0.705400
0.639038	0.735788
0.666864	0.747521
0.712389	0.691851
0.714990	0.715513
0.726804	0.712862
