#Iter	Time	Change
0	0.02	1.205126e+03
1	0.01	5.778496e+02
2	0.02	3.908205e+02
3	0.02	3.278498e+02
4	0.02	2.763877e+02
5	0.01	2.531080e+02
6	0.02	2.306862e+02
7	0.02	2.144777e+02
8	0.02	1.966760e+02
9	0.02	1.816496e+02
10	0.02	1.660341e+02
11	0.01	1.524196e+02
12	0.02	1.388464e+02
13	0.02	1.269160e+02
14	0.02	1.153266e+02
15	0.02	1.051150e+02
16	0.02	9.534453e+01
17	0.02	8.672867e+01
18	0.02	7.856226e+01
19	0.02	7.136053e+01
20	0.02	6.457992e+01
21	0.01	5.860004e+01
22	0.02	5.299566e+01
23	0.02	4.805475e+01
24	0.02	4.343761e+01
25	0.02	3.937006e+01
26	0.01	3.557613e+01
27	0.02	3.223699e+01
28	0.02	2.912667e+01
29	0.02	2.639118e+01
30	0.01	2.384599e+01
31	0.01	2.160865e+01
32	0.02	1.952854e+01
33	0.02	1.770084e+01
34	0.02	1.600203e+01
35	0.02	1.451038e+01
36	0.01	1.312385e+01
37	0.02	1.190706e+01
38	0.02	1.077599e+01
39	0.02	9.783774e+00
40	0.02	8.861093e+00
41	0.01	8.052168e+00
42	0.02	7.299391e+00
43	0.02	6.639811e+00
44	0.02	6.025512e+00
45	0.02	5.487549e+00
46	0.01	4.985963e+00
47	0.02	4.547001e+00
48	0.02	4.137183e+00
49	0.02	3.778786e+00
50	0.02	3.443711e+00
51	0.02	3.150873e+00
52	0.02	2.876671e+00
53	0.02	2.637173e+00
54	0.02	2.412558e+00
55	0.02	2.216462e+00
56	0.02	2.032246e+00
57	0.02	1.871480e+00
58	0.02	1.720193e+00
59	0.01	1.588202e+00
60	0.02	1.463767e+00
61	0.02	1.355213e+00
62	0.02	1.252683e+00
63	0.02	1.163237e+00
64	0.02	1.078592e+00
65	0.02	1.004735e+00
66	0.02	9.347054e-01
67	0.02	8.735781e-01
68	0.02	8.155014e-01
69	0.01	7.647775e-01
70	0.02	7.164870e-01
71	0.01	6.742740e-01
72	0.02	6.340042e-01
73	0.01	5.987627e-01
74	0.01	5.650748e-01
75	0.02	5.355510e-01
76	0.02	5.072713e-01
77	0.01	4.824437e-01
78	0.01	4.586143e-01
79	0.01	4.376496e-01
80	0.01	4.174878e-01
81	0.01	3.997061e-01
82	0.01	3.825721e-01
83	0.01	3.674179e-01
84	0.01	3.527880e-01
85	0.01	3.398069e-01
86	0.01	3.272521e-01
87	0.02	3.160722e-01
88	0.02	3.052408e-01
89	0.01	2.955572e-01
90	0.02	2.861602e-01
91	0.01	2.777229e-01
92	0.02	2.695228e-01
93	0.02	2.621262e-01
94	0.02	2.549275e-01
95	0.02	2.484026e-01
96	0.02	2.420440e-01
97	0.02	2.362515e-01
98	0.02	2.306000e-01
99	0.02	2.254248e-01
100	0.02	2.203703e-01
101	0.02	2.157174e-01
102	0.02	2.111688e-01
103	0.02	2.069594e-01
104	0.02	2.028410e-01
105	0.02	1.990098e-01
106	0.02	1.952587e-01
107	0.01	1.917514e-01
108	0.02	1.883152e-01
109	0.02	1.850865e-01
110	0.02	1.819216e-01
111	0.01	1.789336e-01
112	0.02	1.760033e-01
113	0.02	1.732245e-01
114	0.02	1.704982e-01
115	0.02	1.679019e-01
116	0.02	1.653538e-01
117	0.02	1.629176e-01
118	0.02	1.605260e-01
119	0.02	1.582312e-01
120	0.02	1.559777e-01
121	0.01	1.538081e-01
122	0.02	1.516772e-01
123	0.02	1.496194e-01
124	0.01	1.475977e-01
125	0.01	1.456401e-01
126	0.02	1.437165e-01
127	0.01	1.418492e-01
128	0.02	1.400139e-01
129	0.02	1.382284e-01
130	0.01	1.364732e-01
131	0.01	1.347622e-01
132	0.02	1.330799e-01
133	0.02	1.314371e-01
134	0.02	1.298216e-01
135	0.02	1.282414e-01
136	0.02	1.266872e-01
137	0.02	1.251649e-01
138	0.02	1.236674e-01
139	0.02	1.221988e-01
140	0.02	1.207539e-01
141	0.02	1.193353e-01
142	0.02	1.179394e-01
143	0.02	1.165675e-01
144	0.02	1.152173e-01
145	0.02	1.138893e-01
146	0.02	1.125821e-01
147	0.02	1.112954e-01
148	0.02	1.100285e-01
149	0.02	1.087808e-01
150	0.02	1.075521e-01
151	0.02	1.063413e-01
152	0.02	1.051487e-01
153	0.02	1.039729e-01
154	0.02	1.028146e-01
155	0.02	1.016721e-01
156	0.02	1.005464e-01
157	0.02	9.943564e-02
158	0.02	9.834111e-02
159	0.02	9.726067e-02
160	0.02	9.619586e-02
161	0.02	9.514445e-02
162	0.02	9.410809e-02
163	0.02	9.308451e-02
164	0.02	9.207543e-02
165	0.02	9.107857e-02
166	0.02	9.009568e-02
167	0.02	8.912451e-02
168	0.02	8.816680e-02
169	0.02	8.722035e-02
170	0.02	8.628688e-02
171	0.02	8.536425e-02
172	0.01	8.445416e-02
173	0.01	8.355451e-02
174	0.01	8.266696e-02
175	0.01	8.178949e-02
176	0.02	8.092372e-02
177	0.02	8.006770e-02
178	0.01	7.922297e-02
179	0.01	7.838768e-02
180	0.02	7.756332e-02
181	0.01	7.674809e-02
182	0.02	7.594344e-02
183	0.02	7.514766e-02
184	0.02	7.436210e-02
185	0.02	7.358514e-02
186	0.01	7.281809e-02
187	0.02	7.205940e-02
188	0.02	7.131030e-02
189	0.02	7.056933e-02
190	0.02	6.983764e-02
191	0.02	6.911386e-02
192	0.02	6.839909e-02
193	0.02	6.769201e-02
194	0.02	6.699366e-02
195	0.02	6.630280e-02
196	0.02	6.562041e-02
197	0.02	6.494531e-02
198	0.02	6.427843e-02
199	0.02	6.361865e-02
200	0.02	6.296686e-02
201	0.02	6.232199e-02
202	0.01	6.168486e-02
203	0.02	6.105449e-02
204	0.02	6.043163e-02
205	0.02	5.981537e-02
206	0.02	5.920641e-02
207	0.02	5.860387e-02
208	0.02	5.800844e-02
209	0.02	5.741928e-02
210	0.02	5.683701e-02
211	0.02	5.626087e-02
212	0.02	5.569143e-02
213	0.02	5.512797e-02
214	0.02	5.457103e-02
215	0.02	5.401992e-02
216	0.02	5.347517e-02
217	0.02	5.293610e-02
218	0.02	5.240321e-02
219	0.02	5.187588e-02
220	0.02	5.135457e-02
221	0.01	5.083868e-02
222	0.02	5.032864e-02
223	0.02	4.982391e-02
224	0.01	4.932488e-02
225	0.01	4.883103e-02
226	0.01	4.834273e-02
227	0.01	4.785949e-02
228	0.01	4.738166e-02
229	0.01	4.690877e-02
230	0.01	4.644115e-02
231	0.01	4.597836e-02
232	0.01	4.552071e-02
233	0.01	4.506778e-02
234	0.01	4.461985e-02
235	0.01	4.417654e-02
236	0.01	4.373811e-02
237	0.01	4.330418e-02
238	0.01	4.287502e-02
239	0.01	4.245026e-02
240	0.01	4.203014e-02
241	0.01	4.161433e-02
242	0.02	4.120305e-02
243	0.01	4.079598e-02
244	0.01	4.039332e-02
245	0.01	3.999479e-02
246	0.02	3.960056e-02
247	0.02	3.921036e-02
248	0.02	3.882435e-02
249	0.02	3.844229e-02
250	0.02	3.806433e-02
251	0.01	3.769022e-02
252	0.01	3.732012e-02
253	0.02	3.695378e-02
254	0.02	3.659134e-02
255	0.01	3.623259e-02
256	0.02	3.587766e-02
257	0.02	3.552633e-02
258	0.01	3.517872e-02
259	0.01	3.483464e-02
260	0.01	3.449419e-02
261	0.01	3.415719e-02
262	0.02	3.382374e-02
263	0.01	3.349367e-02
264	0.01	3.316707e-02
265	0.01	3.284376e-02
266	0.01	3.252384e-02
267	0.02	3.220716e-02
268	0.02	3.189378e-02
269	0.02	3.158356e-02
270	0.01	3.127657e-02
271	0.01	3.097268e-02
272	0.02	3.067195e-02
273	0.02	3.037424e-02
274	0.02	3.007962e-02
275	0.02	2.978795e-02
276	0.02	2.949931e-02
277	0.01	2.921356e-02
278	0.02	2.893077e-02
279	0.02	2.865080e-02
280	0.02	2.837372e-02
281	0.01	2.809941e-02
282	0.02	2.782793e-02
283	0.02	2.755916e-02
284	0.01	2.729314e-02
285	0.01	2.702978e-02
286	0.02	2.676912e-02
287	0.02	2.651105e-02
288	0.02	2.625563e-02
289	0.02	2.600274e-02
290	0.01	2.575244e-02
291	0.01	2.550462e-02
292	0.02	2.525933e-02
293	0.02	2.501647e-02
294	0.02	2.477609e-02
295	0.02	2.453808e-02
296	0.02	2.430250e-02
297	0.02	2.406924e-02
298	0.02	2.383835e-02
299	0.02	2.360974e-02
300	0.02	2.338345e-02
301	0.02	2.315939e-02
302	0.02	2.293759e-02
303	0.02	2.271798e-02
304	0.02	2.250059e-02
305	0.02	2.228533e-02
306	0.02	2.207225e-02
307	0.02	2.186126e-02
308	0.02	2.165239e-02
309	0.02	2.144558e-02
310	0.02	2.124084e-02
311	0.02	2.103812e-02
312	0.02	2.083742e-02
313	0.02	2.063869e-02
314	0.02	2.044195e-02
315	0.02	2.024714e-02
316	0.02	2.005428e-02
317	0.02	1.986330e-02
318	0.02	1.967423e-02
319	0.02	1.948701e-02
320	0.02	1.930165e-02
321	0.01	1.911811e-02
322	0.02	1.893639e-02
323	0.02	1.875644e-02
324	0.02	1.857828e-02
325	0.02	1.840186e-02
326	0.02	1.822719e-02
327	0.02	1.805422e-02
328	0.02	1.788296e-02
329	0.02	1.771337e-02
330	0.02	1.754546e-02
331	0.01	1.737918e-02
332	0.02	1.721454e-02
333	0.02	1.705150e-02
334	0.02	1.689007e-02
335	0.02	1.673021e-02
336	0.02	1.657192e-02
337	0.01	1.641517e-02
338	0.01	1.625996e-02
339	0.02	1.610625e-02
340	0.02	1.595405e-02
341	0.01	1.580333e-02
342	0.02	1.565409e-02
343	0.02	1.550629e-02
344	0.02	1.535994e-02
345	0.02	1.521500e-02
346	0.02	1.507148e-02
