#EntrezID	Name	Score	Degree
3809	KIR2DS4	0.990099	3
7248	TSC1	0.990099	854
3146	HMGB1	0.990099	1527
7782	SLC30A4	0.990099	21
5218	CDK14	0.990099	299
55777	MBD5	0.990099	330
2100	ESR2	0.990099	1549
1859	DYRK1A	0.990099	523
2558	GABRA5	0.990099	569
5625	PRODH	0.990099	48
1806	DPYD	0.990099	463
161357	MDGA2	0.990099	27
4128	MAOA	0.990099	284
54842	MFSD6	0.990099	177
3953	LEPR	0.990099	676
5803	PTPRZ1	0.990099	54
221037	JMJD1C	0.990099	1405
2904	GRIN2B	0.990099	1266
7442	TRPV1	0.990099	26
57575	PCDH10	0.990099	79
6326	SCN2A	0.990099	128
1358	CPA2	0.990099	693
186	AGTR2	0.990099	220
4915	NTRK2	0.990099	1164
5579	PRKCB	0.990099	135
9555	H2AFY	0.990099	1334
6616	SNAP25	0.990099	649
7040	TGFB1	0.990099	1042
83943	IMMP2L	0.990099	6
5191	PEX7	0.990099	673
22854	NTNG1	0.990099	1092
57502	NLGN4X	0.990099	5
4478	MSN	0.990099	608
4481	MSR1	0.990099	304
5309	PITX3	0.990099	611
10922	FASTK	0.990099	909
26960	NBEA	0.990099	764
5054	SERPINE1	0.990099	594
3363	HTR7	0.990099	651
1081	CGA	0.990099	108
2895	GRID2	0.990099	124
1543	CYP1A1	0.990099	150
3280	HES1	0.990099	148
1816	DRD5	0.990099	1470
5071	PRKN	0.990099	394
56160	NSMCE3	0.990099	16
253980	KCTD13	0.990099	332
2915	GRM5	0.990099	369
9379	NRXN2	0.990099	792
23245	ASTN2	0.990099	139
54538	ROBO4	0.990099	440
64405	CDH22	0.990099	202
2571	GAD1	0.990099	378
161582	DNAAF4	0.990099	30
1977	EIF4E	0.990099	1863
4987	OPRL1	0.990099	1063
158	ADSL	0.990099	1914
5350	PLN	0.990099	98
4988	OPRM1	0.990099	873
1815	DRD4	0.990099	313
1589	CYP21A2	0.990099	137
114805	GALNT13	0.990099	30
2969	GTF2I	0.990099	574
2066	ERBB4	0.990099	1450
114793	FMNL2	0.990099	168
64324	NSD1	0.990099	212
113201	CASC4	0.990099	85
375612	LHFPL3	0.990099	4
6328	SCN3A	0.990099	21
3294	HSD17B2	0.990099	27
5739	PTGIR	0.990099	62
6447	SCG5	0.990099	100
5092	PCBD1	0.990099	408
3198	HOXA1	0.990099	34
7466	WFS1	0.990099	565
3211	HOXB1	0.990099	304
5604	MAP2K1	0.990099	1091
5805	PTS	0.990099	1238
93986	FOXP2	0.990099	28
1641	DCX	0.990099	545
3760	KCNJ3	0.990099	79
11069	RAPGEF4	0.990099	46
1610	DAO	0.990099	819
842	CASP9	0.990099	422
8828	NRP2	0.990099	1427
30010	NXPH1	0.990099	24
4929	NR4A2	0.990099	308
4282	MIF	0.990099	803
6608	SMO	0.990099	89
139411	PTCHD1	0.990099	34
1139	CHRNA7	0.990099	49
3791	KDR	0.990099	84
3352	HTR1D	0.990099	101
553	AVPR1B	0.990099	435
8479	HIRIP3	0.990099	229
135	ADORA2A	0.990099	22
3359	HTR3A	0.990099	1486
7102	TSPAN7	0.990099	164
226	ALDOA	0.990099	777
1509	CTSD	0.990099	587
2950	GSTP1	0.990099	554
57496	MKL2	0.990099	471
26280	IL1RAPL2	0.990099	317
54584	GNB1L	0.990099	214
5914	RARA	0.990099	307
9378	NRXN1	0.990099	1156
27185	DISC1	0.990099	657
765	CA6	0.990099	106
324	APC	0.990099	1124
3479	IGF1	0.990099	377
8218	CLTCL1	0.990099	11
3481	IGF2	0.990099	901
2354	FOSB	0.990099	62
202559	KHDRBS2	0.990099	157
7979	SEM1	0.990099	1129
6638	SNRPN	0.990099	202
3062	HCRTR2	0.990099	88
2170	FABP3	0.990099	244
116442	RAB39B	0.990099	3
2898	GRIK2	0.990099	516
1268	CNR1	0.990099	1299
85358	SHANK3	0.990099	65
79740	ZBBX	0.990099	9
6561	SLC13A1	0.990099	14
129684	CNTNAP5	0.990099	2
2903	GRIN2A	0.990099	933
6660	SOX5	0.990099	116
22798	LAMB4	0.990099	86
2565	GABRG1	0.990099	13
4804	NGFR	0.990099	96
7101	NR2E1	0.990099	204
2488	FSHB	0.990099	81
4783	NFIL3	0.990099	490
5444	PON1	0.990099	555
9869	SETDB1	0.990099	465
5605	MAP2K2	0.990099	1052
9732	DOCK4	0.990099	619
130940	CCDC148	0.990099	47
1795	DOCK3	0.990099	165
6804	STX1A	0.990099	220
51738	GHRL	0.990099	10
4010	LMX1B	0.990099	326
6532	SLC6A4	0.990099	427
6507	SLC1A3	0.990099	43
170302	ARX	0.990099	44
4548	MTR	0.990099	1057
1719	DHFR	0.990099	1263
51760	SYT17	0.990099	202
721	C4B	0.990099	16
29072	SETD2	0.990099	1157
3351	HTR1B	0.990099	162
2643	GCH1	0.990099	630
4803	NGF	0.990099	112
15	AANAT	0.990099	251
11254	SLC6A14	0.990099	30
27347	STK39	0.990099	682
23394	ADNP	0.990099	1871
1006	CDH8	0.990099	873
29123	ANKRD11	0.990099	241
2918	GRM8	0.990099	414
54556	ING3	0.990099	587
2644	GCHFR	0.990099	241
4544	MTNR1B	0.990099	152
4489	MT1A	0.990099	169
22941	SHANK2	0.990099	2881
23026	MYO16	0.990099	551
6470	SHMT1	0.990099	408
6196	RPS6KA2	0.990099	1306
1312	COMT	0.990099	853
23362	PSD3	0.990099	1208
361	AQP4	0.990099	20
18	ABAT	0.990099	332
3676	ITGA4	0.990099	59
23426	GRIP1	0.990099	98
3238	HOXD12	0.990099	627
9086	EIF1AY	0.990099	11
23345	SYNE1	0.990099	491
100	ADA	0.990099	94
3265	HRAS	0.990099	1233
7337	UBE3A	0.990099	1888
2308	FOXO1	0.990099	700
793	CALB1	0.990099	267
3350	HTR1A	0.990099	115
6755	SSTR5	0.990099	211
2131	EXT1	0.990099	437
4232	MEST	0.990099	101
5295	PIK3R1	0.990099	747
3239	HOXD13	0.990099	233
4520	MTF1	0.990099	267
3084	NRG1	0.990099	997
1804	DPP6	0.990099	855
2444	FRK	0.990099	2
3806	KIR2DS1	0.990099	29
627	BDNF	0.990099	201
275	AMT	0.990099	175
7422	VEGFA	0.990099	825
5443	POMC	0.990099	254
6529	SLC6A1	0.990099	186
5053	PAH	0.990099	61
7436	VLDLR	0.990099	490
5981	RFC1	0.990099	1044
4842	NOS1	0.990099	1708
7850	IL1R2	0.990099	32
7124	TNF	0.990099	19
4985	OPRD1	0.990099	171
147	ADRA1B	0.990099	32
10082	GPC6	0.990099	41
11281	POU6F2	0.990099	446
57492	ARID1B	0.990099	91
79813	EHMT1	0.990099	147
140733	MACROD2	0.990099	8
9568	GABBR2	0.990099	1180
23126	POGZ	0.990099	681
2550	GABBR1	0.990099	490
2350	FOLR2	0.990099	37
27044	SND1	0.990099	366
154	ADRB2	0.990099	15
284451	ODF3L2	0.990099	7
5864	RAB3A	0.990099	315
7328	UBE2H	0.990099	661
1008	CDH10	0.990099	451
7257	TSNAX	0.990099	1490
4763	NF1	0.990099	1274
2556	GABRA3	0.990099	59
114815	SORCS1	0.990099	203
527	ATP6V0C	0.990099	1299
181	AGRP	0.990099	90
2554	GABRA1	0.990099	631
57526	PCDH19	0.990099	61
816	CAMK2B	0.990099	2851
53615	MBD3	0.990099	651
9228	DLGAP2	0.990099	1037
54221	SNTG2	0.990099	160
55273	TMEM100	0.990099	19
4582	MUC1	0.990099	475
114548	NLRP3	0.990099	55
4692	NDN	0.990099	94
2272	FHIT	0.990099	13
3952	LEP	0.990099	74
23078	VWA8	0.990099	421
79648	MCPH1	0.990099	12
1740	DLG2	0.990099	130
836	CASP3	0.990099	616
4340	MOG	0.990099	337
5743	PTGS2	0.990099	203
2332	FMR1	0.990099	1993
552	AVPR1A	0.990099	852
57194	ATP10A	0.990099	118
9779	TBC1D5	0.990099	381
6899	TBX1	0.990099	956
4137	MAPT	0.990099	820
348	APOE	0.990099	393
3077	HFE	0.990099	1660
7982	ST7	0.990099	191
84445	LZTS2	0.990099	303
491	ATP2B2	0.990099	1704
6948	TCN2	0.990099	132
55502	HES6	0.990099	59
1583	CYP11A1	0.990099	350
7249	TSC2	0.990099	960
1750	DLX6	0.990099	45
64221	ROBO3	0.990099	29
5080	PAX6	0.990099	431
8912	CACNA1H	0.990099	843
8831	SYNGAP1	0.990099	277
22846	VASH1	0.990099	189
2572	GAD2	0.990099	1042
3106	HLA-B	0.990099	673
8448	DOC2A	0.990099	184
6342	SCP2	0.990099	1834
2020	EN2	0.990099	44
1584	CYP11B1	0.990099	43
22986	SORCS3	0.990099	84
207	AKT1	0.990099	800
22954	TRIM32	0.990099	313
5697	PYY	0.990099	729
231	AKR1B1	0.990099	335
55217	TMLHE	0.990099	26
317	APAF1	0.990099	277
6716	SRD5A2	0.990099	226
5894	RAF1	0.990099	325
3912	LAMB1	0.990099	612
9607	CARTPT	0.990099	49
4852	NPY	0.990099	561
5747	PTK2	0.990099	1321
3778	KCNMA1	0.990099	1273
81565	NDEL1	0.990099	616
4176	MCM7	0.990099	1836
6343	SCT	0.990099	151
22829	NLGN4Y	0.990099	13
83473	KATNAL2	0.990099	2
1565	CYP2D6	0.990099	1055
7433	VIPR1	0.990099	71
1301	COL11A1	0.990099	129
9013	TAF1C	0.990099	396
10458	BAIAP2	0.990099	1511
4543	MTNR1A	0.990099	5
3782	KCNN3	0.990099	393
23705	CADM1	0.990099	626
1454	CSNK1E	0.990099	1309
2847	MCHR1	0.990099	127
2334	AFF2	0.990099	1728
64711	HS3ST6	0.990099	24
4698	NDUFA5	0.990099	1206
200150	PLD5	0.990099	6
218	ALDH3A1	0.990099	37
1141	CHRNB2	0.990099	275
150	ADRA2A	0.990099	140
2876	GPX1	0.990099	422
5531	PPP4C	0.990099	696
4734	NEDD4	0.990099	373
205428	C3orf58	0.990099	37
7275	TUB	0.990099	1921
11329	STK38	0.990099	235
166614	DCLK2	0.990099	336
27086	FOXP1	0.990099	1149
8573	CASK	0.990099	928
4914	NTRK1	0.990099	203
29119	CTNNA3	0.990099	215
1545	CYP1B1	0.990099	341
4233	MET	0.990099	804
107	ADCY1	0.990099	2300
2567	GABRG3	0.990099	287
4843	NOS2	0.990099	65
2697	GJA1	0.990099	225
9915	ARNT2	0.990099	171
11141	IL1RAPL1	0.990099	339
26053	AUTS2	0.990099	447
57680	CHD8	0.990099	511
375790	AGRN	0.990099	1427
9370	ADIPOQ	0.990099	25
4887	NPY2R	0.990099	1182
3150	HMGN1	0.990099	1429
4139	MARK1	0.990099	349
9575	CLOCK	0.990099	352
5307	PITX1	0.990099	148
2555	GABRA2	0.990099	228
1800	DPEP1	0.990099	148
5595	MAPK3	0.990099	294
3082	HGF	0.990099	472
6000	RGS7	0.990099	428
7472	WNT2	0.990099	321
152330	CNTN4	0.990099	19
5799	PTPRN2	0.990099	329
6907	TBL1X	0.990099	451
3358	HTR2C	0.990099	684
4986	OPRK1	0.990099	454
6257	RXRB	0.990099	834
3237	HOXD11	0.990099	30
10814	CPLX2	0.990099	290
1586	CYP17A1	0.990099	580
5447	POR	0.990099	547
8128	ST8SIA2	0.990099	479
10165	SLC25A13	0.990099	510
79718	TBL1XR1	0.990099	1518
2560	GABRB1	0.990099	60
3927	LASP1	0.990099	598
51111	KMT5B	0.990099	1387
285195	SLC9A9	0.990099	31
90665	TBL1Y	0.990099	4
1814	DRD3	0.990099	77
80258	EFHC2	0.990099	436
2099	ESR1	0.990099	1653
3061	HCRTR1	0.990099	236
4552	MTRR	0.990099	1075
5618	PRLR	0.990099	1071
9344	TAOK2	0.990099	1130
26470	SEZ6L2	0.990099	530
4160	MC4R	0.990099	64
1745	DLX1	0.990099	16
412	STS	0.990099	320
5101	PCDH9	0.990099	586
1007	CDH9	0.990099	7
885	CCK	0.990099	58
5048	PAFAH1B1	0.990099	2651
8140	SLC7A5	0.990099	390
4889	NPY5R	0.990099	387
2559	GABRA6	0.990099	31
2321	FLT1	0.990099	456
4204	MECP2	0.990099	882
151531	UPP2	0.990099	4
7534	YWHAZ	0.990099	1549
5243	ABCB1	0.990099	49
114785	MBD6	0.990099	80
2346	FOLH1	0.990099	786
93664	CADPS2	0.990099	152
114880	OSBPL6	0.990099	47
5187	PER1	0.990099	428
4908	NTF3	0.990099	144
2944	GSTM1	0.990099	120
2173	FABP7	0.990099	441
9037	SEMA5A	0.990099	635
8864	PER2	0.990099	318
57628	DPP10	0.990099	6
6505	SLC1A1	0.990099	583
6531	SLC6A3	0.990099	114
7425	VGF	0.990099	518
2562	GABRB3	0.990099	335
115677	NOSTRIN	0.990099	3
23242	COBL	0.990099	185
6863	TAC1	0.990099	24
6573	SLC19A1	0.990099	1214
3751	KCND2	0.990099	75
23237	ARC	0.990099	139
706	TSPO	0.990099	732
40	ASIC2	0.990099	360
1746	DLX2	0.990099	219
10203	CALCRL	0.990099	50
3362	HTR6	0.990099	1569
4753	NELL2	0.990099	32
2925	GRPR	0.990099	605
4885	NPTX2	0.990099	70
1269	CNR2	0.990099	858
10418	SPON1	0.990099	398
9968	MED12	0.990099	614
4862	NPAS2	0.990099	1218
6134	RPL10	0.990099	614
9783	RIMS3	0.990099	382
1644	DDC	0.990099	85
57282	SLC4A10	0.990099	8
7529	YWHAB	0.990099	1393
4974	OMG	0.990099	408
2171	FABP5	0.990099	317
3628	INPP1	0.990099	175
254170	FBXO33	0.990099	330
9256	TSPOAP1	0.990099	60
4733	DRG1	0.990099	1564
6263	RYR3	0.990099	91
54806	AHI1	0.990099	426
3690	ITGB3	0.990099	604
50834	TAS2R1	0.990099	196
4524	MTHFR	0.990099	1162
10716	TBR1	0.990099	278
3810	KIR2DS5	0.990099	156
1020	CDK5	0.990099	782
6697	SPR	0.990099	180
2899	GRIK3	0.990099	985
54715	RBFOX1	0.990099	507
2917	GRM7	0.990099	950
2693	GHSR	0.990099	445
6530	SLC6A2	0.990099	2352
5860	QDPR	0.990099	362
4897	NRCAM	0.990099	865
4922	NTS	0.990099	11
4762	NEUROG1	0.990099	80
9360	PPIG	0.990099	989
84152	PPP1R1B	0.990099	7
79083	MLPH	0.990099	241
1133	CHRM5	0.990099	273
4208	MEF2C	0.990099	396
50944	SHANK1	0.990099	162
8913	CACNA1G	0.990099	2161
4916	NTRK3	0.990099	3284
7035	TFPI	0.990099	742
7319	UBE2A	0.990099	1733
65267	WNK3	0.990099	47
23314	SATB2	0.990099	646
221035	REEP3	0.990099	235
5368	PNOC	0.990099	24
1482	NKX2-5	0.990099	116
5916	RARG	0.990099	715
55624	POMGNT1	0.990099	163
1812	DRD1	0.990099	185
6256	RXRA	0.990099	821
8604	SLC25A12	0.990099	875
157680	VPS13B	0.990099	875
5290	PIK3CA	0.990099	1436
63979	FIGNL1	0.990099	713
145581	LRFN5	0.990099	60
2739	GLO1	0.990099	1647
6853	SYN1	0.990099	262
1588	CYP19A1	0.990099	120
22871	NLGN1	0.990099	121
596	BCL2	0.990099	724
6822	SULT2A1	0.990099	127
952	CD38	0.990099	6
476	ATP1A1	0.990099	448
875	CBS	0.990099	123
80034	CSRNP3	0.990099	26
3293	HSD17B3	0.990099	15
3123	HLA-DRB1	0.990099	93
4036	LRP2	0.990099	162
55227	LRRC1	0.990099	76
1760	DMPK	0.990099	516
3557	IL1RN	0.990099	330
9177	HTR3B	0.990099	218
23133	PHF8	0.990099	146
438	ASMT	0.990099	128
1717	DHCR7	0.990099	446
5175	PECAM1	0.990099	174
6462	SHBG	0.990099	247
5649	RELN	0.990099	171
5915	RARB	0.990099	1880
4983	OPHN1	0.990099	47
154664	ABCA13	0.990099	2
23554	TSPAN12	0.990099	26
23316	CUX2	0.990099	21
116987	AGAP1	0.990099	351
6715	SRD5A1	0.990099	350
3973	LHCGR	0.990099	47
25978	CHMP2B	0.990099	1709
3354	HTR1E	0.990099	255
3382	ICA1	0.990099	619
9990	SLC12A6	0.990099	200
3290	HSD11B1	0.990099	41
1959	EGR2	0.990099	45
2891	GRIA2	0.990099	231
4150	MAZ	0.990099	1496
7054	TH	0.990099	166
132	ADK	0.990099	1870
1137	CHRNA4	0.990099	1747
7299	TYR	0.990099	190
1499	CTNNB1	0.990099	101
8452	CUL3	0.990099	1476
3972	LHB	0.990099	137
53942	CNTN5	0.990099	10
55079	FEZF2	0.990099	126
9722	NOS1AP	0.990099	925
4129	MAOB	0.990099	131
54413	NLGN3	0.990099	285
5021	OXTR	0.990099	27
6535	SLC6A8	0.990099	953
4159	MC3R	0.990099	37
321	APBA2	0.990099	271
9456	HOMER1	0.990099	287
59286	UBL5	0.990099	1005
3361	HTR5A	0.990099	219
5294	PIK3CG	0.990099	17
3060	HCRT	0.990099	798
151126	ZNF385B	0.990099	2
51725	FBXO40	0.990099	458
3295	HSD17B4	0.990099	801
367	AR	0.990099	657
26958	COPG2	0.990099	32
4886	NPY1R	0.990099	45
