#EntrezID	Name	Score	Degree
5981	RFC1	1.000000	1043
3106	HLA-B	1.000000	672
6863	TAC1	1.000000	23
5805	PTS	1.000000	1237
8912	CACNA1H	1.000000	842
3150	HMGN1	1.000000	1428
4543	MTNR1A	1.000000	4
116987	AGAP1	1.000000	350
9783	RIMS3	1.000000	381
2917	GRM7	1.000000	949
8864	PER2	1.000000	317
2915	GRM5	1.000000	368
64711	HS3ST6	1.000000	23
3809	KIR2DS4	1.000000	2
8930	MBD4	1.000000	2150
816	CAMK2B	1.000000	2850
6608	SMO	1.000000	88
3295	HSD17B4	1.000000	800
7299	TYR	1.000000	189
1545	CYP1B1	1.000000	340
166614	DCLK2	1.000000	335
3358	HTR2C	1.000000	683
23245	ASTN2	1.000000	138
3294	HSD17B2	1.000000	26
8448	DOC2A	1.000000	183
4915	NTRK2	1.000000	1163
218	ALDH3A1	1.000000	36
5053	PAH	1.000000	60
4208	MEF2C	1.000000	395
2562	GABRB3	1.000000	334
4548	MTR	1.000000	1056
23554	TSPAN12	1.000000	25
7102	TSPAN7	1.000000	163
5743	PTGS2	1.000000	202
152330	CNTN4	1.000000	18
2350	FOLR2	1.000000	36
4176	MCM7	1.000000	1835
2950	GSTP1	1.000000	553
51738	GHRL	1.000000	9
121278	TPH2	1.000000	3
2557	GABRA4	1.000000	746
7425	VGF	1.000000	517
1588	CYP19A1	1.000000	119
3077	HFE	1.000000	1659
3972	LHB	1.000000	136
375790	AGRN	1.000000	1426
4159	MC3R	1.000000	36
83473	KATNAL2	1.000000	1
51725	FBXO40	1.000000	457
53615	MBD3	1.000000	650
552	AVPR1A	1.000000	851
6529	SLC6A1	1.000000	185
7249	TSC2	1.000000	959
9344	TAOK2	1.000000	1129
10922	FASTK	1.000000	908
4642	MYO1D	1.000000	61
2572	GAD2	1.000000	1041
54584	GNB1L	1.000000	213
1008	CDH10	1.000000	450
55502	HES6	1.000000	58
161582	DNAAF4	1.000000	29
10418	SPON1	1.000000	397
6470	SHMT1	1.000000	407
1859	DYRK1A	1.000000	522
11141	IL1RAPL1	1.000000	338
765	CA6	1.000000	105
4204	MECP2	1.000000	881
2697	GJA1	1.000000	224
151126	ZNF385B	1.000000	1
1950	EGF	1.000000	9
7328	UBE2H	1.000000	660
3778	KCNMA1	1.000000	1272
158	ADSL	1.000000	1913
114548	NLRP3	1.000000	54
3239	HOXD13	1.000000	232
7529	YWHAB	1.000000	1392
8604	SLC25A12	1.000000	874
5092	PCBD1	1.000000	407
1610	DAO	1.000000	818
