#DiseaseAUCs	BiologicalProcessAUCs
0.641502	0.711046
0.635207	0.738439
0.605921	0.696858
0.635663	0.666225
0.629733	0.666912
0.626311	0.659499
0.630919	0.613648
0.621613	0.685027
0.653636	0.678154
0.593650	0.639519
0.579737	0.694796
0.649895	0.658567
0.627133	0.715071
0.596342	0.689494
0.575039	0.675749
0.612581	0.650417
0.627497	0.701865
0.616093	0.668532
0.653408	0.704664
0.631284	0.654246
0.609570	0.688022
0.596113	0.657486
0.648572	0.658861
0.580923	0.698331
0.594927	0.741433
0.636849	0.744281
0.609023	0.640452
0.635800	0.698331
0.560396	0.646048
0.616915	0.723957
0.648299	0.753068
0.586762	0.706038
0.605465	0.620471
0.675851	0.644919
0.647112	0.697644
0.622617	0.694256
0.597984	0.629259
0.629277	0.683162
0.672430	0.658812
0.629550	0.672067
0.617416	0.697987
0.623711	0.675405
0.638035	0.692980
0.625217	0.722828
0.667914	0.693078
0.595429	0.668827
0.610711	0.652970
0.572439	0.713009
0.637533	0.672361
0.640909	0.701865
