#Iter	Time	Change
0	0.01	6.654121e+02
1	0.01	3.337086e+02
2	0.01	2.447321e+02
3	0.01	1.770771e+02
4	0.01	1.306481e+02
5	0.01	9.716572e+01
6	0.01	7.324771e+01
7	0.01	5.598341e+01
8	0.01	4.350332e+01
9	0.01	3.432322e+01
10	0.01	2.750544e+01
11	0.01	2.230834e+01
12	0.01	1.835763e+01
13	0.01	1.526203e+01
14	0.01	1.285548e+01
15	0.01	1.090846e+01
16	0.01	9.370811e+00
17	0.01	8.090485e+00
18	0.01	7.060630e+00
19	0.01	6.185797e+00
20	0.01	5.488100e+00
21	0.01	4.867401e+00
22	0.01	4.327379e+00
23	0.01	3.820226e+00
24	0.01	3.384157e+00
25	0.01	2.977200e+00
26	0.01	2.632325e+00
27	0.01	2.310759e+00
28	0.01	2.041845e+00
29	0.01	1.790158e+00
30	0.01	1.582484e+00
31	0.01	1.386681e+00
32	0.01	1.227391e+00
33	0.01	1.075549e+00
34	0.01	9.539578e-01
35	0.01	8.363104e-01
36	0.01	7.437749e-01
37	0.01	6.525496e-01
38	0.01	5.822744e-01
39	0.01	5.113898e-01
40	0.01	4.580986e-01
41	0.01	4.028408e-01
42	0.01	3.624686e-01
43	0.01	3.192092e-01
44	0.01	2.886443e-01
45	0.01	2.546028e-01
46	0.01	2.314732e-01
47	0.01	2.045246e-01
48	0.01	1.870275e-01
49	0.01	1.655501e-01
50	0.01	1.523179e-01
51	0.01	1.350742e-01
52	0.01	1.250710e-01
53	0.01	1.111167e-01
54	0.01	1.035581e-01
55	0.01	9.217146e-02
56	0.01	8.646392e-02
57	0.01	7.709246e-02
58	0.01	7.278699e-02
59	0.01	6.500670e-02
60	0.01	6.176347e-02
61	0.01	5.524805e-02
62	0.01	5.280984e-02
63	0.01	4.730726e-02
64	0.01	4.547928e-02
65	0.01	4.079407e-02
66	0.01	3.942874e-02
67	0.01	3.540857e-02
68	0.01	3.439400e-02
69	0.01	3.091954e-02
70	0.01	3.017085e-02
71	0.01	2.714803e-02
72	0.01	2.660078e-02
73	0.01	2.395496e-02
74	0.01	2.356018e-02
75	0.01	2.123172e-02
76	0.01	2.095220e-02
77	0.01	1.889307e-02
78	0.01	1.870048e-02
79	0.01	1.687171e-02
80	0.01	1.674447e-02
81	0.01	1.511416e-02
82	0.01	1.503583e-02
83	0.01	1.357765e-02
84	0.01	1.353573e-02
85	0.01	1.222774e-02
86	0.01	1.221268e-02
87	0.01	1.103649e-02
88	0.01	1.104101e-02
89	0.01	9.981050e-03
90	0.01	9.999619e-03
91	0.01	9.042608e-03
92	0.01	9.071011e-03
93	0.01	8.205542e-03
94	0.01	8.240584e-03
95	0.01	7.456792e-03
96	0.01	7.496054e-03
97	0.01	6.785354e-03
98	0.01	6.827013e-03
99	0.01	6.181894e-03
100	0.01	6.224587e-03
101	0.01	5.638440e-03
102	0.01	5.681157e-03
103	0.01	5.148143e-03
104	0.01	5.190144e-03
105	0.01	4.705084e-03
106	0.01	4.745839e-03
107	0.01	4.304123e-03
108	0.01	4.343259e-03
109	0.01	3.940770e-03
110	0.01	3.978039e-03
111	0.01	3.611091e-03
112	0.01	3.646338e-03
113	0.01	3.311623e-03
114	0.01	3.344764e-03
115	0.01	3.039308e-03
116	0.01	3.070314e-03
117	0.01	2.791437e-03
118	0.01	2.820318e-03
119	0.01	2.565604e-03
120	0.01	2.592400e-03
121	0.01	2.359664e-03
122	0.01	2.384438e-03
123	0.01	2.171707e-03
124	0.01	2.194536e-03
125	0.01	2.000021e-03
126	0.01	2.020994e-03
127	0.01	1.843074e-03
128	0.01	1.862285e-03
129	0.01	1.699491e-03
130	0.01	1.717040e-03
131	0.01	1.568038e-03
132	0.01	1.584023e-03
133	0.01	1.447603e-03
134	0.01	1.462125e-03
135	0.01	1.337185e-03
136	0.01	1.350341e-03
137	0.01	1.235881e-03
138	0.01	1.247768e-03
139	0.01	1.142878e-03
140	0.01	1.153587e-03
141	0.01	1.057438e-03
142	0.01	1.067057e-03
143	0.01	9.788968e-04
