#DiseaseAUCs	BiologicalProcessAUCs
0.648852	0.735221
0.634150	0.725082
0.653154	0.703314
0.657844	0.706649
0.669875	0.667588
0.692223	0.696116
0.630521	0.695765
0.644223	0.722844
0.685045	0.657757
0.654133	0.704762
0.695608	0.735396
0.609314	0.701602
0.671017	0.716612
0.682354	0.716875
0.632111	0.727584
0.680845	0.730129
0.628604	0.733816
0.644753	0.695940
0.646793	0.730612
0.654133	0.743077
0.583745	0.706912
0.658130	0.745271
0.669304	0.721878
0.672281	0.710775
0.675176	0.700154
0.668937	0.726531
0.627136	0.742857
0.604421	0.705727
0.642511	0.663287
0.708250	0.702085
0.662045	0.706079
0.667999	0.698793
0.653195	0.728374
0.642307	0.722625
0.659516	0.711477
0.686921	0.715953
0.626402	0.716392
0.693773	0.755585
0.672852	0.714461
0.640798	0.739127
0.658741	0.694185
0.652216	0.747948
0.679581	0.720474
0.676155	0.776081
0.652951	0.712969
0.614779	0.691113
0.640471	0.687031
0.661392	0.711170
0.600465	0.700154
0.597366	0.711170
