#DiseaseAUCs	BiologicalProcessAUCs
0.684062	0.716004
0.722425	0.765636
0.701213	0.798871
0.623711	0.759696
0.697245	0.757094
0.711112	0.700736
0.732734	0.771576
0.749339	0.796809
0.713803	0.717428
0.731913	0.733088
0.679226	0.789642
0.702810	0.819489
0.684746	0.797840
0.671745	0.791409
0.703084	0.783505
0.700210	0.711978
0.711660	0.765292
0.756774	0.806775
0.673616	0.738193
0.696196	0.807020
0.677402	0.750270
0.733327	0.718606
0.704908	0.764998
0.691360	0.782376
0.708923	0.741728
0.740945	0.794109
0.695375	0.772312
0.682876	0.788022
0.757413	0.753412
0.732734	0.766961
0.660889	0.778007
0.712937	0.792587
0.735699	0.764065
0.716176	0.772852
0.733510	0.747275
0.700620	0.761512
0.687392	0.707167
0.725983	0.744772
0.738391	0.743348
0.705729	0.754246
0.705912	0.853265
0.742496	0.771969
0.697701	0.796711
0.741310	0.824251
0.697975	0.789445
0.704042	0.781247
0.711979	0.821895
0.687985	0.814777
0.735517	0.763967
0.694006	0.754590
