#Iter	Time	Change
0	0.02	1.878101e+03
1	0.01	6.512149e+02
2	0.02	4.945453e+02
3	0.02	4.166797e+02
4	0.01	3.559089e+02
5	0.01	3.110922e+02
6	0.02	2.736160e+02
7	0.02	2.428991e+02
8	0.02	2.168057e+02
9	0.02	1.950785e+02
10	0.02	1.764162e+02
11	0.01	1.596944e+02
12	0.02	1.444480e+02
13	0.02	1.304960e+02
14	0.02	1.178009e+02
15	0.02	1.062164e+02
16	0.02	9.571025e+01
17	0.02	8.615560e+01
18	0.02	7.751276e+01
19	0.02	6.967967e+01
20	0.02	6.261055e+01
21	0.01	5.622120e+01
22	0.02	5.046695e+01
23	0.02	4.527665e+01
24	0.02	4.060916e+01
25	0.02	3.640694e+01
26	0.02	3.263228e+01
27	0.02	2.923911e+01
28	0.02	2.619402e+01
29	0.02	2.345996e+01
30	0.02	2.100821e+01
31	0.02	1.880893e+01
32	0.02	1.683793e+01
33	0.02	1.507116e+01
34	0.02	1.348855e+01
35	0.02	1.207071e+01
36	0.01	1.080115e+01
37	0.02	9.664268e+00
38	0.02	8.646585e+00
39	0.02	7.735557e+00
40	0.02	6.920243e+00
41	0.01	6.190564e+00
42	0.02	5.537665e+00
43	0.02	4.953455e+00
44	0.02	4.430793e+00
45	0.02	3.963187e+00
46	0.02	3.544888e+00
47	0.01	3.170693e+00
48	0.02	2.835982e+00
49	0.02	2.536585e+00
50	0.02	2.268795e+00
51	0.01	2.029271e+00
52	0.02	1.815042e+00
53	0.02	1.623433e+00
54	0.02	1.452062e+00
55	0.02	1.298789e+00
56	0.02	1.161707e+00
57	0.02	1.039103e+00
58	0.02	9.294506e-01
59	0.01	8.313791e-01
60	0.02	7.436669e-01
61	0.01	6.652178e-01
62	0.02	5.950545e-01
63	0.02	5.323001e-01
64	0.02	4.761727e-01
65	0.02	4.259711e-01
66	0.02	3.810700e-01
67	0.02	3.409084e-01
68	0.02	3.049861e-01
69	0.02	2.728548e-01
70	0.02	2.441143e-01
71	0.02	2.184060e-01
72	0.02	1.954099e-01
73	0.02	1.748392e-01
74	0.02	1.564381e-01
75	0.02	1.399770e-01
76	0.02	1.252516e-01
77	0.02	1.120781e-01
78	0.02	1.002931e-01
79	0.02	8.974977e-02
80	0.02	8.031723e-02
81	0.02	7.187811e-02
82	0.02	6.432774e-02
83	0.02	5.757224e-02
84	0.02	5.152788e-02
85	0.02	4.611957e-02
86	0.02	4.128034e-02
87	0.02	3.695011e-02
88	0.02	3.307530e-02
89	0.02	2.960786e-02
90	0.02	2.650493e-02
91	0.02	2.372805e-02
92	0.02	2.124293e-02
93	0.02	1.901882e-02
94	0.02	1.702826e-02
95	0.02	1.524665e-02
96	0.02	1.365202e-02
97	0.02	1.222468e-02
98	0.02	1.094706e-02
99	0.02	9.803396e-03
100	0.02	8.779618e-03
101	0.01	7.863110e-03
102	0.02	7.042617e-03
103	0.02	6.308039e-03
104	0.02	5.650366e-03
105	0.02	5.061511e-03
106	0.02	4.534262e-03
107	0.02	4.062145e-03
108	0.02	3.639385e-03
109	0.02	3.260798e-03
110	0.02	2.921759e-03
111	0.01	2.618118e-03
112	0.02	2.346172e-03
113	0.02	2.102596e-03
114	0.02	1.884423e-03
115	0.02	1.688991e-03
116	0.02	1.513925e-03
117	0.02	1.357090e-03
118	0.02	1.216583e-03
119	0.02	1.090695e-03
120	0.02	9.779019e-04
