#DiseaseAUCs	BiologicalProcessAUCs
0.725253	0.809377
0.711796	0.776829
0.698385	0.814531
0.727260	0.801964
0.698066	0.762199
0.675531	0.768139
0.712617	0.810015
0.731275	0.752970
0.698613	0.791654
0.694325	0.682965
0.712116	0.776485
0.686434	0.786500
0.702810	0.766470
0.692957	0.751399
0.702764	0.790476
0.714305	0.752479
0.723702	0.771281
0.691634	0.724791
0.724706	0.779578
0.724158	0.765145
0.718639	0.748355
0.729450	0.752970
0.699936	0.764310
0.696424	0.782572
0.707417	0.817771
0.738573	0.721453
0.715491	0.781198
0.728036	0.723859
0.693824	0.758321
0.733555	0.701031
0.661436	0.771576
0.665040	0.726068
0.668780	0.693569
0.708193	0.705547
0.743180	0.760383
0.684244	0.798085
0.681735	0.804664
0.648618	0.813991
0.707189	0.763328
0.645516	0.786549
0.728036	0.790182
0.716495	0.747914
0.730682	0.764359
0.720144	0.748405
0.708877	0.784782
0.720372	0.788954
0.701898	0.784192
0.711203	0.816298
0.724432	0.745508
0.714442	0.768189
