#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	UNION	Conflict?	Degree
3265	HRAS	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1232
26047	CNTNAP2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	726
3123	HLA-DRB1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	92
5290	PIK3CA	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1435
596	BCL2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	723
4478	MSN	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	607
3084	NRG1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	996
7040	TGFB1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1041
1499	CTNNB1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	100
3912	LAMB1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	611
816	CAMK2B	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	2850
5894	RAF1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	324
5728	PTEN	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	945
3082	HGF	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	471
4897	NRCAM	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	864
22871	NLGN1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	120
5604	MAP2K1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1090
1133	CHRM5	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	272
3479	IGF1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	376
3791	KDR	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	83
3105	HLA-A	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	494
324	APC	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1123
22854	NTNG1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1091
1950	EGF	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	9
7422	VEGFA	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	824
29119	CTNNA3	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	214
5605	MAP2K2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1051
207	AKT1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	799
2066	ERBB4	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1449
5649	RELN	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	170
9379	NRXN2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	791
5175	PECAM1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	173
3690	ITGB3	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	603
5747	PTK2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1320
54413	NLGN3	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	284
23705	CADM1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	625
5295	PIK3R1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	746
4233	MET	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	803
8573	CASK	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	927
3676	ITGA4	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	58
5579	PRKCB	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	134
1301	COL11A1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	128
3106	HLA-B	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	672
2321	FLT1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	455
57502	NLGN4X	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	4
9378	NRXN1	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1155
5294	PIK3CG	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	16
22798	LAMB4	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	85
5595	MAPK3	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	293
10458	BAIAP2	Positive	0.909091	Positive	0.909091	0.826446	0.909091	NO	1510
1496	CTNNA2	Unlabeled	0.617522	Positive	0.909091	0.561384	0.909091	NO	23
57689	LRRC4C	Unlabeled	0.567359	Positive	0.909091	0.515781	0.909091	NO	9
85358	SHANK3	Positive	0.909091	Unlabeled	0.565106	0.513733	0.909091	NO	64
57644	MYH7B	Unlabeled	0.550544	Positive	0.909091	0.500494	0.909091	NO	3
3681	ITGAD	Unlabeled	0.547156	Positive	0.909091	0.497415	0.909091	NO	18
5063	PAK3	Unlabeled	0.545618	Positive	0.909091	0.496016	0.909091	NO	114
4685	NCAM2	Unlabeled	0.539997	Positive	0.909091	0.490907	0.909091	NO	107
1132	CHRM4	Unlabeled	0.530770	Positive	0.909091	0.482518	0.909091	NO	27
53358	SHC3	Unlabeled	0.526882	Positive	0.909091	0.478983	0.909091	NO	258
57144	PAK5	Unlabeled	0.524719	Positive	0.909091	0.477018	0.909091	NO	217
5021	OXTR	Positive	0.909091	Unlabeled	0.524285	0.476623	0.909091	NO	26
6507	SLC1A3	Positive	0.909091	Unlabeled	0.522640	0.475128	0.909091	NO	42
8218	CLTCL1	Positive	0.909091	Unlabeled	0.516603	0.469640	0.909091	NO	10
1131	CHRM3	Unlabeled	0.511614	Positive	0.909091	0.465103	0.909091	NO	32
152330	CNTN4	Positive	0.909091	Unlabeled	0.511511	0.465010	0.909091	NO	18
1129	CHRM2	Unlabeled	0.508323	Positive	0.909091	0.462112	0.909091	NO	101
7448	VTN	Unlabeled	0.498741	Positive	0.909091	0.453400	0.909091	NO	41
1272	CNTN1	Unlabeled	0.498335	Positive	0.909091	0.453031	0.909091	NO	428
815	CAMK2A	Unlabeled	0.495916	Positive	0.909091	0.450833	0.909091	NO	1081
9542	NRG2	Unlabeled	0.495311	Positive	0.909091	0.450283	0.909091	NO	131
9369	NRXN3	Unlabeled	0.493960	Positive	0.909091	0.449054	0.909091	NO	815
9073	CLDN8	Unlabeled	0.493069	Positive	0.909091	0.448245	0.909091	NO	5
5521	PPP2R2B	Unlabeled	0.492672	Positive	0.909091	0.447884	0.909091	NO	788
6900	CNTN2	Unlabeled	0.492670	Positive	0.909091	0.447882	0.909091	NO	692
721	C4B	Positive	0.909091	Unlabeled	0.491921	0.447201	0.909091	NO	15
7124	TNF	Positive	0.909091	Unlabeled	0.491228	0.446571	0.909091	NO	18
5923	RASGRF1	Unlabeled	0.491092	Positive	0.909091	0.446447	0.909091	NO	1025
6447	SCG5	Positive	0.909091	Unlabeled	0.491083	0.446439	0.909091	NO	99
57863	CADM3	Unlabeled	0.490264	Positive	0.909091	0.445694	0.909091	NO	1009
7060	THBS4	Unlabeled	0.486060	Positive	0.909091	0.441872	0.909091	NO	126
8516	ITGA8	Unlabeled	0.485245	Positive	0.909091	0.441132	0.909091	NO	331
4626	MYH8	Unlabeled	0.484342	Positive	0.909091	0.440311	0.909091	NO	289
4684	NCAM1	Unlabeled	0.483423	Positive	0.909091	0.439476	0.909091	NO	1082
22989	MYH15	Unlabeled	0.483189	Positive	0.909091	0.439262	0.909091	NO	193
5602	MAPK10	Unlabeled	0.482676	Positive	0.909091	0.438797	0.909091	NO	785
348	APOE	Positive	0.909091	Unlabeled	0.482280	0.438436	0.909091	NO	392
2697	GJA1	Positive	0.909091	Unlabeled	0.482223	0.438385	0.909091	NO	224
4885	NPTX2	Positive	0.909091	Unlabeled	0.481597	0.437816	0.909091	NO	69
4633	MYL2	Unlabeled	0.481403	Positive	0.909091	0.437639	0.909091	NO	46
63923	TNN	Unlabeled	0.481211	Positive	0.909091	0.437464	0.909091	NO	124
9071	CLDN10	Unlabeled	0.479822	Positive	0.909091	0.436202	0.909091	NO	512
83660	TLN2	Unlabeled	0.479300	Positive	0.909091	0.435727	0.909091	NO	238
