#DiseaseAUCs	BiologicalProcessAUCs
0.660797	0.728031
0.626540	0.734315
0.630919	0.731959
0.608111	0.687678
0.642460	0.695091
0.615409	0.717231
0.634477	0.696416
0.633336	0.718017
0.653362	0.712420
0.647341	0.754688
0.674026	0.738881
0.690402	0.723515
0.591780	0.688218
0.633154	0.656112
0.664447	0.737064
0.677219	0.754786
0.620883	0.698576
0.643281	0.750515
0.601268	0.779872
0.577593	0.685076
0.604781	0.687089
0.637852	0.787923
0.659611	0.704418
0.614086	0.710604
0.664264	0.689347
0.661071	0.750908
0.625901	0.699951
0.645926	0.733628
0.646337	0.728228
0.638765	0.698675
0.608339	0.729799
0.588131	0.754148
0.608704	0.680952
0.617097	0.668679
0.625445	0.685272
0.672430	0.683407
0.638719	0.696367
0.664310	0.784536
0.631740	0.717575
0.615592	0.734315
0.605237	0.778154
0.679911	0.733824
0.604781	0.771232
0.649256	0.692145
0.612900	0.785371
0.621795	0.774374
0.636940	0.702651
0.654639	0.775650
0.627999	0.761757
0.635343	0.740403
