#EntrezID	Name	Score	Degree
6196	RPS6KA2	0.500000	1306
7257	TSNAX	0.500000	1490
5010	CLDN11	0.500000	70
1815	DRD4	0.500000	313
1399	CRKL	0.500000	773
940	CD28	0.500000	72
64101	LRRC4	0.500000	14
8394	PIP5K1A	0.500000	186
958	CD40	0.500000	105
1007	CDH9	0.500000	7
1496	CTNNA2	0.500000	24
23245	ASTN2	0.500000	139
1460	CSNK2B	0.500000	927
5062	PAK2	0.500000	1377
3676	ITGA4	0.500000	59
5916	RARG	0.500000	715
9087	TMSB4Y	0.500000	7
2572	GAD2	0.500000	1042
7456	WIPF1	0.500000	262
6237	RRAS	0.500000	396
50855	PARD6A	0.500000	212
10297	APC2	0.500000	1490
5908	RAP1B	0.500000	1114
23362	PSD3	0.500000	1208
1129	CHRM2	0.500000	102
7057	THBS1	0.500000	778
23114	NFASC	0.500000	983
5923	RASGRF1	0.500000	1026
57575	PCDH10	0.500000	79
5054	SERPINE1	0.500000	594
1141	CHRNB2	0.500000	275
5290	PIK3CA	0.500000	1436
3358	HTR2C	0.500000	684
476	ATP1A1	0.500000	448
3363	HTR7	0.500000	651
28964	GIT1	0.500000	439
5159	PDGFRB	0.500000	185
4489	MT1A	0.500000	169
170302	ARX	0.500000	44
93664	CADPS2	0.500000	152
2318	FLNC	0.500000	354
10082	GPC6	0.500000	41
4323	MMP14	0.500000	1125
6709	SPTAN1	0.500000	1115
3109	HLA-DMB	0.500000	87
8396	PIP4K2B	0.500000	896
9228	DLGAP2	0.500000	1037
2261	FGFR3	0.500000	1006
7782	SLC30A4	0.500000	21
2549	GAB1	0.500000	323
1132	CHRM4	0.500000	28
9037	SEMA5A	0.500000	635
6401	SELE	0.500000	7
1101	CHAD	0.500000	382
8913	CACNA1G	0.500000	2161
1583	CYP11A1	0.500000	350
3672	ITGA1	0.500000	12
10922	FASTK	0.500000	909
84445	LZTS2	0.500000	303
260425	MAGI3	0.500000	63
9074	CLDN6	0.500000	325
10788	IQGAP2	0.500000	119
5609	MAP2K7	0.500000	723
321	APBA2	0.500000	271
22800	RRAS2	0.500000	1022
6899	TBX1	0.500000	956
3913	LAMB2	0.500000	1051
6342	SCP2	0.500000	1834
1814	DRD3	0.500000	77
22871	NLGN1	0.500000	121
4627	MYH9	0.500000	391
2693	GHSR	0.500000	445
57863	CADM3	0.500000	1010
3479	IGF1	0.500000	377
2069	EREG	0.500000	36
3689	ITGB2	0.500000	166
5443	POMC	0.500000	254
2885	GRB2	0.500000	524
387	RHOA	0.500000	728
1509	CTSD	0.500000	587
2534	FYN	0.500000	705
375612	LHFPL3	0.500000	4
2899	GRIK3	0.500000	985
382	ARF6	0.500000	783
4684	NCAM1	0.500000	1083
7442	TRPV1	0.500000	26
3111	HLA-DOA	0.500000	1744
56034	PDGFC	0.500000	1096
54842	MFSD6	0.500000	177
65267	WNK3	0.500000	47
254170	FBXO33	0.500000	330
6531	SLC6A3	0.500000	114
3683	ITGAL	0.500000	31
114785	MBD6	0.500000	80
5058	PAK1	0.500000	95
1269	CNR2	0.500000	858
4609	MYC	0.500000	556
2915	GRM5	0.500000	369
22846	VASH1	0.500000	189
9344	TAOK2	0.500000	1130
3674	ITGA2B	0.500000	381
10000	AKT3	0.500000	1404
5071	PRKN	0.500000	394
7319	UBE2A	0.500000	1733
3952	LEP	0.500000	74
8831	SYNGAP1	0.500000	277
7059	THBS3	0.500000	252
23133	PHF8	0.500000	146
4208	MEF2C	0.500000	396
3915	LAMC1	0.500000	1622
1978	EIF4EBP1	0.500000	610
998	CDC42	0.500000	535
6696	SPP1	0.500000	39
3695	ITGB7	0.500000	32
10092	ARPC5	0.500000	1173
6505	SLC1A1	0.500000	583
1137	CHRNA4	0.500000	1747
1543	CYP1A1	0.500000	150
9138	ARHGEF1	0.500000	612
4301	AFDN	0.500000	313
79837	PIP4K2C	0.500000	101
1289	COL5A1	0.500000	600
3119	HLA-DQB1	0.500000	183
7423	VEGFB	0.500000	473
6863	TAC1	0.500000	24
7431	VIM	0.500000	628
55845	BRK1	0.500000	357
5583	PRKCH	0.500000	230
2904	GRIN2B	0.500000	1266
836	CASP3	0.500000	616
1803	DPP4	0.500000	34
7472	WNT2	0.500000	321
5590	PRKCZ	0.500000	413
9073	CLDN8	0.500000	6
10686	CLDN16	0.500000	3
2554	GABRA1	0.500000	631
2889	RAPGEF1	0.500000	197
5155	PDGFB	0.500000	1747
1002	CDH4	0.500000	1004
5581	PRKCE	0.500000	1154
5170	PDPK1	0.500000	559
4622	MYH4	0.500000	6
4128	MAOA	0.500000	284
55742	PARVA	0.500000	429
7430	EZR	0.500000	289
4159	MC3R	0.500000	37
2932	GSK3B	0.500000	482
5501	PPP1CC	0.500000	1710
1365	CLDN3	0.500000	105
4692	NDN	0.500000	94
145581	LRFN5	0.500000	60
1795	DOCK3	0.500000	165
3265	HRAS	0.500000	1233
81565	NDEL1	0.500000	616
4625	MYH7	0.500000	57
124565	SLC38A10	0.500000	559
10627	MYL12A	0.500000	121
57194	ATP10A	0.500000	118
4204	MECP2	0.500000	882
25759	SHC2	0.500000	223
40	ASIC2	0.500000	360
4624	MYH6	0.500000	4
5803	PTPRZ1	0.500000	54
6755	SSTR5	0.500000	211
26958	COPG2	0.500000	32
207	AKT1	0.500000	800
7448	VTN	0.500000	42
10787	NCKAP1	0.500000	911
4638	MYLK	0.500000	446
5191	PEX7	0.500000	673
9080	CLDN9	0.500000	664
2317	FLNB	0.500000	487
4010	LMX1B	0.500000	326
253980	KCTD13	0.500000	332
10418	SPON1	0.500000	398
27185	DISC1	0.500000	657
3972	LHB	0.500000	137
