#Iter	Time	Change
0	0.02	1.133916e+04
1	0.02	1.073969e+03
2	0.02	5.358053e+02
3	0.02	3.850483e+02
4	0.02	3.040270e+02
5	0.02	2.440406e+02
6	0.02	1.974432e+02
7	0.02	1.603442e+02
8	0.02	1.306070e+02
9	0.02	1.066361e+02
10	0.02	8.724119e+01
11	0.01	7.149819e+01
12	0.02	5.868483e+01
13	0.02	4.823122e+01
14	0.02	3.968516e+01
15	0.02	3.268592e+01
16	0.02	2.694444e+01
17	0.02	2.222820e+01
18	0.02	1.834942e+01
19	0.02	1.515605e+01
20	0.02	1.252455e+01
21	0.01	1.035433e+01
22	0.02	8.563294e+00
23	0.02	7.084305e+00
24	0.02	5.862358e+00
25	0.02	4.852325e+00
26	0.02	4.017130e+00
27	0.02	3.326275e+00
28	0.02	2.754649e+00
29	0.02	2.281556e+00
30	0.02	1.889926e+00
31	0.02	1.565672e+00
32	0.02	1.297158e+00
33	0.02	1.074772e+00
34	0.02	8.905677e-01
35	0.02	7.379732e-01
36	0.01	6.115532e-01
37	0.02	5.068100e-01
38	0.02	4.200208e-01
39	0.02	3.481042e-01
40	0.02	2.885086e-01
41	0.02	2.391210e-01
42	0.02	1.981914e-01
43	0.02	1.642702e-01
44	0.02	1.361567e-01
45	0.02	1.128559e-01
46	0.02	9.354357e-02
47	0.01	7.753674e-02
48	0.02	6.426943e-02
49	0.02	5.327264e-02
50	0.02	4.415770e-02
51	0.01	3.660251e-02
52	0.02	3.034010e-02
53	0.01	2.514923e-02
54	0.02	2.084653e-02
55	0.02	1.728001e-02
56	0.02	1.432370e-02
57	0.02	1.187319e-02
58	0.02	9.841928e-03
59	0.02	8.158187e-03
60	0.02	6.762506e-03
61	0.02	5.605600e-03
62	0.02	4.646619e-03
63	0.02	3.851698e-03
64	0.02	3.192771e-03
65	0.02	2.646571e-03
66	0.02	2.193813e-03
67	0.02	1.818511e-03
68	0.02	1.507413e-03
69	0.02	1.249536e-03
70	0.02	1.035775e-03
71	0.02	8.585827e-04
