#EntrezID	Name	Score	Degree
5617	PRL	0.090909	528
2346	FOLH1	0.090909	786
22986	SORCS3	0.090909	84
2321	FLT1	0.090909	456
9037	SEMA5A	0.090909	635
79813	EHMT1	0.090909	147
3237	HOXD11	0.090909	30
5218	CDK14	0.090909	299
4987	OPRL1	0.090909	1063
57575	PCDH10	0.090909	79
4803	NGF	0.090909	112
6616	SNAP25	0.090909	649
3809	KIR2DS4	0.090909	3
4159	MC3R	0.090909	37
10814	CPLX2	0.090909	290
154	ADRB2	0.090909	15
8140	SLC7A5	0.090909	390
6507	SLC1A3	0.090909	43
1806	DPYD	0.090909	463
6383	SDC2	0.090909	456
7328	UBE2H	0.090909	661
150	ADRA2A	0.090909	140
50834	TAS2R1	0.090909	196
10922	FASTK	0.090909	909
2558	GABRA5	0.090909	569
6822	SULT2A1	0.090909	127
1800	DPEP1	0.090909	148
3813	KIR3DS1	0.090909	23
57680	CHD8	0.090909	511
221035	REEP3	0.090909	235
9456	HOMER1	0.090909	287
5605	MAP2K2	0.090909	1052
7433	VIPR1	0.090909	71
157680	VPS13B	0.090909	875
4922	NTS	0.090909	11
412	STS	0.090909	320
100	ADA	0.090909	94
10203	CALCRL	0.090909	50
121278	TPH2	0.090909	4
5625	PRODH	0.090909	48
2739	GLO1	0.090909	1647
4128	MAOA	0.090909	284
2020	EN2	0.090909	44
1008	CDH10	0.090909	451
186	AGTR2	0.090909	220
4152	MBD1	0.090909	419
1583	CYP11A1	0.090909	350
324	APC	0.090909	1124
2904	GRIN2B	0.090909	1266
5743	PTGS2	0.090909	203
952	CD38	0.090909	6
2170	FABP3	0.090909	244
4489	MT1A	0.090909	169
6134	RPL10	0.090909	614
4983	OPHN1	0.090909	47
5864	RAB3A	0.090909	315
2944	GSTM1	0.090909	120
1020	CDK5	0.090909	782
1750	DLX6	0.090909	45
6343	SCT	0.090909	151
129684	CNTNAP5	0.090909	2
2350	FOLR2	0.090909	37
7299	TYR	0.090909	190
54715	RBFOX1	0.090909	507
54413	NLGN3	0.090909	285
4897	NRCAM	0.090909	865
7249	TSC2	0.090909	960
207	AKT1	0.090909	800
6899	TBX1	0.090909	956
116442	RAB39B	0.090909	3
1813	DRD2	0.090909	2169
83943	IMMP2L	0.090909	6
11281	POU6F2	0.090909	446
1482	NKX2-5	0.090909	116
1509	CTSD	0.090909	587
23245	ASTN2	0.090909	139
875	CBS	0.090909	123
9379	NRXN2	0.090909	792
2332	FMR1	0.090909	1993
10418	SPON1	0.090909	398
154664	ABCA13	0.090909	2
4129	MAOB	0.090909	131
7979	SEM1	0.090909	1129
4974	OMG	0.090909	408
778	CACNA1F	0.090909	850
3481	IGF2	0.090909	901
57502	NLGN4X	0.090909	5
79648	MCPH1	0.090909	12
6470	SHMT1	0.090909	408
22941	SHANK2	0.090909	2881
2066	ERBB4	0.090909	1450
6447	SCG5	0.090909	100
4852	NPY	0.090909	561
3290	HSD11B1	0.090909	41
7529	YWHAB	0.090909	1393
3150	HMGN1	0.090909	1429
107	ADCY1	0.090909	2300
3060	HCRT	0.090909	798
3295	HSD17B4	0.090909	801
9783	RIMS3	0.090909	382
5860	QDPR	0.090909	362
65267	WNK3	0.090909	47
2354	FOSB	0.090909	62
26960	NBEA	0.090909	764
5175	PECAM1	0.090909	174
5649	RELN	0.090909	171
226	ALDOA	0.090909	777
6715	SRD5A1	0.090909	350
124565	SLC38A10	0.090909	559
5101	PCDH9	0.090909	586
836	CASP3	0.090909	616
5071	PRKN	0.090909	394
22954	TRIM32	0.090909	313
7534	YWHAZ	0.090909	1549
5020	OXT	0.090909	235
3791	KDR	0.090909	84
18	ABAT	0.090909	332
6853	SYN1	0.090909	262
29072	SETD2	0.090909	1157
3265	HRAS	0.090909	1233
54221	SNTG2	0.090909	160
166614	DCLK2	0.090909	336
5981	RFC1	0.090909	1044
2903	GRIN2A	0.090909	933
2950	GSTP1	0.090909	554
7436	VLDLR	0.090909	490
253980	KCTD13	0.090909	332
7124	TNF	0.090909	19
1740	DLG2	0.090909	130
29123	ANKRD11	0.090909	241
26047	CNTNAP2	0.090909	727
9968	MED12	0.090909	614
1301	COL11A1	0.090909	129
1717	DHCR7	0.090909	446
1586	CYP17A1	0.090909	580
40	ASIC2	0.090909	360
1950	EGF	0.090909	10
4915	NTRK2	0.090909	1164
4036	LRP2	0.090909	162
2571	GAD1	0.090909	378
1584	CYP11B1	0.090909	43
151531	UPP2	0.090909	4
1816	DRD5	0.090909	1470
7054	TH	0.090909	166
132	ADK	0.090909	1870
1358	CPA2	0.090909	693
7257	TSNAX	0.090909	1490
491	ATP2B2	0.090909	1704
152330	CNTN4	0.090909	19
114785	MBD6	0.090909	80
2171	FABP5	0.090909	317
7102	TSPAN7	0.090909	164
51738	GHRL	0.090909	10
80034	CSRNP3	0.090909	26
7466	WFS1	0.090909	565
9915	ARNT2	0.090909	171
4139	MARK1	0.090909	349
55079	FEZF2	0.090909	126
6196	RPS6KA2	0.090909	1306
2847	MCHR1	0.090909	127
93664	CADPS2	0.090909	152
3146	HMGB1	0.090909	1527
135	ADORA2A	0.090909	22
151126	ZNF385B	0.090909	2
3198	HOXA1	0.090909	34
7782	SLC30A4	0.090909	21
4481	MSR1	0.090909	304
5805	PTS	0.090909	1238
9378	NRXN1	0.090909	1156
3239	HOXD13	0.090909	233
3972	LHB	0.090909	137
3084	NRG1	0.090909	997
6532	SLC6A4	0.090909	427
5243	ABCB1	0.090909	49
6660	SOX5	0.090909	116
114815	SORCS1	0.090909	203
5309	PITX3	0.090909	611
8452	CUL3	0.090909	1476
9779	TBC1D5	0.090909	381
1812	DRD1	0.090909	185
1141	CHRNB2	0.090909	275
4887	NPY2R	0.090909	1182
4543	MTNR1A	0.090909	5
10458	BAIAP2	0.090909	1511
51760	SYT17	0.090909	202
1859	DYRK1A	0.090909	523
5595	MAPK3	0.090909	294
2643	GCH1	0.090909	630
1139	CHRNA7	0.090909	49
4734	NEDD4	0.090909	373
1269	CNR2	0.090909	858
5916	RARG	0.090909	715
2895	GRID2	0.090909	124
4642	MYO1D	0.090909	62
7442	TRPV1	0.090909	26
3676	ITGA4	0.090909	59
130940	CCDC148	0.090909	47
3973	LHCGR	0.090909	47
3382	ICA1	0.090909	619
81565	NDEL1	0.090909	616
2892	GRIA3	0.090909	492
10165	SLC25A13	0.090909	510
22798	LAMB4	0.090909	86
51725	FBXO40	0.090909	458
3061	HCRTR1	0.090909	236
9732	DOCK4	0.090909	619
4885	NPTX2	0.090909	70
3912	LAMB1	0.090909	612
57691	KIAA1586	0.090909	49
64221	ROBO3	0.090909	29
3782	KCNN3	0.090909	393
5092	PCBD1	0.090909	408
2898	GRIK2	0.090909	516
4582	MUC1	0.090909	475
1081	CGA	0.090909	108
367	AR	0.090909	657
170302	ARX	0.090909	44
3361	HTR5A	0.090909	219
4282	MIF	0.090909	803
1565	CYP2D6	0.090909	1055
5048	PAFAH1B1	0.090909	2651
7157	TP53	0.090909	437
181	AGRP	0.090909	90
7472	WNT2	0.090909	321
113201	CASC4	0.090909	85
2925	GRPR	0.090909	605
53942	CNTN5	0.090909	10
6328	SCN3A	0.090909	21
553	AVPR1B	0.090909	435
5747	PTK2	0.090909	1321
7248	TSC1	0.090909	854
23316	CUX2	0.090909	21
3358	HTR2C	0.090909	684
1499	CTNNB1	0.090909	101
6608	SMO	0.090909	89
84445	LZTS2	0.090909	303
5080	PAX6	0.090909	431
64711	HS3ST6	0.090909	24
2565	GABRG1	0.090909	13
1621	DBH	0.090909	353
84152	PPP1R1B	0.090909	7
57492	ARID1B	0.090909	91
55624	POMGNT1	0.090909	163
5053	PAH	0.090909	61
55217	TMLHE	0.090909	26
55273	TMEM100	0.090909	19
3927	LASP1	0.090909	598
3760	KCNJ3	0.090909	79
9990	SLC12A6	0.090909	200
6697	SPR	0.090909	180
284451	ODF3L2	0.090909	7
4916	NTRK3	0.090909	3284
5368	PNOC	0.090909	24
6531	SLC6A3	0.090909	114
2876	GPX1	0.090909	422
3062	HCRTR2	0.090909	88
8828	NRP2	0.090909	1427
721	C4B	0.090909	16
4150	MAZ	0.090909	1496
115677	NOSTRIN	0.090909	3
