#Iter	Time	Change
0	0.02	1.131569e+04
1	0.01	1.069473e+03
2	0.02	5.299909e+02
3	0.02	3.807637e+02
4	0.02	3.003604e+02
5	0.01	2.414226e+02
6	0.02	1.957213e+02
7	0.02	1.593889e+02
8	0.02	1.302393e+02
9	0.02	1.066967e+02
10	0.02	8.759452e+01
11	0.01	7.203706e+01
12	0.02	5.932801e+01
13	0.02	4.891958e+01
14	0.02	4.037733e+01
15	0.02	3.335430e+01
16	0.02	2.757180e+01
17	0.02	2.280483e+01
18	0.02	1.887102e+01
19	0.02	1.562196e+01
20	0.02	1.293655e+01
21	0.01	1.071567e+01
22	0.02	8.878079e+00
23	0.02	7.356988e+00
24	0.02	6.097458e+00
25	0.02	5.054214e+00
26	0.02	4.189914e+00
27	0.02	3.473723e+00
28	0.02	2.880165e+00
29	0.02	2.388174e+00
30	0.02	1.980326e+00
31	0.02	1.642199e+00
32	0.02	1.361852e+00
33	0.02	1.129397e+00
34	0.02	9.366422e-01
35	0.02	7.768005e-01
36	0.02	6.442470e-01
37	0.02	5.343198e-01
38	0.02	4.431544e-01
39	0.02	3.675470e-01
40	0.02	3.048415e-01
41	0.01	2.528356e-01
42	0.02	2.097030e-01
43	0.02	1.739293e-01
44	0.02	1.442589e-01
45	0.02	1.196504e-01
46	0.02	9.923990e-02
47	0.01	8.231131e-02
48	0.02	6.827057e-02
49	0.02	5.662499e-02
50	0.02	4.696597e-02
51	0.01	3.895461e-02
52	0.02	3.230984e-02
53	0.02	2.679853e-02
54	0.02	2.222734e-02
55	0.02	1.843589e-02
56	0.02	1.529118e-02
57	0.02	1.268288e-02
58	0.02	1.051950e-02
59	0.02	8.725136e-03
60	0.02	7.236849e-03
61	0.02	6.002426e-03
62	0.02	4.978565e-03
63	0.02	4.129350e-03
64	0.02	3.424988e-03
65	0.02	2.840774e-03
66	0.02	2.356211e-03
67	0.02	1.954302e-03
68	0.02	1.620949e-03
69	0.02	1.344457e-03
70	0.02	1.115127e-03
71	0.02	9.249155e-04
