#DiseaseAUCs	BiologicalProcessAUCs
0.633131	0.672723
0.612455	0.740443
0.611190	0.714198
0.584642	0.717490
0.626239	0.691069
0.616839	0.752293
0.630582	0.721088
0.678072	0.714066
0.606949	0.716085
0.600648	0.679526
0.576710	0.732631
0.584397	0.728944
0.574977	0.672372
0.599323	0.702699
0.624281	0.710116
0.573753	0.689708
0.649566	0.727321
0.584764	0.702524
0.589780	0.720386
0.590514	0.733377
0.570858	0.696423
0.589454	0.685627
0.603320	0.719860
0.641858	0.709897
0.671710	0.728681
0.656988	0.703050
0.603564	0.737678
0.616451	0.735572
0.600098	0.726882
0.657151	0.656967
0.571102	0.772877
0.590453	0.695282
0.636556	0.723897
0.551119	0.752557
0.631173	0.729647
0.568696	0.698047
0.644794	0.720781
0.601179	0.690542
0.612312	0.678692
0.593858	0.714461
0.647200	0.675357
0.610660	0.749002
0.619469	0.734431
0.664043	0.684134
0.630847	0.723853
0.632519	0.656660
0.619551	0.682072
0.570735	0.706737
0.622895	0.705420
0.637087	0.718104
