#DiseaseAUCs	BiologicalProcessAUCs
0.695282	0.674786
0.606337	0.726355
0.678928	0.659732
0.667877	0.693395
0.671751	0.648146
0.589984	0.712135
0.691407	0.714812
0.663472	0.713232
0.664614	0.726136
0.633253	0.705113
0.712899	0.740663
0.668244	0.720825
0.648505	0.734869
0.655928	0.731534
0.671221	0.709809
0.660536	0.682993
0.668978	0.687119
0.640675	0.740794
0.602586	0.772833
0.647160	0.704542
0.695730	0.763221
0.659761	0.671451
0.644835	0.710380
0.689124	0.695150
0.692590	0.726969
0.626361	0.663770
0.613800	0.732368
0.676074	0.703006
0.629705	0.694711
0.682639	0.686285
0.688471	0.757472
0.708454	0.642352
0.633008	0.714154
0.686228	0.750230
0.634640	0.676410
0.661759	0.701865
0.695078	0.733684
0.661882	0.717095
0.636393	0.710511
0.652461	0.742813
0.679907	0.724643
0.670038	0.731446
0.668488	0.699320
0.706660	0.700636
0.650626	0.688304
0.679255	0.678912
0.609274	0.733860
0.637617	0.715471
0.689287	0.691288
0.688104	0.723327
