#DiseaseAUCs	BiologicalProcessAUCs
0.641940	0.771253
0.624200	0.743428
0.642225	0.782269
0.659394	0.725214
0.633172	0.760149
0.615676	0.748563
0.644346	0.781084
0.602055	0.751459
0.629501	0.683169
0.670772	0.768181
0.637209	0.743998
0.630358	0.767347
0.683373	0.706166
0.615146	0.628264
0.642796	0.725916
0.631173	0.695721
0.641980	0.673601
0.613637	0.751415
0.620570	0.771824
0.663676	0.693526
0.602259	0.754312
0.661433	0.674962
0.701113	0.694053
0.628930	0.771648
0.634395	0.678341
0.650871	0.672811
0.661474	0.787448
0.683333	0.757735
0.646303	0.724073
0.640308	0.712706
0.623466	0.722098
0.636026	0.710336
0.660658	0.664999
0.633294	0.762519
0.632845	0.771824
0.574528	0.795611
0.634477	0.719860
0.649973	0.746983
0.624281	0.741760
0.580400	0.722317
0.614575	0.674654
0.642837	0.741014
0.677827	0.708536
0.633539	0.771648
0.662453	0.714812
0.629746	0.773755
0.687003	0.704718
0.668284	0.782796
0.645324	0.697828
0.653644	0.719113
