#EntrezID	Name	Score	Degree
9075	CLDN2	0.920276	2
4624	MYH6	0.905436	4
91807	MYLK3	0.897078	4
245932	DEFB119	0.897077	3
90246	LOC90246	0.897077	2
4621	MYH3	0.883366	3
85477	SCIN	0.881791	3
29126	CD274	0.878871	3
1950	EGF	0.876981	10
57502	NLGN4X	0.856555	5
255631	COL24A1	0.854554	4
57644	MYH7B	0.854042	4
10686	CLDN16	0.848838	3
64098	PARVG	0.833399	11
85366	MYLK2	0.833341	5
89846	FGD3	0.829861	5
57689	LRRC4C	0.826469	10
137075	CLDN23	0.823683	8
3672	ITGA1	0.819764	12
9073	CLDN8	0.817108	6
4622	MYH4	0.815327	6
6401	SELE	0.811434	7
3071	NCKAP1L	0.810785	28
100506658	OCLN	0.810380	5
10718	NRG3	0.803787	9
1128	CHRM1	0.803106	9
9087	TMSB4Y	0.802437	7
5294	PIK3CG	0.796618	17
29851	ICOS	0.796512	11
374	AREG	0.791305	23
2277	VEGFD	0.790990	19
6402	SELL	0.790796	37
3109	HLA-DMB	0.787175	87
80380	PDCD1LG2	0.786284	27
3115	HLA-DPB1	0.782623	72
3683	ITGAL	0.782118	31
92359	CRB3	0.779797	11
55844	PPP2R2D	0.779196	6
84552	PARD6G	0.778847	16
24146	CLDN15	0.776481	9
3681	ITGAD	0.776084	19
3689	ITGB2	0.774015	166
3381	IBSP	0.773809	11
914	CD2	0.773179	47
3122	HLA-DRA	0.771347	179
3791	KDR	0.770154	84
1003	CDH5	0.770154	62
1493	CTLA4	0.770131	17
5159	PDGFRB	0.769326	185
1293	COL6A3	0.769136	131
3957	LGALS2	0.769104	2
3125	HLA-DRB3	0.769104	111
2191	FAP	0.768827	111
1132	CHRM4	0.767986	28
23562	CLDN14	0.767663	37
942	CD86	0.767594	127
7450	VWF	0.767127	70
3059	HCLS1	0.766694	99
2069	EREG	0.764785	36
3127	HLA-DRB5	0.764506	94
1496	CTNNA2	0.764460	24
10319	LAMC3	0.764352	80
7122	CLDN5	0.763379	37
3123	HLA-DRB1	0.762067	93
7060	THBS4	0.761623	127
2324	FLT4	0.760848	92
3694	ITGB6	0.759481	108
7058	THBS2	0.758939	159
7412	VCAM1	0.758776	104
3117	HLA-DQA1	0.757691	134
6696	SPP1	0.757364	39
1131	CHRM3	0.756812	33
64101	LRRC4	0.756088	14
4318	MMP9	0.755613	124
5336	PLCG2	0.755119	78
925	CD8A	0.754630	23
926	CD8B	0.753359	84
1001	CDH3	0.752544	169
3119	HLA-DQB1	0.752509	183
90952	ESAM	0.752406	49
8735	MYH13	0.752348	102
624	BDKRB2	0.751940	21
1366	CLDN7	0.751817	94
10666	CD226	0.751801	16
5175	PECAM1	0.751493	174
29895	MYLPF	0.751092	68
4685	NCAM2	0.751056	108
623	BDKRB1	0.750980	56
947	CD34	0.750857	335
3371	TNC	0.750379	352
3695	ITGB7	0.750187	32
1129	CHRM2	0.750074	102
7448	VTN	0.749782	42
929	CD14	0.749517	127
1803	DPP4	0.748558	34
22801	ITGA11	0.748071	40
1278	COL1A2	0.748054	410
1281	COL3A1	0.747322	395
84628	NTNG2	0.747292	37
1290	COL5A2	0.746669	314
23624	CBLC	0.745977	103
50509	COL5A3	0.745916	171
3126	HLA-DRB4	0.745788	86
1301	COL11A1	0.745750	129
1311	COMP	0.745468	44
3909	LAMA3	0.744952	190
53358	SHC3	0.744837	259
9564	BCAR1	0.744639	107
3108	HLA-DMA	0.744403	172
22871	NLGN1	0.743555	121
10398	MYL9	0.743539	280
3082	HGF	0.743372	472
8506	CNTNAP1	0.743328	217
959	CD40LG	0.743283	29
4359	MPZ	0.743275	76
84612	PARD6B	0.742848	99
4222	MEOX1	0.742503	2
3908	LAMA2	0.742503	343
9644	SH3PXD2A	0.742386	266
5063	PAK3	0.742161	115
22808	MRAS	0.741969	44
1277	COL1A1	0.741687	783
3120	HLA-DQB2	0.741496	4
149461	CLDN19	0.740915	51
3914	LAMB3	0.740440	303
7424	VEGFC	0.740241	340
2321	FLT1	0.740105	456
4313	MMP2	0.739944	710
1289	COL5A1	0.739828	600
2335	FN1	0.739689	484
3113	HLA-DPA1	0.739574	204
83700	JAM3	0.739436	120
5788	PTPRC	0.739364	152
7409	VAV1	0.738430	59
859	CAV3	0.737608	172
2264	FGFR4	0.737582	389
1435	CSF1	0.737454	790
6693	SPN	0.737401	338
9076	CLDN1	0.737283	127
65061	CDK15	0.736958	2
8516	ITGA8	0.736958	332
815	CAMK2A	0.736904	1082
9369	NRXN3	0.736850	816
1101	CHAD	0.736721	382
5923	RASGRF1	0.736633	1026
55742	PARVA	0.736626	429
253935	ANGPTL5	0.736535	4
1282	COL4A1	0.736517	642
5521	PPP2R2B	0.736471	789
85293	KRTAP3-3	0.736464	2
3266	ERAS	0.736371	3
340273	ABCB5	0.736320	3
3674	ITGA2B	0.736256	381
131368	ZPLD1	0.736227	2
23114	NFASC	0.736165	983
58494	JAM2	0.736161	120
3679	ITGA7	0.735995	468
50855	PARD6A	0.735841	212
1291	COL6A1	0.735822	1329
2036	EPB41L1	0.735795	464
80310	PDGFD	0.735760	117
9378	NRXN1	0.735678	1156
3996	LLGL1	0.735517	546
1002	CDH4	0.735453	1004
5582	PRKCG	0.735337	984
55799	CACNA2D3	0.735335	2
5579	PRKCB	0.735335	135
9071	CLDN10	0.735212	513
29119	CTNNA3	0.735061	215
10345	TRDN	0.735035	2
88	ACTN2	0.735035	1055
3684	ITGAM	0.734852	192
57555	NLGN2	0.734696	81
6404	SELPLG	0.734356	251
9080	CLDN9	0.734308	664
54413	NLGN3	0.734200	285
91522	COL23A1	0.734179	2
5156	PDGFRA	0.734179	1336
4620	MYH2	0.733495	34
4633	MYL2	0.733261	47
284217	LAMA1	0.733217	64
1365	CLDN3	0.733052	105
23308	ICOSLG	0.732762	1130
1013	CDH15	0.732538	636
56126	PCDHB10	0.732422	2
2263	FGFR2	0.732422	1385
22854	NTNG1	0.732414	1092
3696	ITGB8	0.732294	647
94030	LRRC4B	0.732124	41
941	CD80	0.732076	764
7789	ZXDA	0.732068	2
1302	COL11A2	0.732068	1724
7410	VAV2	0.731959	417
3112	HLA-DOB	0.731857	33
6010	RHO	0.731711	1384
2065	ERBB3	0.731582	1510
5293	PIK3CD	0.731465	231
1284	COL4A2	0.731256	914
26047	CNTNAP2	0.731203	727
260425	MAGI3	0.731054	63
7057	THBS1	0.730879	778
3687	ITGAX	0.730854	110
79784	MYH14	0.730847	967
389	RHOC	0.730805	181
57623	ZFAT	0.730781	2
1066	CES1	0.730781	2
4629	MYH11	0.730781	511
5649	RELN	0.730523	171
541466	CT45A1	0.730510	2
1000	CDH2	0.730510	1003
5881	RAC3	0.730379	85
5609	MAP2K7	0.730375	723
399716	LOC399716	0.730262	2
5588	PRKCQ	0.730262	52
3673	ITGA2	0.729956	457
923	CD6	0.729950	546
1793	DOCK1	0.729892	474
2318	FLNC	0.729838	354
7454	WAS	0.729568	328
3984	LIMK1	0.729501	541
3384	ICAM2	0.729264	102
3918	LAMC2	0.729208	155
3675	ITGA3	0.728874	403
1364	CLDN4	0.728832	180
940	CD28	0.728780	72
2260	FGFR1	0.728366	1660
3479	IGF1	0.728023	377
867	CBL	0.727856	300
3383	ICAM1	0.727536	555
2317	FLNB	0.727503	487
4233	MET	0.727415	804
83660	TLN2	0.727367	239
1287	COL4A5	0.726980	517
999	CDH1	0.726894	414
1292	COL6A2	0.726818	1093
4638	MYLK	0.726805	446
9223	MAGI1	0.726788	693
5578	PRKCA	0.726584	717
3912	LAMB1	0.726007	612
57530	CGN	0.725830	108
4625	MYH7	0.725742	57
5770	PTPN1	0.725667	546
27	ABL2	0.725314	278
5580	PRKCD	0.725136	141
2247	FGF2	0.724981	437
6548	SLC9A1	0.724852	157
222008	VSTM2A	0.724794	2
23705	CADM1	0.724794	626
5329	PLAUR	0.724757	732
8503	PIK3R3	0.724602	207
1288	COL4A6	0.724416	619
3678	ITGA5	0.724191	608
2017	CTTN	0.724171	330
7094	TLN1	0.723315	374
596	BCL2	0.723086	724
1839	HBEGF	0.722862	406
5154	PDGFA	0.722778	579
3897	L1CAM	0.722775	777
3910	LAMA4	0.722541	1404
2185	PTK2B	0.722458	316
5010	CLDN11	0.721960	70
5335	PLCG1	0.721673	239
857	CAV1	0.720641	604
2245	FGD1	0.720226	290
5228	PGF	0.720152	907
3690	ITGB3	0.720137	604
3993	LLGL2	0.720106	273
5792	PTPRF	0.720049	553
257194	NEGR1	0.720002	145
10458	BAIAP2	0.719919	1511
3135	HLA-G	0.719619	383
3691	ITGB4	0.719602	1320
3107	HLA-C	0.719544	531
4323	MMP14	0.719465	1125
4636	MYL5	0.719402	212
4478	MSN	0.719392	608
858	CAV2	0.719254	621
85301	COL27A1	0.719191	273
9863	MAGI2	0.719069	482
4301	AFDN	0.718891	313
2889	RAPGEF1	0.718789	197
3134	HLA-F	0.718681	449
7059	THBS3	0.718612	252
57144	PAK5	0.718481	218
3680	ITGA9	0.718438	207
7039	TGFA	0.718416	820
5829	PXN	0.718007	804
401509	ZNF658B	0.717964	2
6714	SRC	0.717964	614
1026	CDKN1A	0.717611	501
5522	PPP2R2C	0.717606	429
3913	LAMB2	0.717603	1051
4897	NRCAM	0.717471	865
4684	NCAM1	0.717360	1083
91894	C11orf52	0.717343	2
2064	ERBB2	0.717343	883
643535	KCTD9P2	0.717124	2
1956	EGFR	0.717124	2255
27134	TJP3	0.716909	187
1286	COL4A4	0.716399	339
7077	TIMP2	0.716169	787
9542	NRG2	0.716115	132
4660	PPP1R12B	0.716017	369
958	CD40	0.715545	105
5819	NECTIN2	0.715497	710
2768	GNA12	0.715477	145
7456	WIPF1	0.715331	262
25945	NECTIN3	0.715323	333
3911	LAMA5	0.715322	792
3693	ITGB5	0.715090	723
56924	PAK6	0.715034	45
5817	PVR	0.715025	487
6614	SIGLEC1	0.714981	185
7408	VASP	0.714969	265
25759	SHC2	0.714777	223
440097	DBX2	0.714569	3
50649	ARHGEF4	0.714492	1230
3105	HLA-A	0.714458	495
81	ACTN4	0.714384	547
1272	CNTN1	0.714236	429
7040	TGFB1	0.714087	1042
3106	HLA-B	0.713265	673
9379	NRXN2	0.712898	792
5337	PLD1	0.712883	262
54776	PPP1R12C	0.712626	117
5602	MAPK10	0.712537	786
10178	TENM1	0.712397	2
3084	NRG1	0.712397	997
6776	STAT5A	0.712357	45
5880	RAC2	0.712284	535
126433	FBXO27	0.712016	2
2934	GSN	0.712016	585
149483	CCDC17	0.711936	2
2261	FGFR3	0.711936	1006
1280	COL2A1	0.711832	685
2066	ERBB4	0.711829	1450
7148	TNXB	0.711090	1372
63923	TNN	0.710404	125
5305	PIP4K2A	0.710376	98
3985	LIMK2	0.710262	209
22798	LAMB4	0.710228	86
933	CD22	0.709807	426
57863	CADM3	0.709420	1010
5590	PRKCZ	0.709104	413
9138	ARHGEF1	0.709037	612
10297	APC2	0.708933	1490
9074	CLDN6	0.708703	325
2549	GAB1	0.708654	323
8395	PIP5K1B	0.708650	481
50848	F11R	0.708597	513
3133	HLA-E	0.708554	723
390	RND3	0.708302	659
4627	MYH9	0.707971	391
56127	PCDHB9	0.707857	2
152405	C3orf30	0.707857	2
285888	CNPY1	0.707857	2
152098	ZCWPW2	0.707857	2
158046	NXNL2	0.707857	2
23365	ARHGEF12	0.707857	690
5296	PIK3R2	0.707761	878
10298	PAK4	0.707491	603
3480	IGF1R	0.707421	1272
5581	PRKCE	0.707296	1154
6403	SELP	0.707287	173
7074	TIAM1	0.707018	707
56288	PARD3	0.706928	399
7431	VIM	0.706923	628
1285	COL4A3	0.706887	1649
4626	MYH8	0.706748	290
87	ACTN1	0.706703	793
8777	MPDZ	0.706681	559
8394	PIP5K1A	0.706639	186
54434	SSH1	0.706478	830
10451	VAV3	0.706412	147
816	CAMK2B	0.706204	2851
2316	FLNA	0.706118	934
5155	PDGFB	0.706061	1747
6237	RRAS	0.705994	396
4099	MAG	0.705961	1104
208	AKT2	0.705920	1017
26285	CLDN17	0.705763	61
5595	MAPK3	0.705574	294
128239	IQGAP3	0.705470	36
5133	PDCD1	0.705447	367
28964	GIT1	0.705303	439
2002	ELK1	0.705301	549
6840	SVIL	0.705281	631
2909	ARHGAP35	0.705258	826
58498	MYL7	0.704786	181
920	CD4	0.704626	79
2149	F2R	0.704116	343
6900	CNTN2	0.703932	693
389558	FAM180A	0.703792	2
3915	LAMC1	0.703792	1622
54961	SSH3	0.703528	775
4628	MYH10	0.703384	1373
93408	MYL10	0.703028	303
10163	WASF2	0.702732	169
7791	ZYX	0.702568	1043
5058	PAK1	0.701820	95
89	ACTN3	0.701685	208
5818	NECTIN1	0.701581	2611
7423	VEGFB	0.701402	473
8174	MADCAM1	0.701375	770
5797	PTPRM	0.701210	457
7422	VEGFA	0.701148	825
3645	INSRR	0.701026	385
22989	MYH15	0.700984	194
3111	HLA-DOA	0.700598	1744
10000	AKT3	0.700432	1404
6774	STAT3	0.700392	626
23533	PIK3R5	0.700228	872
9459	ARHGEF6	0.700053	33
85464	SSH2	0.699763	169
8515	ITGA10	0.699703	333
6464	SHC1	0.699644	363
388	RHOB	0.699498	512
201475	RAB12	0.699265	2
7414	VCL	0.699265	607
10152	ABI2	0.698846	723
5583	PRKCH	0.698514	230
2037	EPB41L2	0.698278	377
673	BRAF	0.697824	135
8440	NCK2	0.697814	96
56034	PDGFC	0.697764	1096
25	ABL1	0.697750	516
5599	MAPK8	0.697669	410
3688	ITGB1	0.697610	564
7114	TMSB4X	0.697393	220
6709	SPTAN1	0.696978	1115
4267	CD99	0.696950	612
6777	STAT5B	0.696935	400
1133	CHRM5	0.696911	273
3676	ITGA4	0.696734	59
3725	JUN	0.695760	672
51208	CLDN18	0.695297	793
71	ACTG1	0.695141	313
4342	MOS	0.695089	234
2035	EPB41	0.695080	336
1072	CFL1	0.695006	400
7143	TNR	0.694870	1083
9019	MPZL1	0.694676	758
83747	83747	0.694548	9
23396	PIP5K1C	0.694324	641
8976	WASL	0.694205	322
7082	TJP1	0.694169	847
823	CAPN1	0.693774	791
94137	RP1L1	0.693287	2
2534	FYN	0.693287	705
7449	7449	0.691925	2
3611	ILK	0.691925	774
55970	GNG12	0.691730	481
23136	EPB41L3	0.691238	156
824	CAPN2	0.690643	295
207	AKT1	0.689684	800
369	ARAF	0.689542	250
5170	PDPK1	0.689516	559
998	CDC42	0.689227	535
26999	CYFIP2	0.688427	560
441400	RAB1C	0.688070	2
2885	GRB2	0.688070	524
10788	IQGAP2	0.687920	119
1398	CRK	0.687359	331
79837	PIP4K2C	0.687284	101
