#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
57502	NLGN4X	Positive	0.887632	Positive	0.906640	0.804763	NO	4
1950	EGF	Positive	0.814373	Positive	0.825225	0.672041	NO	9
5294	PIK3CG	Positive	0.800002	Positive	0.816063	0.652852	NO	16
57644	MYH7B	Unlabeled	0.668981	Positive	0.924193	0.618268	NO	3
3266	ERAS	Unlabeled	0.772313	Unlabeled	0.785996	0.607035	NO	2
22798	LAMB4	Positive	0.761325	Positive	0.768651	0.585193	NO	85
3676	ITGA4	Positive	0.756788	Positive	0.769356	0.582239	NO	58
3791	KDR	Positive	0.756497	Positive	0.767593	0.580681	NO	83
55799	CACNA2D3	Unlabeled	0.753581	Unlabeled	0.765864	0.577141	NO	1
22871	NLGN1	Positive	0.755057	Positive	0.763934	0.576814	NO	120
5579	PRKCB	Positive	0.753183	Positive	0.765450	0.576524	NO	134
1301	COL11A1	Positive	0.754165	Positive	0.764419	0.576498	NO	128
3123	HLA-DRB1	Positive	0.750675	Positive	0.766590	0.575460	NO	92
5649	RELN	Positive	0.754380	Positive	0.762557	0.575257	NO	170
29119	CTNNA3	Positive	0.754763	Positive	0.761925	0.575073	NO	214
1133	CHRM5	Positive	0.753706	Positive	0.760931	0.573518	NO	272
54413	NLGN3	Positive	0.753325	Positive	0.760964	0.573253	NO	284
5175	PECAM1	Positive	0.749039	Positive	0.764756	0.572832	NO	173
3479	IGF1	Positive	0.750191	Positive	0.759719	0.569934	NO	376
22854	NTNG1	Positive	0.751191	Positive	0.758574	0.569834	NO	1091
3082	HGF	Positive	0.750247	Positive	0.759429	0.569759	NO	471
9378	NRXN1	Positive	0.751086	Positive	0.758518	0.569712	NO	1155
2321	FLT1	Positive	0.750196	Positive	0.759266	0.569598	NO	455
3690	ITGB3	Positive	0.749886	Positive	0.758883	0.569076	NO	603
10178	TENM1	Unlabeled	0.749981	Unlabeled	0.758628	0.568956	NO	1
9379	NRXN2	Positive	0.750007	Positive	0.758515	0.568892	NO	791
1499	CTNNB1	Positive	0.748330	Positive	0.759858	0.568625	NO	100
2066	ERBB4	Positive	0.749957	Positive	0.758086	0.568532	NO	1449
3084	NRG1	Positive	0.749564	Positive	0.758195	0.568316	NO	996
816	CAMK2B	Positive	0.749844	Positive	0.757794	0.568228	NO	2850
26047	CNTNAP2	Positive	0.749435	Positive	0.757887	0.567987	NO	726
440097	DBX2	Unlabeled	0.749278	Unlabeled	0.757950	0.567916	NO	2
4897	NRCAM	Positive	0.748124	Positive	0.757353	0.566594	NO	864
596	BCL2	Positive	0.747847	Positive	0.757471	0.566473	NO	723
222008	VSTM2A	Unlabeled	0.747076	Unlabeled	0.757427	0.565856	NO	1
23705	CADM1	Positive	0.746655	Positive	0.756989	0.565210	NO	625
10458	BAIAP2	Positive	0.746678	Positive	0.756401	0.564788	NO	1510
4233	MET	Positive	0.745868	Positive	0.756328	0.564121	NO	803
5595	MAPK3	Positive	0.745353	Positive	0.756409	0.563792	NO	293
7040	TGFB1	Positive	0.744453	Positive	0.755551	0.562472	NO	1041
3912	LAMB1	Positive	0.744202	Positive	0.755759	0.562438	NO	611
3105	HLA-A	Positive	0.743243	Positive	0.755561	0.561566	NO	494
