#EntrezID	Name	Score	Degree
1950	EGF	0.995025	10
5728	PTEN	0.995025	946
5894	RAF1	0.995025	325
10458	BAIAP2	0.995025	1511
5649	RELN	0.995025	171
5604	MAP2K1	0.995025	1091
9379	NRXN2	0.995025	792
22798	LAMB4	0.995025	86
22871	NLGN1	0.995025	121
5605	MAP2K2	0.995025	1052
5175	PECAM1	0.995025	174
207	AKT1	0.995025	800
7040	TGFB1	0.995025	1042
3690	ITGB3	0.995025	604
4233	MET	0.995025	804
3082	HGF	0.995025	472
2321	FLT1	0.995025	456
3265	HRAS	0.995025	1233
5747	PTK2	0.995025	1321
4478	MSN	0.995025	608
23705	CADM1	0.995025	626
3676	ITGA4	0.995025	59
324	APC	0.995025	1124
4897	NRCAM	0.995025	865
1133	CHRM5	0.995025	273
29119	CTNNA3	0.995025	215
8573	CASK	0.995025	928
3479	IGF1	0.995025	377
1301	COL11A1	0.995025	129
3912	LAMB1	0.995025	612
5294	PIK3CG	0.995025	17
154664	ABCA13	0.983874	2
3266	ERAS	0.952456	3
129684	CNTNAP5	0.943139	2
83473	KATNAL2	0.940700	2
115677	NOSTRIN	0.937932	3
151126	ZNF385B	0.937307	2
57644	MYH7B	0.933475	4
170572	HTR3C	0.931292	4
4624	MYH6	0.927923	4
9075	CLDN2	0.927413	2
2444	FRK	0.919555	2
57502	NLGN4X	0.919297	5
10686	CLDN16	0.918012	3
121278	TPH2	0.916581	4
3809	KIR2DS4	0.915080	3
91807	MYLK3	0.913482	4
222008	VSTM2A	0.907757	2
4922	NTS	0.905411	11
4621	MYH3	0.903048	3
56729	RETN	0.901087	4
29126	CD274	0.899165	3
85477	SCIN	0.897228	3
79740	ZBBX	0.897125	9
200150	PLD5	0.893646	6
4622	MYH4	0.893038	6
151531	UPP2	0.892907	4
375612	LHFPL3	0.891720	4
116442	RAB39B	0.891717	3
1007	CDH9	0.886342	7
90665	TBL1Y	0.885638	4
8215	DVL1P1	0.884792	4
255631	COL24A1	0.882890	4
85366	MYLK2	0.881613	5
51738	GHRL	0.880187	10
57628	DPP10	0.879790	6
6401	SELE	0.877121	7
3672	ITGA1	0.876584	12
9073	CLDN8	0.876129	6
1496	CTNNA2	0.876040	24
53942	CNTN5	0.875094	10
4543	MTNR1A	0.874242	5
1128	CHRM1	0.873840	9
57689	LRRC4C	0.873336	10
100506658	OCLN	0.872683	5
952	CD38	0.872324	6
64098	PARVG	0.870341	11
8218	CLTCL1	0.870183	11
1493	CTLA4	0.868273	17
22986	SORCS3	0.867640	84
6328	SCN3A	0.866806	21
83943	IMMP2L	0.866510	6
3973	LHCGR	0.866065	47
440097	DBX2	0.864304	3
2565	GABRG1	0.863132	13
89846	FGD3	0.862301	5
23316	CUX2	0.861344	21
84152	PPP1R1B	0.861049	7
23562	CLDN14	0.860557	37
9087	TMSB4Y	0.859687	7
9607	CARTPT	0.859621	49
57282	SLC4A10	0.856716	8
361	AQP4	0.856709	20
4886	NPY1R	0.856504	45
1740	DLG2	0.854930	130
1745	DLX1	0.854876	16
5368	PNOC	0.854605	24
6507	SLC1A3	0.853355	43
55844	PPP2R2D	0.853322	6
7122	CLDN5	0.853148	37
5021	OXTR	0.852711	27
135	ADORA2A	0.852280	22
1003	CDH5	0.851308	62
3290	HSD11B1	0.851171	41
2277	VEGFD	0.850817	19
6561	SLC13A1	0.850390	14
3751	KCND2	0.848974	75
5739	PTGIR	0.848465	62
7782	SLC30A4	0.848349	21
2020	EN2	0.848064	44
374	AREG	0.847780	23
11069	RAPGEF4	0.847775	46
2891	GRIA2	0.847727	231
10718	NRG3	0.847552	9
3681	ITGAD	0.847461	19
10666	CD226	0.846804	16
140733	MACROD2	0.846521	8
6529	SLC6A1	0.846371	186
4804	NGFR	0.846084	96
7448	VTN	0.845599	42
3952	LEP	0.844471	74
3381	IBSP	0.844348	11
4036	LRP2	0.844146	162
53358	SHC3	0.844107	259
721	C4B	0.844064	16
3791	KDR	0.843784	84
6863	TAC1	0.843729	24
2559	GABRA6	0.843651	31
92359	CRB3	0.843295	11
3760	KCNJ3	0.842626	79
7060	THBS4	0.842596	127
57144	PAK5	0.842502	218
2556	GABRA3	0.842126	59
22829	NLGN4Y	0.842069	13
2350	FOLR2	0.842024	37
3294	HSD17B2	0.841616	27
3293	HSD17B3	0.841322	15
50509	COL5A3	0.840841	171
4241	MELTF	0.840591	103
54221	SNTG2	0.840331	160
1132	CHRM4	0.840120	28
202559	KHDRBS2	0.840041	157
885	CCK	0.839983	58
6263	RYR3	0.839751	91
55273	TMEM100	0.839711	19
2170	FABP3	0.839293	244
2272	FHIT	0.839092	13
3354	HTR1E	0.838865	255
10319	LAMC3	0.838786	80
40	ASIC2	0.838725	360
9542	NRG2	0.838353	132
7450	VWF	0.838137	70
29851	ICOS	0.837913	11
23237	ARC	0.837785	139
1795	DOCK3	0.837697	165
9256	TSPOAP1	0.837406	60
1803	DPP4	0.837320	34
7850	IL1R2	0.837279	32
1814	DRD3	0.837208	77
2191	FAP	0.837077	111
84552	PARD6G	0.837065	16
1311	COMP	0.836997	44
2847	MCHR1	0.836527	127
1131	CHRM3	0.836016	33
284451	ODF3L2	0.835941	7
2560	GABRB1	0.835734	60
1750	DLX6	0.835689	45
10349	ABCA10	0.835623	2
7101	NR2E1	0.835385	204
4160	MC4R	0.835068	64
7124	TNF	0.835017	19
147	ADRA1B	0.834864	32
1293	COL6A3	0.834785	131
8448	DOC2A	0.834712	184
4753	NELL2	0.834267	32
4340	MOG	0.834052	337
3909	LAMA3	0.833764	190
3237	HOXD11	0.833732	30
3806	KIR2DS1	0.833596	29
54715	RBFOX1	0.833481	507
6616	SNAP25	0.833359	649
152330	CNTN4	0.833196	19
3782	KCNN3	0.833122	393
137075	CLDN23	0.833101	8
64405	CDH22	0.833045	202
940	CD28	0.832818	72
1139	CHRNA7	0.832752	49
2567	GABRG3	0.832748	287
85358	SHANK3	0.832558	65
3683	ITGAL	0.832240	31
9378	NRXN1	0.832222	1156
6258	RXRG	0.832144	145
2911	GRM1	0.832058	391
4318	MMP9	0.831843	124
23426	GRIP1	0.831837	98
4986	OPRK1	0.831822	454
7412	VCAM1	0.831444	104
2554	GABRA1	0.831311	631
8516	ITGA8	0.831010	332
1008	CDH10	0.830937	451
4159	MC3R	0.830917	37
5010	CLDN11	0.830910	70
114805	GALNT13	0.830842	30
166614	DCLK2	0.830812	336
4137	MAPT	0.830755	820
3123	HLA-DRB1	0.830380	93
4852	NPY	0.830122	561
5159	PDGFRB	0.830121	185
57526	PCDH19	0.830119	61
5020	OXT	0.830022	235
2173	FABP7	0.829889	441
3358	HTR2C	0.829861	684
57194	ATP10A	0.829815	118
2895	GRID2	0.829799	124
186	AGTR2	0.829703	220
2693	GHSR	0.829628	445
5521	PPP2R2B	0.829381	789
54413	NLGN3	0.829363	285
93986	FOXP2	0.829352	28
114815	SORCS1	0.829279	203
5350	PLN	0.829144	98
3061	HCRTR1	0.829013	236
6326	SCN2A	0.828957	128
80034	CSRNP3	0.828716	26
2572	GAD2	0.828583	1042
3684	ITGAM	0.828198	192
2555	GABRA2	0.828112	228
5582	PRKCG	0.828033	984
1002	CDH4	0.828004	1004
491	ATP2B2	0.827996	1704
149461	CLDN19	0.827780	51
9915	ARNT2	0.827766	171
22801	ITGA11	0.827686	40
5881	RAC3	0.827561	85
51725	FBXO40	0.827553	458
438	ASMT	0.827503	128
4629	MYH11	0.827402	511
22846	VASH1	0.827358	189
1800	DPEP1	0.827329	148
3361	HTR5A	0.827313	219
