#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
57502	NLGN4X	Positive	0.877331	Positive	0.955021	0.837869	NO	4
1950	EGF	Positive	0.864400	Positive	0.962842	0.832280	NO	9
3791	KDR	Positive	0.826790	Positive	0.906930	0.749840	NO	83
5649	RELN	Positive	0.843940	Positive	0.882497	0.744775	NO	170
5294	PIK3CG	Positive	0.797683	Positive	0.913382	0.728589	NO	16
2321	FLT1	Positive	0.815506	Positive	0.872846	0.711811	NO	455
9378	NRXN1	Positive	0.835785	Positive	0.846546	0.707531	NO	1155
1301	COL11A1	Positive	0.801105	Positive	0.881688	0.706325	NO	128
22871	NLGN1	Positive	0.815024	Positive	0.864226	0.704365	NO	120
22798	LAMB4	Positive	0.839943	Positive	0.834451	0.700891	NO	85
3479	IGF1	Positive	0.814746	Positive	0.859355	0.700156	NO	376
3082	HGF	Positive	0.812955	Positive	0.857687	0.697261	NO	471
3084	NRG1	Positive	0.814006	Positive	0.851237	0.692912	NO	996
22854	NTNG1	Positive	0.825880	Positive	0.838722	0.692683	NO	1091
29119	CTNNA3	Positive	0.812787	Positive	0.849098	0.690136	NO	214
26047	CNTNAP2	Positive	0.800723	Positive	0.860559	0.689069	NO	726
2066	ERBB4	Positive	0.803743	Positive	0.856449	0.688365	NO	1449
5579	PRKCB	Positive	0.784912	Positive	0.874773	0.686620	NO	134
816	CAMK2B	Positive	0.798022	Positive	0.852744	0.680509	NO	2850
4897	NRCAM	Positive	0.793420	Positive	0.857233	0.680145	NO	864
3690	ITGB3	Positive	0.792764	Positive	0.856095	0.678682	NO	603
4233	MET	Positive	0.784530	Positive	0.862518	0.676672	NO	803
54413	NLGN3	Positive	0.805089	Positive	0.839296	0.675707	NO	284
1133	CHRM5	Positive	0.808503	Positive	0.832668	0.673215	NO	272
9379	NRXN2	Positive	0.795509	Positive	0.846253	0.673202	NO	791
23705	CADM1	Positive	0.787272	Positive	0.854139	0.672440	NO	625
5175	PECAM1	Positive	0.759308	Positive	0.885282	0.672202	NO	173
3123	HLA-DRB1	Positive	0.748118	Positive	0.898444	0.672143	NO	92
10458	BAIAP2	Positive	0.790198	Positive	0.838211	0.662352	NO	1510
596	BCL2	Positive	0.778378	Positive	0.841325	0.654868	NO	723
7040	TGFB1	Positive	0.764608	Positive	0.841646	0.643529	NO	1041
3912	LAMB1	Positive	0.744616	Positive	0.860942	0.641072	NO	611
5595	MAPK3	Positive	0.763347	Positive	0.830984	0.634329	NO	293
3105	HLA-A	Positive	0.745768	Positive	0.849052	0.633196	NO	494
3106	HLA-B	Positive	0.742949	Positive	0.842616	0.626021	NO	672
4478	MSN	Positive	0.737624	Positive	0.845484	0.623649	NO	607
7422	VEGFA	Positive	0.743719	Positive	0.830261	0.617481	NO	824
3676	ITGA4	Positive	0.738295	Positive	0.828398	0.611601	NO	58
207	AKT1	Positive	0.742021	Positive	0.814274	0.604208	NO	799
5605	MAP2K2	Positive	0.744984	Positive	0.809149	0.602803	NO	1051
5295	PIK3R1	Positive	0.730168	Positive	0.809659	0.591187	NO	746
8573	CASK	Positive	0.727031	Positive	0.801232	0.582520	NO	927
324	APC	Positive	0.726568	Positive	0.795323	0.577856	NO	1123
3265	HRAS	Positive	0.731932	Positive	0.788631	0.577224	NO	1232
1499	CTNNB1	Positive	0.712704	Positive	0.809751	0.577113	NO	100
5894	RAF1	Positive	0.726884	Positive	0.792204	0.575841	NO	324
5604	MAP2K1	Positive	0.721148	Positive	0.788954	0.568953	NO	1090
5728	PTEN	Positive	0.716182	Positive	0.791210	0.566651	NO	945
5747	PTK2	Positive	0.715053	Positive	0.789240	0.564349	NO	1320
5290	PIK3CA	Positive	0.712585	Positive	0.775191	0.552390	NO	1435
1496	CTNNA2	Unlabeled	0.615217	Positive	0.896839	0.551750	NO	23
57644	MYH7B	Unlabeled	0.549397	Positive	0.963744	0.529478	NO	3
3681	ITGAD	Unlabeled	0.564831	Positive	0.936087	0.528731	NO	18
57689	LRRC4C	Unlabeled	0.575664	Positive	0.901974	0.519234	NO	9
5021	OXTR	Positive	0.855556	Unlabeled	0.576915	0.493584	NO	26
9073	CLDN8	Unlabeled	0.508720	Positive	0.967140	0.492004	NO	5
