#DiseaseAUCs	BiologicalProcessAUCs
0.731046	0.783800
0.762567	0.806529
0.683514	0.755572
0.705957	0.750614
0.680777	0.800589
0.694553	0.797889
0.740763	0.779676
0.710337	0.761856
0.726759	0.776289
0.683560	0.799656
0.723565	0.771674
0.704954	0.749190
0.671837	0.796318
0.637123	0.723760
0.673342	0.788513
0.683879	0.746490
0.745780	0.789249
0.730727	0.808542
0.749658	0.766274
0.658334	0.778351
0.701168	0.778007
0.708466	0.790280
0.695055	0.766225
0.728538	0.739764
0.686479	0.773834
0.691360	0.769809
0.664310	0.743790
0.722562	0.786107
0.748381	0.818409
0.711933	0.777565
0.715172	0.801129
0.687027	0.821208
0.735198	0.820766
0.725527	0.702651
0.708101	0.812469
0.763343	0.818851
0.733692	0.816986
0.699617	0.813844
0.742040	0.764703
0.659703	0.756308
0.698841	0.787187
0.698522	0.742563
0.737113	0.760383
0.688897	0.786696
0.683697	0.764310
0.708603	0.786058
0.702536	0.802160
0.722379	0.727835
0.720418	0.785763
0.719962	0.735002
