#EntrezID	Name	Score	Degree
9075	CLDN2	0.840104	2
91807	MYLK3	0.796738	4
57644	MYH7B	0.793835	4
4624	MYH6	0.788005	4
4621	MYH3	0.784762	3
29126	CD274	0.780251	3
85477	SCIN	0.779881	3
10686	CLDN16	0.761813	3
57502	NLGN4X	0.749761	5
255631	COL24A1	0.749319	4
4622	MYH4	0.741485	6
9073	CLDN8	0.740289	6
100506658	OCLN	0.735105	5
1950	EGF	0.734785	10
85366	MYLK2	0.728475	5
89846	FGD3	0.718191	5
6401	SELE	0.715904	7
64098	PARVG	0.714710	11
57689	LRRC4C	0.707095	10
3672	ITGA1	0.706550	12
9087	TMSB4Y	0.704366	7
3071	NCKAP1L	0.700488	28
137075	CLDN23	0.700125	8
29851	ICOS	0.690651	11
245932	DEFB119	0.688538	3
1128	CHRM1	0.688124	9
10718	NRG3	0.686548	9
3381	IBSP	0.685588	11
92359	CRB3	0.677288	11
7122	CLDN5	0.674200	37
5294	PIK3CG	0.673570	17
3681	ITGAD	0.670388	19
3109	HLA-DMB	0.669973	87
374	AREG	0.665962	23
3683	ITGAL	0.664958	31
925	CD8A	0.663250	23
24146	CLDN15	0.663033	9
1311	COMP	0.661257	44
1496	CTNNA2	0.660593	24
3791	KDR	0.660584	84
84552	PARD6G	0.658820	16
55844	PPP2R2D	0.658113	6
10666	CD226	0.657809	16
3115	HLA-DPB1	0.657439	72
3123	HLA-DRB1	0.657118	93
2277	VEGFD	0.656597	19
7412	VCAM1	0.656579	104
3689	ITGB2	0.655230	166
1493	CTLA4	0.654279	17
6402	SELL	0.652833	37
3126	HLA-DRB4	0.652381	86
624	BDKRB2	0.651647	21
22801	ITGA11	0.651526	40
1293	COL6A3	0.651513	131
7450	VWF	0.651204	70
3125	HLA-DRB3	0.650306	111
3127	HLA-DRB5	0.650272	94
3112	HLA-DOB	0.650178	33
3117	HLA-DQA1	0.649345	134
1003	CDH5	0.648652	62
2191	FAP	0.647160	111
1301	COL11A1	0.646247	129
3122	HLA-DRA	0.645313	179
5175	PECAM1	0.645245	174
50509	COL5A3	0.645211	171
4620	MYH2	0.645068	34
5336	PLCG2	0.644357	78
3119	HLA-DQB1	0.644260	183
929	CD14	0.644038	127
942	CD86	0.643900	127
7448	VTN	0.643478	42
3059	HCLS1	0.643421	99
1131	CHRM3	0.643322	33
2069	EREG	0.643320	36
5159	PDGFRB	0.641942	185
84612	PARD6B	0.641660	99
3909	LAMA3	0.640552	190
7058	THBS2	0.639940	159
10319	LAMC3	0.639286	80
6696	SPP1	0.638466	39
9076	CLDN1	0.638364	127
64101	LRRC4	0.638335	14
940	CD28	0.638054	72
7409	VAV1	0.637687	59
3694	ITGB6	0.637556	108
1278	COL1A2	0.635934	410
3371	TNC	0.635821	352
4313	MMP2	0.635184	710
1803	DPP4	0.634633	34
959	CD40LG	0.634520	29
22808	MRAS	0.634343	44
1281	COL3A1	0.633868	395
1290	COL5A2	0.633741	314
3113	HLA-DPA1	0.633705	204
3108	HLA-DMA	0.633498	172
9564	BCAR1	0.633244	107
90246	LOC90246	0.633099	2
10398	MYL9	0.632752	280
83700	JAM3	0.632378	120
83660	TLN2	0.632204	239
23562	CLDN14	0.631831	37
1364	CLDN4	0.631645	180
1366	CLDN7	0.631426	94
3680	ITGA9	0.631169	207
7424	VEGFC	0.631084	340
623	BDKRB1	0.630940	56
7060	THBS4	0.630753	127
1001	CDH3	0.630631	169
56924	PAK6	0.630583	45
4685	NCAM2	0.630556	108
914	CD2	0.629996	47
5063	PAK3	0.629977	115
4625	MYH7	0.629615	57
1289	COL5A1	0.629421	600
8506	CNTNAP1	0.628836	217
1365	CLDN3	0.628411	105
3918	LAMC2	0.627983	155
3684	ITGAM	0.627843	192
4633	MYL2	0.627715	47
3695	ITGB7	0.627220	32
1288	COL4A6	0.626932	619
4318	MMP9	0.626488	124
5788	PTPRC	0.626219	152
3479	IGF1	0.626191	377
3679	ITGA7	0.625706	468
3908	LAMA2	0.625639	343
9644	SH3PXD2A	0.625335	266
55742	PARVA	0.625167	429
58494	JAM2	0.625144	120
1435	CSF1	0.624522	790
1277	COL1A1	0.624280	783
1282	COL4A1	0.624212	642
149461	CLDN19	0.624149	51
6614	SIGLEC1	0.623871	185
284217	LAMA1	0.623516	64
22871	NLGN1	0.623381	121
5649	RELN	0.622922	171
4629	MYH11	0.622895	511
2324	FLT4	0.622030	92
6403	SELP	0.622001	173
1132	CHRM4	0.621909	28
50855	PARD6A	0.621823	212
926	CD8B	0.621736	84
1286	COL4A4	0.621371	339
1101	CHAD	0.621001	382
23624	CBLC	0.620711	103
9542	NRG2	0.620605	132
5881	RAC3	0.620201	85
1284	COL4A2	0.620193	914
80380	PDCD1LG2	0.620183	27
947	CD34	0.620121	335
3914	LAMB3	0.620064	303
4359	MPZ	0.619820	76
920	CD4	0.619744	79
999	CDH1	0.619532	414
1002	CDH4	0.619349	1004
815	CAMK2A	0.619348	1082
260425	MAGI3	0.619275	63
4626	MYH8	0.619265	290
53358	SHC3	0.618552	259
3687	ITGAX	0.618529	110
90952	ESAM	0.618344	49
27134	TJP3	0.618315	187
2318	FLNC	0.618261	354
3690	ITGB3	0.618185	604
3383	ICAM1	0.618148	555
1291	COL6A1	0.618143	1329
2036	EPB41L1	0.618040	464
63923	TNN	0.617811	125
3673	ITGA2	0.617789	457
2245	FGD1	0.617785	290
5579	PRKCB	0.617623	135
1285	COL4A3	0.617536	1649
9074	CLDN6	0.617504	325
2335	FN1	0.617441	484
7148	TNXB	0.617422	1372
6714	SRC	0.617393	614
3082	HGF	0.617384	472
57555	NLGN2	0.617384	81
10297	APC2	0.617363	1490
5582	PRKCG	0.617339	984
3910	LAMA4	0.617157	1404
4323	MMP14	0.617070	1125
5588	PRKCQ	0.616981	52
1129	CHRM2	0.616935	102
7057	THBS1	0.616889	778
57144	PAK5	0.616732	218
7039	TGFA	0.616637	820
80310	PDGFD	0.616634	117
8503	PIK3R3	0.616397	207
22854	NTNG1	0.616256	1092
58498	MYL7	0.616216	181
84628	NTNG2	0.616158	37
3384	ICAM2	0.616101	102
7454	WAS	0.615983	328
4684	NCAM1	0.615963	1083
27	ABL2	0.615952	278
93408	MYL10	0.615625	303
1302	COL11A2	0.615498	1724
4897	NRCAM	0.615450	865
2321	FLT1	0.615375	456
5010	CLDN11	0.615295	70
4233	MET	0.615112	804
8735	MYH13	0.614779	102
3984	LIMK1	0.614689	541
923	CD6	0.614679	546
9369	NRXN3	0.614621	816
1793	DOCK1	0.614460	474
3678	ITGA5	0.614329	608
2263	FGFR2	0.613968	1385
1292	COL6A2	0.613854	1093
1280	COL2A1	0.613803	685
941	CD80	0.613762	764
3691	ITGB4	0.613713	1320
23114	NFASC	0.613603	983
25759	SHC2	0.613537	223
5578	PRKCA	0.613522	717
3675	ITGA3	0.613283	403
3897	L1CAM	0.613270	777
50649	ARHGEF4	0.613167	1230
5154	PDGFA	0.613130	579
29119	CTNNA3	0.613056	215
79784	MYH14	0.613011	967
5156	PDGFRA	0.612900	1336
3120	HLA-DQB2	0.612709	4
29895	MYLPF	0.612582	68
4638	MYLK	0.612527	446
1272	CNTN1	0.612381	429
6404	SELPLG	0.612344	251
5580	PRKCD	0.612327	141
57863	CADM3	0.612298	1010
2065	ERBB3	0.611906	1510
857	CAV1	0.611604	604
7143	TNR	0.611508	1083
2264	FGFR4	0.611238	389
3993	LLGL2	0.611097	273
5335	PLCG1	0.610920	239
1287	COL4A5	0.610674	517
7059	THBS3	0.610459	252
89	ACTN3	0.610446	208
4660	PPP1R12B	0.610414	369
26047	CNTNAP2	0.610411	727
3996	LLGL1	0.610399	546
2317	FLNB	0.610370	487
1000	CDH2	0.610364	1003
3696	ITGB8	0.610016	647
8395	PIP5K1B	0.609849	481
5155	PDGFB	0.609827	1747
23705	CADM1	0.609788	626
3912	LAMB1	0.609560	612
3084	NRG1	0.609304	997
57530	CGN	0.609195	108
867	CBL	0.609135	300
9223	MAGI1	0.609094	693
2247	FGF2	0.608610	437
6693	SPN	0.608569	338
2260	FGFR1	0.608517	1660
1956	EGFR	0.608513	2255
54413	NLGN3	0.608353	285
208	AKT2	0.608275	1017
23533	PIK3R5	0.608212	872
9080	CLDN9	0.608186	664
6900	CNTN2	0.608055	693
