#DiseaseAUCs	BiologicalProcessAUCs
0.687118	0.991065
0.696843	0.996778
0.664994	0.928351
0.731268	0.977090
0.699252	0.984456
0.697373	1.000000
0.688578	0.951890
0.754767	0.977835
0.704709	0.940722
0.750068	0.984067
0.732597	0.947985
0.675075	0.958190
0.660387	0.967354
0.682876	0.987629
0.653772	0.995418
0.652541	0.969502
0.663200	0.988175
0.741447	1.000000
0.688982	0.965323
0.706687	0.941090
0.651492	0.958294
0.711616	0.977663
0.710473	0.997054
0.675942	0.997423
0.677335	0.994330
0.709196	0.996564
0.713575	0.987973
0.668233	1.000000
0.686069	0.954545
0.652085	0.953608
0.668963	0.946244
0.668165	0.942726
0.688623	0.940206
0.686206	0.892612
0.684062	0.992971
0.708165	0.988754
0.656526	0.987113
0.687118	0.999141
0.701767	0.947035
0.689906	0.951031
0.658856	0.920806
0.717544	0.938144
0.674245	0.941237
0.657194	0.939433
0.658643	1.000000
0.696013	0.990335
0.721513	0.932253
0.696652	0.959908
0.724067	0.981591
0.671289	0.960052
